"variant","method","matrix","module","n_genes","n_DE_panel_genes","fraction_DE_panel"
"GCNA_unprotected","GCNA","unprotected","Vitvi00g04005",34,12,0.352941176470588
"GCNA_unprotected","GCNA","unprotected","Vitvi00g04006",73,42,0.575342465753425
"GCNA_unprotected","GCNA","unprotected","Vitvi00g04313",21,18,0.857142857142857
"GCNA_unprotected","GCNA","unprotected","Vitvi00g04500",35,25,0.714285714285714
"GCNA_unprotected","GCNA","unprotected","Vitvi00g04634",40,22,0.55
"GCNA_unprotected","GCNA","unprotected","Vitvi00g04728",38,25,0.657894736842105
"GCNA_unprotected","GCNA","unprotected","Vitvi01g00463",84,66,0.785714285714286
"GCNA_unprotected","GCNA","unprotected","Vitvi01g00508",555,119,0.214414414414414
"GCNA_unprotected","GCNA","unprotected","Vitvi01g00612",57,42,0.736842105263158
"GCNA_unprotected","GCNA","unprotected","Vitvi01g00656",1546,811,0.524579560155239
"GCNA_unprotected","GCNA","unprotected","Vitvi01g01038",281,76,0.270462633451957
"GCNA_unprotected","GCNA","unprotected","Vitvi01g01701",45,34,0.755555555555556
"GCNA_unprotected","GCNA","unprotected","Vitvi01g01751",136,75,0.551470588235294
"GCNA_unprotected","GCNA","unprotected","Vitvi01g02242",106,68,0.641509433962264
"GCNA_unprotected","GCNA","unprotected","Vitvi01g04056",102,50,0.490196078431373
"GCNA_unprotected","GCNA","unprotected","Vitvi01g04115",81,64,0.790123456790123
"GCNA_unprotected","GCNA","unprotected","Vitvi01g04132",19,17,0.894736842105263
"GCNA_unprotected","GCNA","unprotected","Vitvi02g00032",1260,611,0.484920634920635
"GCNA_unprotected","GCNA","unprotected","Vitvi02g00086",76,56,0.736842105263158
"GCNA_unprotected","GCNA","unprotected","Vitvi02g00429",530,146,0.275471698113208
"GCNA_unprotected","GCNA","unprotected","Vitvi02g00446",472,120,0.254237288135593
"GCNA_unprotected","GCNA","unprotected","Vitvi02g01355",435,211,0.485057471264368
"GCNA_unprotected","GCNA","unprotected","Vitvi02g01360",12,9,0.75
"GCNA_unprotected","GCNA","unprotected","Vitvi02g04106",555,114,0.205405405405405
"GCNA_unprotected","GCNA","unprotected","Vitvi02g04134",126,72,0.571428571428571
"GCNA_unprotected","GCNA","unprotected","Vitvi02g04135",131,71,0.541984732824427
"GCNA_unprotected","GCNA","unprotected","Vitvi03g00318",4,1,0.25
"GCNA_unprotected","GCNA","unprotected","Vitvi03g00692",503,291,0.578528827037773
"GCNA_unprotected","GCNA","unprotected","Vitvi03g01258",46,25,0.543478260869565
"GCNA_unprotected","GCNA","unprotected","Vitvi03g01809",92,51,0.554347826086957
"GCNA_unprotected","GCNA","unprotected","Vitvi03g04266",65,41,0.630769230769231
"GCNA_unprotected","GCNA","unprotected","Vitvi03g04466",26,20,0.769230769230769
"GCNA_unprotected","GCNA","unprotected","Vitvi04g00017",48,20,0.416666666666667
"GCNA_unprotected","GCNA","unprotected","Vitvi04g01325",46,24,0.521739130434783
"GCNA_unprotected","GCNA","unprotected","Vitvi04g01375",37,22,0.594594594594595
"GCNA_unprotected","GCNA","unprotected","Vitvi04g01550",895,189,0.211173184357542
"GCNA_unprotected","GCNA","unprotected","Vitvi04g01887",356,116,0.325842696629214
"GCNA_unprotected","GCNA","unprotected","Vitvi04g02114",22,14,0.636363636363636
"GCNA_unprotected","GCNA","unprotected","Vitvi04g04010",60,48,0.8
"GCNA_unprotected","GCNA","unprotected","Vitvi04g04011",68,50,0.735294117647059
"GCNA_unprotected","GCNA","unprotected","Vitvi04g04029",18,10,0.555555555555556
"GCNA_unprotected","GCNA","unprotected","Vitvi05g00108",431,120,0.278422273781903
"GCNA_unprotected","GCNA","unprotected","Vitvi05g00675",184,60,0.326086956521739
"GCNA_unprotected","GCNA","unprotected","Vitvi05g00726",56,24,0.428571428571429
"GCNA_unprotected","GCNA","unprotected","Vitvi05g01579",76,56,0.736842105263158
"GCNA_unprotected","GCNA","unprotected","Vitvi05g01674",113,22,0.194690265486726
"GCNA_unprotected","GCNA","unprotected","Vitvi05g02234",86,56,0.651162790697674
"GCNA_unprotected","GCNA","unprotected","Vitvi05g04062",52,32,0.615384615384615
"GCNA_unprotected","GCNA","unprotected","Vitvi05g04232",34,21,0.617647058823529
"GCNA_unprotected","GCNA","unprotected","Vitvi05g04487",62,44,0.709677419354839
"GCNA_unprotected","GCNA","unprotected","Vitvi05g04494",95,60,0.631578947368421
"GCNA_unprotected","GCNA","unprotected","Vitvi06g01410",74,39,0.527027027027027
"GCNA_unprotected","GCNA","unprotected","Vitvi06g01618",102,61,0.598039215686274
"GCNA_unprotected","GCNA","unprotected","Vitvi06g04121",69,50,0.72463768115942
"GCNA_unprotected","GCNA","unprotected","Vitvi07g00283",31,25,0.806451612903226
"GCNA_unprotected","GCNA","unprotected","Vitvi07g00523",745,167,0.224161073825503
"GCNA_unprotected","GCNA","unprotected","Vitvi07g00890",108,65,0.601851851851852
"GCNA_unprotected","GCNA","unprotected","Vitvi07g01267",775,357,0.460645161290323
"GCNA_unprotected","GCNA","unprotected","Vitvi07g01315",92,56,0.608695652173913
"GCNA_unprotected","GCNA","unprotected","Vitvi07g01342",439,254,0.578587699316629
"GCNA_unprotected","GCNA","unprotected","Vitvi07g01407",51,39,0.764705882352941
"GCNA_unprotected","GCNA","unprotected","Vitvi07g01719",26,18,0.692307692307692
