"variant","method","matrix","module","size"
"GCNA_unprotected","GCNA","unprotected","Vitvi00g04005",34
"GCNA_unprotected","GCNA","unprotected","Vitvi00g04006",73
"GCNA_unprotected","GCNA","unprotected","Vitvi00g04313",21
"GCNA_unprotected","GCNA","unprotected","Vitvi00g04500",35
"GCNA_unprotected","GCNA","unprotected","Vitvi00g04634",40
"GCNA_unprotected","GCNA","unprotected","Vitvi00g04728",38
"GCNA_unprotected","GCNA","unprotected","Vitvi01g00463",84
"GCNA_unprotected","GCNA","unprotected","Vitvi01g00508",555
"GCNA_unprotected","GCNA","unprotected","Vitvi01g00612",57
"GCNA_unprotected","GCNA","unprotected","Vitvi01g00656",1546
"GCNA_unprotected","GCNA","unprotected","Vitvi01g01038",281
"GCNA_unprotected","GCNA","unprotected","Vitvi01g01701",45
"GCNA_unprotected","GCNA","unprotected","Vitvi01g01751",136
"GCNA_unprotected","GCNA","unprotected","Vitvi01g02242",106
"GCNA_unprotected","GCNA","unprotected","Vitvi01g04056",102
"GCNA_unprotected","GCNA","unprotected","Vitvi01g04115",81
"GCNA_unprotected","GCNA","unprotected","Vitvi01g04132",19
"GCNA_unprotected","GCNA","unprotected","Vitvi02g00032",1260
"GCNA_unprotected","GCNA","unprotected","Vitvi02g00086",76
"GCNA_unprotected","GCNA","unprotected","Vitvi02g00429",530
"GCNA_unprotected","GCNA","unprotected","Vitvi02g00446",472
"GCNA_unprotected","GCNA","unprotected","Vitvi02g01355",435
"GCNA_unprotected","GCNA","unprotected","Vitvi02g01360",12
"GCNA_unprotected","GCNA","unprotected","Vitvi02g04106",555
"GCNA_unprotected","GCNA","unprotected","Vitvi02g04134",126
"GCNA_unprotected","GCNA","unprotected","Vitvi02g04135",131
"GCNA_unprotected","GCNA","unprotected","Vitvi03g00318",4
"GCNA_unprotected","GCNA","unprotected","Vitvi03g00692",503
"GCNA_unprotected","GCNA","unprotected","Vitvi03g01258",46
"GCNA_unprotected","GCNA","unprotected","Vitvi03g01809",92
"GCNA_unprotected","GCNA","unprotected","Vitvi03g04266",65
"GCNA_unprotected","GCNA","unprotected","Vitvi03g04466",26
"GCNA_unprotected","GCNA","unprotected","Vitvi04g00017",48
"GCNA_unprotected","GCNA","unprotected","Vitvi04g01325",46
"GCNA_unprotected","GCNA","unprotected","Vitvi04g01375",37
"GCNA_unprotected","GCNA","unprotected","Vitvi04g01550",895
"GCNA_unprotected","GCNA","unprotected","Vitvi04g01887",356
"GCNA_unprotected","GCNA","unprotected","Vitvi04g02114",22
"GCNA_unprotected","GCNA","unprotected","Vitvi04g04010",60
"GCNA_unprotected","GCNA","unprotected","Vitvi04g04011",68
"GCNA_unprotected","GCNA","unprotected","Vitvi04g04029",18
"GCNA_unprotected","GCNA","unprotected","Vitvi05g00108",431
"GCNA_unprotected","GCNA","unprotected","Vitvi05g00675",184
"GCNA_unprotected","GCNA","unprotected","Vitvi05g00726",56
"GCNA_unprotected","GCNA","unprotected","Vitvi05g01579",76
"GCNA_unprotected","GCNA","unprotected","Vitvi05g01674",113
"GCNA_unprotected","GCNA","unprotected","Vitvi05g02234",86
"GCNA_unprotected","GCNA","unprotected","Vitvi05g04062",52
"GCNA_unprotected","GCNA","unprotected","Vitvi05g04232",34
"GCNA_unprotected","GCNA","unprotected","Vitvi05g04487",62
"GCNA_unprotected","GCNA","unprotected","Vitvi05g04494",95
"GCNA_unprotected","GCNA","unprotected","Vitvi06g01410",74
"GCNA_unprotected","GCNA","unprotected","Vitvi06g01618",102
"GCNA_unprotected","GCNA","unprotected","Vitvi06g04121",69
