"geneID","PearsonCorr","Pvals","Padj","FDR","module_size"
"Vitvi00g00859",-0.449874207292219,0.00590725996608227,1,0.0177982846526642,1314
"Vitvi00g01805",-0.178982211503356,0.296273865831986,1,0.332746200349924,23
"Vitvi00g04005",0.670011628443056,7.8317607041287e-06,0.0255080446133472,0.000199237645234959,31
"Vitvi00g04006",-0.640970347085562,2.53619620580653e-05,0.0826039104231188,0.000427042207150535,87
"Vitvi00g04017",-0.545296962533973,0.000583320667650517,1,0.00394984493666888,60
"Vitvi00g04022",0.495072242300581,0.0021423652123623,1,0.0109196924830424,78
"Vitvi00g04024",-0.333777637668421,0.0466511603903606,1,0.0662060258786077,59
"Vitvi00g04030",0.449874207292219,0.00590725996608226,1,0.0177982846526642,40
"Vitvi00g04035",-0.324102923533104,0.0538052002373616,1,0.0735699148501624,43
"Vitvi00g04037",-0.538122002500631,0.00071128356377806,1,0.00462405302839349,56
"Vitvi00g04040",0.36280178007437,0.0296534634974875,1,0.0480982722167914,48
"Vitvi00g04236",-0.40897272190048,0.013263225639686,1,0.0290506562935156,20
"Vitvi00g04250",-0.566821842633998,0.000313017471211837,1,0.00239318756745763,5
"Vitvi00g04274",0.159632783232723,0.352382996354793,1,0.38721707797826,39
"Vitvi00g04275",-0.363027453216601,0.029544663902076,1,0.0480982722167914,63
"Vitvi00g04303",-0.275729352856521,0.103584434864025,1,0.12823052236873,19
"Vitvi00g04313",0.652314954998581,1.62645051497972e-05,0.0529734932728896,0.000353156621819264,21
"Vitvi00g04315",-0.353127065939054,0.0346365270501543,1,0.0535920040866283,506
"Vitvi00g04361",-0.478898349698169,0.00312849885508842,1,0.0114360502480617,172
"Vitvi00g04412",-0.449874207292219,0.00590725996608227,1,0.0177982846526642,5
"Vitvi00g04449",-0.204202942434338,0.232237283745046,1,0.266806643089106,120
"Vitvi00g04463",0.12197432056681,0.478528864785604,1,0.507346521030831,9
"Vitvi00g04498",-0.559646882600657,0.000387017462770897,1,0.002826268780818,26
"Vitvi00g04499",-0.609871602834049,7.8569440725387e-05,0.255900668442585,0.000814970281664284,13
"Vitvi00g04500",-0.670011628443056,7.83176070412865e-06,0.025508044613347,0.000199237645234959,31
"Vitvi00g04501",0.459197442133872,0.00484474340951937,1,0.0157321328861462,27
