"gene","module_size","spearman_rho","pvalue","padj_bonferroni","padj_BH","selected_bonferroni"
"Vitvi00g00786",6,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi00g00859",1314,-0.824392187992147,6.42105911361328e-10,4.51785719233831e-06,8.88695225829135e-09,TRUE
"Vitvi00g01805",23,-0.534789945679877,0.000778748352653707,1,0.00132030684560759,FALSE
"Vitvi00g04005",31,0.848818436201521,6.14198049747315e-11,4.32149747802211e-07,1.22422024873147e-09,TRUE
"Vitvi00g04006",87,-0.799794857867825,4.8678475750908e-09,3.42501755383389e-05,4.06771680977901e-08,TRUE
"Vitvi00g04011",4,0.637291797148107,2.91799556594364e-05,0.205310168019794,7.03117013766419e-05,FALSE
"Vitvi00g04017",60,-0.816811769737353,1.23759826433008e-09,8.70774138782648e-06,1.26935005653447e-08,TRUE
"Vitvi00g04018",17,-0.53094704246729,0.000863545476365859,1,0.00145252354093,FALSE
"Vitvi00g04022",78,0.854242196177249,3.4485174125585e-11,2.42637685147616e-07,7.42011269564575e-10,TRUE
"Vitvi00g04024",59,-0.861011812544602,1.62270868075849e-11,1.14173782778167e-07,4.9857547064702e-10,TRUE
"Vitvi00g04030",40,0.645746403000758,2.10820008752171e-05,0.148332958158028,5.29571432195744e-05,FALSE
"Vitvi00g04032",23,-0.699075924851621,2.10869037153981e-06,0.0148367454541541,7.01169444903313e-06,TRUE
"Vitvi00g04035",43,-0.844968114174206,9.12899289305455e-11,6.42315939955318e-07,1.79189134792846e-09,TRUE
"Vitvi00g04037",56,-0.861011812544602,1.62270868075849e-11,1.14173782778167e-07,4.9857547064702e-10,TRUE
"Vitvi00g04039",55,-0.623610398317675,4.83959829814288e-05,0.340514136257333,0.000109631080572226,FALSE
"Vitvi00g04040",48,0.36280178007437,0.0296534634974875,1,0.0332921284774729,FALSE
"Vitvi00g04044",207,-0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi00g04045",516,0.582933306486462,0.000190869311580326,1,0.000367270530032874,FALSE
"Vitvi00g04049",894,-0.631396482934074,3.63959573998368e-05,0.256081956265252,8.4907810432777e-05,FALSE
"Vitvi00g04146",165,0.420850064886269,0.010590608809886,1,0.0129098273711639,FALSE
"Vitvi00g04231",56,0.208006353909306,0.223466571725695,1,0.229836397991813,FALSE
"Vitvi00g04236",20,-0.343452351803737,0.0402822983143647,1,0.0443754894222436,FALSE
"Vitvi00g04245",13,0.478898349698169,0.00312849885508842,1,0.00423472834636439,FALSE
"Vitvi00g04249",20,-0.673835331556645,6.64489620243644e-06,0.0467534896803428,1.95539480051624e-05,TRUE
"Vitvi00g04250",5,-0.602084182241456,0.000102390038824264,0.720416313167522,0.000210401960621356,FALSE
"Vitvi00g04251",5,-0.832547156274335,3.0585442937082e-10,2.15199176505309e-06,5.2874490541845e-09,TRUE
