"gene","module_size","spearman_rho","pvalue","padj_bonferroni","padj_BH","selected_bonferroni"
"Vitvi00g00786",9,-0.478898349698169,0.00312849885508842,1,0.00453410502311375,FALSE
"Vitvi00g00859",1480,-0.787340853700365,1.22427146158592e-08,8.25771100839703e-05,1.17463883476487e-07,TRUE
"Vitvi00g01805",11,-0.438527755457499,0.00746560979133869,1,0.00970615613773699,FALSE
"Vitvi00g04005",34,0.810852116371421,2.03056993452799e-09,1.36961942083913e-05,2.71749885087129e-08,TRUE
"Vitvi00g04006",73,-0.816811769737353,1.23759826433008e-09,8.34760029290642e-06,1.90150348357777e-08,TRUE
"Vitvi00g04017",34,0.760088730172259,7.5624164511901e-08,0.000510084989632772,5.43800628606367e-07,TRUE
"Vitvi00g04018",17,-0.502247202333923,0.00180036184177854,1,0.00295532748181949,FALSE
"Vitvi00g04022",52,-0.762038276589863,6.69235268411086e-08,0.000451399188543278,5.10632566225427e-07,TRUE
"Vitvi00g04024",38,-0.796837019063017,6.09467731187234e-09,4.11085984685789e-05,6.56686876494871e-08,TRUE
"Vitvi00g04030",38,0.645746403000758,2.10820008752171e-05,0.14219809590334,5.83018023383926e-05,FALSE
"Vitvi00g04032",9,-0.655734237315233,1.41748721026222e-05,0.0956095123321866,4.16962548330513e-05,FALSE
"Vitvi00g04035",17,0.796837019063017,6.09467731187234e-09,4.11085984685789e-05,6.56686876494871e-08,TRUE
"Vitvi00g04037",28,0.796837019063017,6.09467731187234e-09,4.11085984685789e-05,6.56686876494871e-08,TRUE
"Vitvi00g04039",39,-0.613412354191466,6.94955815274754e-05,0.468747697402822,0.000164012490343884,FALSE
"Vitvi00g04040",69,-0.39182592248032,0.0181099832764267,1,0.0214564969610922,FALSE
"Vitvi00g04044",168,-0.478898349698169,0.00312849885508842,1,0.00453410502311375,FALSE
"Vitvi00g04045",617,0.609132556216191,8.05930710257105e-05,0.543600264068417,0.000186292071305146,FALSE
"Vitvi00g04049",927,-0.624221522900733,4.73386834040076e-05,0.319299419560031,0.00011657518056226,FALSE
"Vitvi00g04146",166,0.420850064886269,0.010590608809886,1,0.0131991235075169,FALSE
"Vitvi00g04231",46,-0.353127065939054,0.0346365270501543,1,0.0389957227429963,FALSE
"Vitvi00g04236",34,-0.36280178007437,0.0296534634974876,1,0.0337232526202249,FALSE
"Vitvi00g04250",5,-0.595908959859492,0.00012570381227052,0.847872213764657,0.000275551580683997,FALSE
"Vitvi00g04274",17,0.750289519408583,1.37448227308174e-07,0.000927088293193632,7.28270458125407e-07,TRUE
"Vitvi00g04275",50,-0.750289519408583,1.37448227308175e-07,0.000927088293193644,7.28270458125407e-07,TRUE
"Vitvi00g04280",261,-0.57638349405403,0.000234110207241294,1,0.000473627278896979,FALSE
"Vitvi00g04303",39,0.478898349698169,0.00312849885508842,1,0.00453410502311375,FALSE
"Vitvi00g04304",3,-0.275729352856521,0.103584434864025,1,0.109837606218809,FALSE
"Vitvi00g04313",21,0.788450249954806,1.13052940705563e-08,7.6254208505902e-05,1.10034932908951e-07,TRUE
"Vitvi00g04315",707,-0.595521682767366,0.000127313692999972,0.858730859284811,0.000275587567164576,FALSE
"Vitvi00g04316",4,-0.540331958421819,0.000669447517114842,1,0.00120411293411723,FALSE
"Vitvi00g04336",65,-0.440199493156902,0.00721598030084795,1,0.00939972713967158,FALSE
"Vitvi00g04337",1562,-0.678679836599203,5.37727468533649e-06,0.0362697177525946,1.72466560877768e-05,TRUE
"Vitvi00g04360",64,0.387798838264592,0.0194411697117518,1,0.023013459056821,FALSE
"Vitvi00g04361",190,-0.737939074644656,2.81075640112032e-07,0.00189585519255565,1.31382896227003e-06,TRUE
"Vitvi00g04369",747,-0.810497937632729,2.09006702735936e-09,1.40975020995389e-05,2.72678957437889e-08,TRUE
"Vitvi00g04376",100,-0.478136307567548,0.00318339348719661,1,0.00459884109469718,FALSE
