"rep","n_significant","median_module_size","anchor_identity_jaccard","mean_partner_set_jaccard"
1,360,215,0.341269841269841,0.421448696866434
2,220,120.5,0.278745644599303,0.488094011255151
3,176,91.5,0.454954954954955,0.507115997733474
4,337,120,0.398843930635838,0.540997454437973
5,204,145,0.45643153526971,0.496579924906738
6,428,160,0.315789473684211,0.444190031976807
7,359,508,0.33509234828496,0.372252732064594
8,138,99,0.637931034482759,0.509652454870949
9,299,373,0.39375,0.352886246858405
10,312,242.5,0.390909090909091,0.319046743345632
11,359,186,0.317708333333333,0.337748236314994
12,95,110,0.493827160493827,0.542097083795249
13,407,155,0.325358851674641,0.467485281885692
14,338,203,0.25,0.425324194654985
15,254,116,0.363945578231293,0.44636708870962
16,333,97,0.212121212121212,0.386735708635938
17,476,260,0.258585858585859,0.30130666442245
18,109,77,0.376344086021505,0.516675673746926
19,204,110.5,0.415322580645161,0.449771539967291
20,206,178,0.452674897119342,0.416179091473518
21,146,111.5,0.502564102564103,0.552545084419391
22,117,72,0.419354838709677,0.528602944890018
23,158,93,0.48780487804878,0.470295405189235
24,624,380.5,0.195348837209302,0.427430084344073
25,125,68,0.373737373737374,0.478624823039566
26,131,90,0.440414507772021,0.512117974273463
27,369,135,0.283582089552239,0.505952182708778
28,403,196,0.244343891402715,0.288624125526125
29,186,89,0.616504854368932,0.562233048441905
30,325,149,0.413173652694611,0.486146233592357
31,342,221.5,0.347107438016529,0.484350915937411
32,213,79,0.487603305785124,0.490435428426965
33,534,262.5,0.22262118491921,0.385862020044127
34,254,272.5,0.437275985663082,0.342302069983123
35,201,118,0.392,0.482631093593309
36,324,136,0.330508474576271,0.477591340658403
37,188,173.5,0.495535714285714,0.266674912857821
38,334,131.5,0.289544235924933,0.423846770037093
39,379,160,0.355670103092784,0.422411215362093
40,213,61,0.422924901185771,0.540152678781652
41,265,113,0.364238410596026,0.472856634715067
42,162,120,0.437209302325581,0.484116171964113
43,284,219,0.322085889570552,0.256154325423803
44,157,97,0.454545454545455,0.543149357678182
45,173,127,0.6,0.494750252615966
46,211,125,0.371647509578544,0.547853182911313
47,267,114,0.370860927152318,0.491247625893603
48,165,159,0.536945812807882,0.385224154021105
49,218,88,0.55982905982906,0.51775948078021
50,331,276,0.38953488372093,0.345908322494103
51,244,123.5,0.362369337979094,0.37507694149292
52,112,92,0.407608695652174,0.397996376148952
53,118,112,0.394736842105263,0.462585398851849
54,238,98,0.300675675675676,0.528303232892109
55,250,122.5,0.459558823529412,0.495445998134934
56,295,183,0.36,0.436832122201597
57,82,92,0.422360248447205,0.53362776267283
58,183,78,0.493212669683258,0.493522371670666
59,150,79.5,0.530927835051546,0.419433844015042
60,261,186,0.411764705882353,0.359201882352068
61,169,90,0.497630331753554,0.47243366406336
62,179,150,0.58252427184466,0.424047250715798
