"rep","n_significant","median_module_size","anchor_identity_jaccard","mean_partner_set_jaccard"
1,147,120,0.706214689265537,0.524218051898571
2,156,105.5,0.502415458937198,0.510277438819365
3,230,115,0.463878326996198,0.480587034411854
4,88,110.5,0.5,0.513449919489343
5,119,182,0.427083333333333,0.347595761972211
6,90,123.5,0.432748538011696,0.391030488633707
7,227,131,0.414814814814815,0.373815392100255
8,299,195,0.367469879518072,0.412465103713831
9,279,193,0.466216216216216,0.398524937466984
10,134,112,0.570652173913043,0.466293282298499
11,261,83,0.346278317152104,0.580411089770365
12,205,123,0.592920353982301,0.493046930764516
13,205,88,0.428571428571429,0.453584900402007
14,216,123.5,0.502024291497976,0.46515468376737
15,104,100.5,0.48,0.500599307780682
16,254,79,0.420138888888889,0.560634554086954
17,458,140.5,0.218687872763419,0.404919610820755
18,266,257,0.366883116883117,0.400641098204619
19,244,147.5,0.419928825622776,0.405998481444444
20,190,98.5,0.642857142857143,0.539662966577885
21,461,115,0.246963562753036,0.351936913774174
22,360,102.5,0.290726817042607,0.423019983970571
23,205,152,0.45748987854251,0.47987649944917
24,309,261,0.278236914600551,0.352670108248021
25,331,129,0.376770538243626,0.489442651340993
26,251,184,0.376271186440678,0.396673315566349
27,203,173,0.443548387096774,0.46883397783814
28,119,126,0.36318407960199,0.374756116161833
29,153,162,0.452830188679245,0.435246595925887
30,281,157,0.325227963525836,0.328982003370492
31,106,130,0.535294117647059,0.508983229515106
32,215,114,0.428571428571429,0.608496819821367
33,158,153.5,0.483412322274882,0.424319646286368
34,756,239.5,0.167948717948718,0.301706679853073
35,330,168,0.314363143631436,0.456973075759442
36,227,113,0.452471482889734,0.378557101312194
37,497,327,0.275929549902153,0.32064308606334
38,886,840.5,0.127843986998917,0.338302474140622
39,146,110.5,0.497512437810945,0.504638481123433
40,393,94,0.304761904761905,0.391413270728323
41,150,122,0.50990099009901,0.450607599718065
42,188,156,0.405737704918033,0.457236556031583
43,185,183,0.452991452991453,0.316716088820449
44,263,161,0.366013071895425,0.455128869983928
45,112,93,0.53448275862069,0.576752316980031
46,183,107,0.601895734597156,0.550126607225293
47,711,183,0.19448275862069,0.413515754620931
48,354,280.5,0.339473684210526,0.431639213265254
49,160,115.5,0.451612903225806,0.513899401358281
50,99,97,0.494117647058824,0.469533302876988
51,114,102.5,0.438502673796791,0.461737681620731
52,252,140.5,0.418118466898955,0.479764365361668
53,181,123,0.570093457943925,0.455459525487346
54,141,116,0.751479289940828,0.596022622654932
55,153,90,0.555555555555556,0.499035894314421
56,250,105,0.472727272727273,0.434955669879252
57,232,135,0.329896907216495,0.331776843474886
58,235,94,0.349480968858132,0.481788974847698
59,431,122,0.193482688391039,0.514913876805016
60,201,141,0.407114624505929,0.380173932815285
61,321,118,0.45565749235474,0.499205528783548
62,183,100,0.648780487804878,0.48478027125659
63,167,98,0.634517766497462,0.547556332529441
64,365,146,0.160714285714286,0.405350545120493
65,176,157.5,0.484304932735426,0.419849560524646
66,142,96.5,0.427884615384615,0.517678850937828
67,184,100,0.473913043478261,0.427534588060255
68,216,84,0.526748971193416,0.472414222340132
69,293,107,0.440514469453376,0.480322359111009
70,245,89,0.503759398496241,0.567791196492638
71,132,88.5,0.406862745098039,0.482723183173376
72,329,153,0.398843930635838,0.522254778949977
73,153,223,0.502439024390244,0.28991694280221
74,270,142,0.332288401253919,0.41109799640276
75,192,72,0.489270386266094,0.59021375681904
76,423,178,0.353629976580796,0.424986139662928
77,150,196.5,0.596858638743455,0.391677414746074
78,226,107,0.400735294117647,0.498597072557595
79,197,103,0.466666666666667,0.478932395285115
80,337,98,0.347945205479452,0.547874053840947
81,153,117,0.446009389671362,0.475961703531806
82,273,182,0.371794871794872,0.447705595611677
83,408,527.5,0.288329519450801,0.407895787244401
84,139,99,0.420289855072464,0.470878762157664
85,358,322,0.302030456852792,0.383258125414706
86,261,93,0.32484076433121,0.485215077755885
87,225,98,0.507936507936508,0.54541008475465
88,353,313,0.343915343915344,0.312330189604824
89,172,108,0.549763033175355,0.461356623501346
90,269,248,0.418060200668896,0.367260455963657
91,96,182,0.549382716049383,0.358373265134345
92,511,323,0.27831094049904,0.374219998496067
93,299,362,0.367469879518072,0.336304196766576
94,240,101,0.425992779783394,0.481437924025738
95,213,163,0.579399141630901,0.395808507699852
96,357,271,0.343832020997375,0.353615312259604
97,333,165,0.386363636363636,0.475595566840368
98,159,100,0.453703703703704,0.497468744940702
99,78,92,0.386904761904762,0.538391222690136
100,257,126,0.387205387205387,0.380941985256732
101,206,97.5,0.426877470355731,0.491833183169877
102,351,148,0.324607329842932,0.441709392501933
103,448,261.5,0.282978723404255,0.418526184321808
104,157,123,0.294605809128631,0.421093422221913
105,323,142,0.410029498525074,0.419224489584113
106,269,307,0.372168284789644,0.420991419800902
107,186,111.5,0.608490566037736,0.497822615350815
108,131,193,0.375,0.309237596251655
109,194,142.5,0.401606425702811,0.419436124625274
110,96,93,0.371584699453552,0.48766466060974
111,120,122.5,0.432291666666667,0.393773712474314
112,234,143.5,0.543650793650794,0.37052456021961
113,128,136,0.280542986425339,0.346465264386888
114,402,110.5,0.248878923766816,0.50519876454576
115,223,97,0.470817120622568,0.414608016647779
116,166,96.5,0.589108910891089,0.587087570946532
117,210,130,0.403846153846154,0.378540565115578
118,162,136,0.372294372294372,0.398076921924211
119,149,90,0.535353535353535,0.609757816609655
120,191,106,0.373015873015873,0.336640077370124
121,314,270.5,0.371345029239766,0.379460719938466
122,168,87.5,0.474885844748858,0.501468641676696
123,422,157,0.317351598173516,0.438043701961293
124,169,117,0.427312775330396,0.43645745085063
125,234,85.5,0.301003344481605,0.471315747833022
126,321,216,0.363896848137536,0.418571237915111
127,88,103,0.388571428571429,0.544994962851274
128,231,311,0.383512544802867,0.4203709190083
129,129,191,0.463917525773196,0.297382836594643
130,143,87,0.628415300546448,0.555451573144741
131,149,160,0.497536945812808,0.396781461157363
132,345,307,0.319261213720317,0.41251160875262
133,210,190,0.398467432950192,0.406942311961286
134,131,92,0.451776649746193,0.536034275376699
135,211,112,0.464,0.421760623719057
136,194,94.5,0.454166666666667,0.546746395255007
137,373,156,0.382198952879581,0.409557672067111
138,159,95,0.447004608294931,0.413260361533723
139,714,306.5,0.201936376210235,0.404903680929863
140,163,120,0.614213197969543,0.456672421732045
141,200,89.5,0.448979591836735,0.527265882624841
142,175,122,0.65,0.497610570885474
143,238,371,0.359861591695502,0.413731565694579
144,317,156,0.400593471810089,0.49751421962186
145,297,225,0.36969696969697,0.446182182533716
146,329,158,0.355742296918768,0.400861698027362
147,270,116,0.39344262295082,0.450704633843547
148,98,155.5,0.421348314606742,0.321265027091255
149,166,88,0.472477064220183,0.506340714704944
150,143,70,0.512690355329949,0.554557570879195
151,123,127,0.588571428571429,0.449875094794378
152,273,217,0.385113268608414,0.421864340436418
153,170,169.5,0.477272727272727,0.376710041411091
154,275,154,0.472602739726027,0.577479702836841
155,200,115.5,0.286231884057971,0.49560878310314
156,181,129,0.467248908296943,0.444262794423442
157,180,163,0.437768240343348,0.526938542670606
158,233,127,0.40072202166065,0.384952988194396
159,662,207.5,0.212166172106825,0.442690754456995
160,157,75,0.451162790697674,0.516084910913545
161,492,424.5,0.202602230483271,0.37834936707148
162,216,144.5,0.514285714285714,0.485926046294291
163,395,211,0.282051282051282,0.349974389184466
164,210,108,0.393129770992366,0.450009768851982
165,291,189,0.376543209876543,0.449404032417747
166,149,83,0.447619047619048,0.458750631758428
167,177,83,0.57345971563981,0.489486962773142
168,307,483,0.331412103746398,0.398273006814626
169,479,302,0.288617886178862,0.367395651420661
170,166,97,0.407894736842105,0.476687235678705
171,221,118,0.402985074626866,0.515382702286601
172,112,109.5,0.475138121546961,0.4468604425427
173,277,244,0.411764705882353,0.533706836016003
174,356,400,0.369973190348525,0.390440966715838
175,244,119.5,0.375862068965517,0.545267876238301
176,307,104,0.305084745762712,0.364002908512171
177,377,132,0.31358024691358,0.515540933681229
178,171,78,0.523364485981308,0.578232031054325
179,551,115,0.242957746478873,0.493586407832697
180,202,138,0.405511811023622,0.430466938850591
181,245,116,0.384083044982699,0.484520775767929
182,225,107,0.583333333333333,0.517587975897206
183,288,247.5,0.284057971014493,0.424747943507298
184,157,80,0.492822966507177,0.564166547624489
185,230,122,0.492248062015504,0.442228749821968
186,388,95,0.324390243902439,0.551922080797974
187,169,105,0.52112676056338,0.492489416518322
188,138,84.5,0.487309644670051,0.573121807178206
189,336,187.5,0.406876790830946,0.440003128266876
190,172,79.5,0.459821428571429,0.49952582709909
191,138,88,0.45771144278607,0.603369514964777
192,262,357.5,0.394648829431438,0.353889821694408
193,352,134.5,0.381471389645777,0.465198490805008
194,134,89,0.513089005235602,0.529652897236246
195,349,128,0.309090909090909,0.428329762597178
196,398,132,0.31980906921241,0.448289885593092
197,250,232,0.319218241042345,0.273643282700643
198,91,95,0.382022471910112,0.458557498041779
199,494,390,0.287698412698413,0.296069098923699
200,197,86,0.460580912863071,0.530185144419477
