"variant","reference","n_variant_edges","n_ref_edges","n_overlap","jaccard","precision","recall"
"hub_anchored_unprotected_3553","ref_physical_any",2005423,459310,2477,0.00100598800449669,0.0012351508883662,0.00539287191657051
"hub_anchored_unprotected_3553","ref_detailed_any",2005423,4159790,27044,0.00440587412956535,0.0134854342450446,0.00650128972856803
"hub_anchored_unprotected_3553","ref_detailed_700",2005423,201208,1522,0.000690215313619417,0.000758942128418792,0.00756431155818854
"hub_anchored_unprotected_3553","ref_coexpression_above_median",2005423,2063880,13592,0.0033513236026926,0.00677762247665455,0.00658565420470182
"hub_anchored_unprotected_9459","ref_physical_any",5131727,459310,7644,0.00136905999631407,0.00148955702437016,0.0166423548366027
"hub_anchored_unprotected_9459","ref_detailed_any",5131727,4159790,72140,0.00782482373808989,0.0140576457009502,0.0173422216025328
"hub_anchored_unprotected_9459","ref_detailed_700",5131727,201208,4621,0.000867253694132891,0.000900476584198653,0.0229662836467735
"hub_anchored_unprotected_9459","ref_coexpression_above_median",5131727,2063880,36915,0.00515666828521188,0.00719348476643438,0.0178862143147857
"WGCNA_restricted_unprotected_3553","ref_physical_any",1129331,459310,570,0.000358926017791396,0.000504723592994437,0.00124099192266661
"WGCNA_restricted_unprotected_3553","ref_detailed_any",1129331,4159790,10227,0.00193733763170846,0.00905580383430544,0.0024585375704062
"WGCNA_restricted_unprotected_3553","ref_detailed_700",1129331,201208,279,0.000209733435568987,0.000247048916570961,0.0013866247862908
"WGCNA_restricted_unprotected_3553","ref_coexpression_above_median",1129331,2063880,4460,0.00139866675071211,0.00394924074518454,0.00216097835145454
"WGCNA_restricted_unprotected_9459","ref_physical_any",3770539,459310,2239,0.000529613658781203,0.000593814306124403,0.00487470335938691
"WGCNA_restricted_unprotected_9459","ref_detailed_any",3770539,4159790,34564,0.00437753656548795,0.00916685916788024,0.00830907329456535
"WGCNA_restricted_unprotected_9459","ref_detailed_700",3770539,201208,1142,0.00028761360044628,0.000302874469671312,0.00567571865929784
"WGCNA_restricted_unprotected_9459","ref_coexpression_above_median",3770539,2063880,14925,0.00256465596493441,0.00395832001737683,0.00723152508866795
"WGCNA_genomewide_unprotected","ref_physical_any",17177590,459310,29124,0.0016540419414695,0.00169546484693138,0.0634081557118286
"WGCNA_genomewide_unprotected","ref_detailed_any",17177590,4159790,238148,0.0112870458981635,0.013863877295942,0.0572500054089269
"WGCNA_genomewide_unprotected","ref_detailed_700",17177590,201208,15671,0.000902544800829943,0.000912293284447935,0.0778845771539899
"WGCNA_genomewide_unprotected","ref_coexpression_above_median",17177590,2063880,122938,0.00643030542303143,0.00715688289218686,0.0595664476616858
"hub_anchored_protected_3553","ref_physical_any",1390306,459310,1658,0.000897206538243835,0.00119254322429738,0.00360976246979164
"hub_anchored_protected_3553","ref_detailed_any",1390306,4159790,18845,0.0034070050337618,0.0135545700011364,0.00453027676877919
"hub_anchored_protected_3553","ref_detailed_700",1390306,201208,1042,0.000655151426746274,0.000749475295366632,0.00517872052801081
"hub_anchored_protected_3553","ref_coexpression_above_median",1390306,2063880,9341,0.00271158789437551,0.0067186648119191,0.00452594143070334
"hub_anchored_protected_9459","ref_physical_any",4783477,459310,6891,0.00131610711901077,0.00144058390998849,0.0150029391913958
"hub_anchored_protected_9459","ref_detailed_any",4783477,4159790,65860,0.00741883299932064,0.0137682275884257,0.0158325300075244
"hub_anchored_protected_9459","ref_detailed_700",4783477,201208,4180,0.000839272322786545,0.000873841350130878,0.0207745218877977
"hub_anchored_protected_9459","ref_coexpression_above_median",4783477,2063880,33275,0.00488326967594461,0.00695623706354185,0.0161225458844506
"WGCNA_restricted_protected_3553","ref_physical_any",1104766,459310,554,0.000354328240984137,0.000501463658367473,0.00120615706167948
"WGCNA_restricted_protected_3553","ref_detailed_any",1104766,4159790,10086,0.00191950853273499,0.00912953512327497,0.00242464162854375
"WGCNA_restricted_protected_3553","ref_detailed_700",1104766,201208,275,0.000210615157092102,0.000248921491066887,0.00136674486103932
"WGCNA_restricted_protected_3553","ref_coexpression_above_median",1104766,2063880,4415,0.00139528371980427,0.00399632139294656,0.00213917475822238
"WGCNA_restricted_protected_9459","ref_physical_any",3298677,459310,1993,0.000530618526014685,0.000604181615841745,0.00433911737170974
"WGCNA_restricted_protected_9459","ref_detailed_any",3298677,4159790,31059,0.00418167414527383,0.00941559297863962,0.00746648268302006
"WGCNA_restricted_protected_9459","ref_detailed_700",3298677,201208,964,0.000275513508307275,0.000292238373141717,0.00479106198560693
"WGCNA_restricted_protected_9459","ref_coexpression_above_median",3298677,2063880,12993,0.00242879606637102,0.00393885184878665,0.00629542415256701
"WGCNA_genomewide_protected","ref_physical_any",14634213,459310,25851,0.00171565985774047,0.00176647695369748,0.0562822494611482
"WGCNA_genomewide_protected","ref_detailed_any",14634213,4159790,207853,0.0111832197631032,0.0142032236376497,0.0499671858435161
"WGCNA_genomewide_protected","ref_detailed_700",14634213,201208,14391,0.000970985147456013,0.000983380520701728,0.071523001073516
"WGCNA_genomewide_protected","ref_coexpression_above_median",14634213,2063880,109057,0.0065740408303412,0.00745219438858789,0.052840765936004
