"method","combat","parameter","reference","n_method_edges","n_ref_edges","n_overlap","jaccard","precision_method_in_ref","recall_of_ref"
"hub_anchored","unprotected","r>=0.75","ref_physical_any",1356980,459310,1302,0.000717360114777618,0.000959483559079721,0.00283468681282794
"hub_anchored","unprotected","r>=0.75","ref_detailed_any",1356980,4159790,16090,0.00292509289760539,0.0118572123391649,0.00386798372033204
"hub_anchored","unprotected","r>=0.75","ref_detailed_700",1356980,201208,707,0.00045393812187757,0.000521009889607806,0.00351377678819928
"hub_anchored","unprotected","r>=0.75","ref_coexpression_above_median",1356980,2063880,7361,0.00215643830567989,0.00542454568232398,0.00356658332848809
"hub_anchored","unprotected","r>=0.775","ref_physical_any",1071971,459310,1114,0.000728025110984618,0.00103920721735942,0.00242537719622913
"hub_anchored","unprotected","r>=0.775","ref_detailed_any",1071971,4159790,13198,0.00252904870555362,0.0123119002286442,0.00317275631702562
"hub_anchored","unprotected","r>=0.775","ref_detailed_700",1071971,201208,633,0.000497427990815263,0.000590501049002258,0.00314599817104688
"hub_anchored","unprotected","r>=0.775","ref_coexpression_above_median",1071971,2063880,6135,0.00196024175995522,0.00572310258393184,0.00297255654398512
"hub_anchored","unprotected","r>=0.8","ref_physical_any",815564,459310,929,0.000729230853765272,0.00113908902305644,0.0020225991160654
"hub_anchored","unprotected","r>=0.8","ref_detailed_any",815564,4159790,10503,0.00211547134042895,0.0128782045308523,0.00252488707362631
"hub_anchored","unprotected","r>=0.8","ref_detailed_700",815564,201208,549,0.000540235755341101,0.000673153792958002,0.00272851974076577
"hub_anchored","unprotected","r>=0.8","ref_coexpression_above_median",815564,2063880,4958,0.00172483010875684,0.00607922860744221,0.0024022714498905
"hub_anchored","unprotected","r>=0.817","ref_physical_any",658219,459310,810,0.000725339140822355,0.00123059346509292,0.0017635148374736
"hub_anchored","unprotected","r>=0.817","ref_detailed_any",658219,4159790,8813,0.0018325308429933,0.0133891607504493,0.00211861656477851
"hub_anchored","unprotected","r>=0.817","ref_detailed_700",658219,201208,486,0.00056581301858917,0.000738356079055755,0.00241541091805495
"hub_anchored","unprotected","r>=0.817","ref_coexpression_above_median",658219,2063880,4228,0.00155562938785542,0.00642339403754677,0.00204856871523538
"hub_anchored","unprotected","r>=0.85","ref_physical_any",396215,459310,627,0.000733420829151548,0.00158247416175561,0.00136509111493327
"hub_anchored","unprotected","r>=0.85","ref_detailed_any",396215,4159790,5819,0.00127884882068557,0.0146864707292758,0.00139886869289075
"hub_anchored","unprotected","r>=0.85","ref_detailed_700",396215,201208,386,0.000646526094697649,0.000974218542962785,0.00191841278676792
"hub_anchored","unprotected","r>=0.85","ref_coexpression_above_median",396215,2063880,2904,0.00118183730935039,0.00732935401234178,0.00140705854991569
"hub_anchored","protected","r>=0.75","ref_physical_any",1214438,459310,1229,0.000734819753916099,0.00101199073151532,0.00267575275957414
"hub_anchored","protected","r>=0.75","ref_detailed_any",1214438,4159790,14710,0.0027446497987319,0.0121125985846951,0.00353623620423146
"hub_anchored","protected","r>=0.75","ref_detailed_700",1214438,201208,684,0.000483405208055057,0.000563223482796158,0.00339946721800326
"hub_anchored","protected","r>=0.75","ref_coexpression_above_median",1214438,2063880,6838,0.00209018548180029,0.0056305879756727,0.00331317712270093
"hub_anchored","protected","r>=0.775","ref_physical_any",945834,459310,1041,0.000741398601099777,0.00110061596432355,0.00226644314297533
"hub_anchored","protected","r>=0.775","ref_detailed_any",945834,4159790,11867,0.00232971458984007,0.0125465990860976,0.00285278824171413
"hub_anchored","protected","r>=0.775","ref_detailed_700",945834,201208,598,0.000521612917857305,0.000632246250399119,0.00297204882509642
"hub_anchored","protected","r>=0.775","ref_coexpression_above_median",945834,2063880,5608,0.00186677833605073,0.00592915881645194,0.00271721224102176
"hub_anchored","protected","r>=0.8","ref_physical_any",707985,459310,879,0.000753590485727219,0.00124155172779084,0.00191374017548061
"hub_anchored","protected","r>=0.8","ref_detailed_any",707985,4159790,9374,0.00192944139440116,0.013240393511162,0.00225347914197592
"hub_anchored","protected","r>=0.8","ref_detailed_700",707985,201208,504,0.000554645208646743,0.000711879488972224,0.00250487058168661
"hub_anchored","protected","r>=0.8","ref_coexpression_above_median",707985,2063880,4481,0.00161921872786718,0.00632923013905662,0.00217115336162955
"hub_anchored","protected","r>=0.817","ref_physical_any",564851,459310,760,0.000742621904805643,0.00134548757105856,0.00165465589688881
"hub_anchored","protected","r>=0.817","ref_detailed_any",564851,4159790,7766,0.0016464290446535,0.0137487585221589,0.00186692116669351
"hub_anchored","protected","r>=0.817","ref_detailed_700",564851,201208,456,0.000595608951375582,0.000807292542635137,0.00226631147866884
"hub_anchored","protected","r>=0.817","ref_coexpression_above_median",564851,2063880,3774,0.00143773783722933,0.00668140801733555,0.00182859468573754
"hub_anchored","protected","r>=0.85","ref_physical_any",331023,459310,591,0.000748345662254255,0.00178537443017555,0.00128671267771222
"hub_anchored","protected","r>=0.85","ref_detailed_any",331023,4159790,5050,0.00112578395247364,0.0152557375167284,0.00121400359152746
"hub_anchored","protected","r>=0.85","ref_detailed_700",331023,201208,366,0.000688144547958599,0.00110566335269755,0.00181901316051052
"hub_anchored","protected","r>=0.85","ref_coexpression_above_median",331023,2063880,2543,0.00106296711197311,0.00768224564456246,0.00123214527976433
"WGCNA","unprotected","power=8","ref_physical_any",17177590,459310,29124,0.0016540419414695,0.00169546484693138,0.0634081557118286
"WGCNA","unprotected","power=8","ref_detailed_any",17177590,4159790,238148,0.0112870458981635,0.013863877295942,0.0572500054089269
"WGCNA","unprotected","power=8","ref_detailed_700",17177590,201208,15671,0.000902544800829943,0.000912293284447935,0.0778845771539899
"WGCNA","unprotected","power=8","ref_coexpression_above_median",17177590,2063880,122938,0.00643030542303143,0.00715688289218686,0.0595664476616858
"WGCNA","protected","power=8","ref_physical_any",14634213,459310,25851,0.00171565985774047,0.00176647695369748,0.0562822494611482
"WGCNA","protected","power=8","ref_detailed_any",14634213,4159790,207853,0.0111832197631032,0.0142032236376497,0.0499671858435161
"WGCNA","protected","power=8","ref_detailed_700",14634213,201208,14391,0.000970985147456013,0.000983380520701728,0.071523001073516
"WGCNA","protected","power=8","ref_coexpression_above_median",14634213,2063880,109057,0.0065740408303412,0.00745219438858789,0.052840765936004
