"method","combat","module","n_genes","pve_pc1"
"hub_anchored","unprotected","Vitvi00g04005",34,0.886452178227483
"hub_anchored","unprotected","Vitvi00g04006",73,0.785969001487699
"hub_anchored","unprotected","Vitvi00g04313",21,0.780706591854794
"hub_anchored","unprotected","Vitvi00g04500",35,0.89302859935118
"hub_anchored","unprotected","Vitvi00g04634",40,0.884164258956494
"hub_anchored","unprotected","Vitvi00g04728",38,0.881948995183701
"hub_anchored","unprotected","Vitvi01g00463",84,0.810306012751768
"hub_anchored","unprotected","Vitvi01g00508",555,0.821879690650328
"hub_anchored","unprotected","Vitvi01g00612",57,0.82157894476217
"hub_anchored","unprotected","Vitvi01g00656",1546,0.850439875498794
"hub_anchored","unprotected","Vitvi01g01038",281,0.828939408788402
"hub_anchored","unprotected","Vitvi01g01701",45,0.841767516998204
"hub_anchored","unprotected","Vitvi01g01751",136,0.877100014162844
"hub_anchored","unprotected","Vitvi01g02242",106,0.882169790076866
"hub_anchored","unprotected","Vitvi01g04056",102,0.803902733086451
"hub_anchored","unprotected","Vitvi01g04115",81,0.786703017645057
"hub_anchored","unprotected","Vitvi01g04132",19,0.843102543255473
"hub_anchored","unprotected","Vitvi02g00032",1260,0.862163580279546
"hub_anchored","unprotected","Vitvi02g00086",76,0.807081856769449
"hub_anchored","unprotected","Vitvi02g00429",530,0.829969073295502
"hub_anchored","unprotected","Vitvi02g00446",472,0.808894761456173
"hub_anchored","unprotected","Vitvi02g01355",435,0.88762110679245
"hub_anchored","unprotected","Vitvi02g01360",12,0.855901102348463
"hub_anchored","unprotected","Vitvi02g04106",555,0.814572757441453
"hub_anchored","unprotected","Vitvi02g04134",126,0.88327895644393
"hub_anchored","unprotected","Vitvi02g04135",131,0.883512012794363
"hub_anchored","unprotected","Vitvi03g00318",4,0.915292137719807
"hub_anchored","unprotected","Vitvi03g00692",503,0.855201691905734
"hub_anchored","unprotected","Vitvi03g01258",46,0.809576617278674
"hub_anchored","unprotected","Vitvi03g01809",92,0.857427844203957
"hub_anchored","unprotected","Vitvi03g04266",65,0.823420519213893
"hub_anchored","unprotected","Vitvi03g04466",26,0.821250950325108
"hub_anchored","unprotected","Vitvi04g00017",48,0.796071255398743
"hub_anchored","unprotected","Vitvi04g01325",46,0.867738036277337
"hub_anchored","unprotected","Vitvi04g01375",37,0.880682615494668
"hub_anchored","unprotected","Vitvi04g01550",895,0.804380010017938
"hub_anchored","unprotected","Vitvi04g01887",356,0.81738519532008
"hub_anchored","unprotected","Vitvi04g02114",22,0.789759960795087
"hub_anchored","unprotected","Vitvi04g04010",60,0.83466755205545
"hub_anchored","unprotected","Vitvi04g04011",68,0.82453765169709
"hub_anchored","unprotected","Vitvi04g04029",18,0.834506492551492
"hub_anchored","unprotected","Vitvi05g00108",431,0.827437914123431
"hub_anchored","unprotected","Vitvi05g00675",184,0.81206030276754
"hub_anchored","unprotected","Vitvi05g00726",56,0.837155776453388
"hub_anchored","unprotected","Vitvi05g01579",76,0.817576492831621
"hub_anchored","unprotected","Vitvi05g01674",113,0.763128338109275
"hub_anchored","unprotected","Vitvi05g02234",86,0.894077183446644
"hub_anchored","unprotected","Vitvi05g04062",52,0.869430317078688
"hub_anchored","unprotected","Vitvi05g04232",34,0.795591779338758
"hub_anchored","unprotected","Vitvi05g04487",62,0.914855064197925
"hub_anchored","unprotected","Vitvi05g04494",95,0.897557192981611
"hub_anchored","unprotected","Vitvi06g01410",74,0.83350934284293
"hub_anchored","unprotected","Vitvi06g01618",102,0.844100298500918
"hub_anchored","unprotected","Vitvi06g04121",69,0.843917959181797
"hub_anchored","unprotected","Vitvi07g00283",31,0.794810542165279
"hub_anchored","unprotected","Vitvi07g00523",745,0.815895017915622
"hub_anchored","unprotected","Vitvi07g00890",108,0.888980023039057
"hub_anchored","unprotected","Vitvi07g01267",775,0.881459818676658
"hub_anchored","unprotected","Vitvi07g01315",92,0.829462458262241
"hub_anchored","unprotected","Vitvi07g01342",439,0.886055140713156
"hub_anchored","unprotected","Vitvi07g01407",51,0.804750747709028
"hub_anchored","unprotected","Vitvi07g01719",26,0.815224661428778
"hub_anchored","unprotected","Vitvi07g01829",683,0.811438893697924
"hub_anchored","unprotected","Vitvi07g02323",129,0.867503729584431
"hub_anchored","unprotected","Vitvi07g03086",80,0.87632178212309
"hub_anchored","unprotected","Vitvi08g00795",42,0.874361651138872
"hub_anchored","unprotected","Vitvi08g00957",15,0.78661171314294
"hub_anchored","unprotected","Vitvi08g01235",110,0.881582611975913
"hub_anchored","unprotected","Vitvi08g01333",57,0.795152286237877
"hub_anchored","unprotected","Vitvi08g01617",32,0.801863853114716
"hub_anchored","unprotected","Vitvi08g01846",9,0.831727384308752
"hub_anchored","unprotected","Vitvi08g01897",44,0.828894624167077
"hub_anchored","unprotected","Vitvi08g02218",82,0.807681307411093
"hub_anchored","unprotected","Vitvi08g02288",53,0.861458360638932
"hub_anchored","unprotected","Vitvi09g00419",102,0.846190763381869
"hub_anchored","unprotected","Vitvi09g00867",74,0.821395757682004
"hub_anchored","unprotected","Vitvi09g01646",9,0.863854020442305
"hub_anchored","unprotected","Vitvi09g01698",26,0.897019336697841
"hub_anchored","unprotected","Vitvi09g04280",56,0.878213611498439
"hub_anchored","unprotected","Vitvi10g00562",1459,0.860373363675545
"hub_anchored","unprotected","Vitvi10g00984",68,0.833769287495657
"hub_anchored","unprotected","Vitvi10g01812",433,0.862216724222169
"hub_anchored","unprotected","Vitvi10g04044",65,0.859800455346032
"hub_anchored","unprotected","Vitvi10g04085",30,0.819589635562769
"hub_anchored","unprotected","Vitvi10g04276",933,0.883658034622229
"hub_anchored","unprotected","Vitvi10g04282",32,0.850985890108026
"hub_anchored","unprotected","Vitvi10g04464",43,0.880814789042966
"hub_anchored","unprotected","Vitvi10g04504",97,0.804781702187456
"hub_anchored","unprotected","Vitvi11g00075",301,0.841300953971887
"hub_anchored","unprotected","Vitvi11g00217",118,0.809181680973092
"hub_anchored","unprotected","Vitvi11g00285",197,0.862608501794628
"hub_anchored","unprotected","Vitvi11g00286",215,0.758674442446409
