"method","combat","module","size","bin_size_used","n_mapped_genes","physical_ppi_n_covered","physical_ppi_mean_score","physical_ppi_null_mean_of_means","physical_ppi_p_enrichment","detailed_coexpr_n_covered","detailed_coexpr_mean_score","detailed_coexpr_null_mean_of_means","detailed_coexpr_p_enrichment","detailed_combined_n_covered","detailed_combined_mean_score","detailed_combined_null_mean_of_means","detailed_combined_p_enrichment"
"hub_anchored","unprotected","Vitvi00g04005",34,32,24,0,NA,359.213003663004,NA,16,18.625,81.6212033011656,0.885,16,179.125,284.404831147356,0.935
"hub_anchored","unprotected","Vitvi00g04006",73,71,46,0,NA,357.577000616919,NA,26,90,82.4974689396933,0.348258706467662,26,239,286.508573033137,0.870646766169154
"hub_anchored","unprotected","Vitvi00g04313",21,19,10,0,NA,307.826086956522,NA,2,54,77.4408630328442,0.49375,2,161,277.562136867326,0.95625
"hub_anchored","unprotected","Vitvi00g04500",35,32,14,0,NA,359.213003663004,NA,2,287,81.6212033011656,0.025,2,353,284.404831147356,0.21
"hub_anchored","unprotected","Vitvi00g04634",40,42,21,0,NA,347.684413580247,NA,8,273.5,78.4171053940454,0.01,8,328.25,281.000825939103,0.23
"hub_anchored","unprotected","Vitvi00g04728",38,42,18,0,NA,347.684413580247,NA,4,287,78.4171053940454,0.005,4,319.5,281.000825939103,0.28
"hub_anchored","unprotected","Vitvi01g00463",84,92,46,0,NA,330.185634296459,NA,12,26.5,86.0477364795512,1,12,217.5,286.903427936747,0.985074626865672
"hub_anchored","unprotected","Vitvi01g00508",555,583,455,482,380.435684647303,351.408902971471,0.0597014925373134,4066,123.636497786522,85.9986014018406,0.00497512437810945,4066,315.726020659124,291.103023847867,0.0199004975124378
"hub_anchored","unprotected","Vitvi01g00612",57,54,43,0,NA,338.656672932331,NA,8,105.75,83.1117834073636,0.263681592039801,8,269.5,289.087957385556,0.651741293532338
"hub_anchored","unprotected","Vitvi01g00656",1546,1673,1255,668,288.715568862275,350.957187280447,1,15326,56.3762234111967,84.4269603529028,1,15326,255.101787811562,289.068326646824,1
"hub_anchored","unprotected","Vitvi01g01038",281,265,226,130,400.8,345.666798066866,0.0646766169154229,890,84.2202247191011,83.0089354248649,0.487562189054726,890,303.930337078652,288.789493550338,0.169154228855721
"hub_anchored","unprotected","Vitvi01g01701",45,42,27,2,151,347.684413580247,0.990825688073395,12,26.5,78.4171053940454,0.88,12,228.5,281.000825939103,0.84
"hub_anchored","unprotected","Vitvi01g01751",136,120,57,0,NA,347.876205335917,NA,20,55.1,83.9709386086409,0.895522388059702,20,285,286.379146520562,0.492537313432836
"hub_anchored","unprotected","Vitvi01g02242",106,92,44,0,NA,330.185634296459,NA,14,50.5714285714286,86.0477364795512,0.875621890547264,14,294.714285714286,286.903427936747,0.432835820895522
"hub_anchored","unprotected","Vitvi01g04056",102,92,57,0,NA,330.185634296459,NA,80,40.25,86.0477364795512,0.960199004975124,80,199.425,286.903427936747,1
"hub_anchored","unprotected","Vitvi01g04115",81,71,42,0,NA,357.577000616919,NA,6,70.3333333333333,82.4974689396933,0.587064676616915,6,282,286.508573033137,0.532338308457711
"hub_anchored","unprotected","Vitvi01g04132",19,19,9,0,NA,307.826086956522,NA,0,NA,77.4408630328442,NA,0,NA,277.562136867326,NA
"hub_anchored","unprotected","Vitvi02g00032",1260,1286,1000,422,274.57345971564,351.375367160908,1,9024,46.7878989361702,84.8469624758338,1,9024,244.191267730496,290.022841792367,1
"hub_anchored","unprotected","Vitvi02g00086",76,71,54,0,NA,357.577000616919,NA,26,88.8461538461538,82.4974689396933,0.353233830845771,26,271.384615384615,286.508573033137,0.631840796019901
"hub_anchored","unprotected","Vitvi02g00429",530,583,437,460,366.552173913043,351.408902971471,0.218905472636816,4360,121.756880733945,85.9986014018406,0.00995024875621891,4360,312.335321100917,291.103023847867,0.0348258706467662
"hub_anchored","unprotected","Vitvi02g00446",472,448,372,242,415.247933884298,351.372500318086,0.0149253731343284,2124,81.0131826741996,84.0404451810603,0.567164179104478,2124,304.116760828625,289.468937543945,0.129353233830846
"hub_anchored","unprotected","Vitvi02g01355",435,448,326,86,330.232558139535,351.372500318086,0.82089552238806,1266,58.4154818325434,84.0404451810603,0.990049751243781,1266,252.06477093207,289.468937543945,1
"hub_anchored","unprotected","Vitvi02g01360",12,11,11,0,NA,314.75,NA,2,99,104.15,0.340659340659341,2,274,304.997222222222,0.406593406593407
"hub_anchored","unprotected","Vitvi02g04106",555,583,451,590,396.830508474576,351.408902971471,0.0199004975124378,5530,131.616274864376,85.9986014018406,0.00497512437810945,5530,324.330198915009,291.103023847867,0.00497512437810945
"hub_anchored","unprotected","Vitvi02g04134",126,120,55,10,330.6,347.876205335917,0.535,34,131.705882352941,83.9709386086409,0.0447761194029851,34,371.588235294118,286.379146520562,0.00995024875621891
"hub_anchored","unprotected","Vitvi02g04135",131,120,54,4,250,347.876205335917,0.92,24,102.916666666667,83.9709386086409,0.189054726368159,24,325.833333333333,286.379146520562,0.0746268656716418
"hub_anchored","unprotected","Vitvi03g00318",4,4,3,0,NA,419,NA,0,NA,101.807692307692,NA,0,NA,269.961538461538,NA
"hub_anchored","unprotected","Vitvi03g00692",503,448,408,56,346.107142857143,351.372500318086,0.582089552238806,1720,56.6848837209302,84.0404451810603,0.995024875621891,1720,265.246511627907,289.468937543945,0.995024875621891
"hub_anchored","unprotected","Vitvi03g01258",46,42,18,0,NA,347.684413580247,NA,0,NA,78.4171053940454,NA,0,NA,281.000825939103,NA
"hub_anchored","unprotected","Vitvi03g01809",92,92,38,0,NA,330.185634296459,NA,8,90.75,86.0477364795512,0.398009950248756,8,203.25,286.903427936747,1
"hub_anchored","unprotected","Vitvi03g04266",65,71,25,0,NA,357.577000616919,NA,10,53.4,82.4974689396933,0.81592039800995,10,296.6,286.508573033137,0.358208955223881
"hub_anchored","unprotected","Vitvi03g04466",26,25,7,0,NA,329.83,NA,0,NA,80.3537652316819,NA,0,NA,282.967302388969,NA
"hub_anchored","unprotected","Vitvi04g00017",48,42,29,0,NA,347.684413580247,NA,2,0,78.4171053940454,1,2,174,281.000825939103,0.99
"hub_anchored","unprotected","Vitvi04g01325",46,42,23,2,893,347.684413580247,0.018348623853211,12,249.666666666667,78.4171053940454,0.015,12,430.166666666667,281.000825939103,0.005
"hub_anchored","unprotected","Vitvi04g01375",37,32,16,0,NA,359.213003663004,NA,4,287,81.6212033011656,0.025,4,319.5,284.404831147356,0.265
"hub_anchored","unprotected","Vitvi04g01550",895,988,737,1298,411.593220338983,352.79111303089,0.00497512437810945,11524,137.754772648386,85.2052039570005,0.00497512437810945,11524,322.677716070809,290.503868750273,0.00497512437810945
"hub_anchored","unprotected","Vitvi04g01887",356,344,286,108,421.740740740741,348.091169151929,0.0199004975124378,1142,77.2644483362522,83.2138972480946,0.641791044776119,1142,302.084063047285,288.083500130173,0.139303482587065
"hub_anchored","unprotected","Vitvi04g02114",22,19,19,0,NA,307.826086956522,NA,0,NA,77.4408630328442,NA,0,NA,277.562136867326,NA
"hub_anchored","unprotected","Vitvi04g04010",60,54,27,0,NA,338.656672932331,NA,12,106.333333333333,83.1117834073636,0.263681592039801,12,206.666666666667,289.087957385556,0.965174129353234
"hub_anchored","unprotected","Vitvi04g04011",68,71,32,2,405,357.577000616919,0.298913043478261,20,99.5,82.4974689396933,0.238805970149254,20,264.2,286.508573033137,0.676616915422886
