label,gene,size_r0.757,bonf_r0.757,fdr_r0.757,size_r0.8077,bonf_r0.8077,fdr_r0.8077,size_r0.8839,bonf_r0.8839,fdr_r0.8839,sig_r0.757,sig_r0.8077,sig_r0.8839
EDS1,Vitvi17g04216,1111.0,0.150573749990865,5.47939410447107e-05,495.0,0.5945320748536115,0.0001761054724092,50.0,0.704135573865126,0.0002756991283731, FDR<0.05, FDR<0.05, FDR<0.05
SAG101-I,Vitvi14g03030,623.0,1.0,0.0044494322469703,290.0,1.0,0.0042658160178013,37.0,1.0,0.0070535437730361, FDR<0.05, FDR<0.05, FDR<0.05
SAG101-II,Vitvi14g03031,1590.0,0.178880777426215,5.91341412979231e-05,846.0,0.1538775243882081,5.3973175863981e-05,90.0,0.20128408183384,8.85543694825518e-05, FDR<0.05, FDR<0.05, FDR<0.05
SAG101-like,Vitvi14g03033,370.0,1.0,0.0044494322469703,125.0,1.0,0.0042658160178013,10.0,1.0,0.0039286406177897, FDR<0.05, FDR<0.05, FDR<0.05
SAG101-III,Vitvi05g00062,407.0,1.0,0.0133167332175286,134.0,1.0,0.0109501777776648,12.0,1.0,0.0168346996135395, FDR<0.05, FDR<0.05, FDR<0.05
SARD4,Vitvi16g01127,167.0,1.0,0.309553960227857,68.0,1.0,0.295227013334302,9.0,1.0,0.216370312829238,ns,ns,ns
EXLRR11,Vitvi03g00614,280.0,1.0,0.0025460009402997,163.0,1.0,0.0023878887454766,29.0,1.0,0.0032748905201752, FDR<0.05, FDR<0.05, FDR<0.05
WRKY55,Vitvi13g00189,724.0,0.178880777426215,5.91341412979231e-05,259.0,0.2028860874541765,6.85194486505155e-05,12.0,0.334077261964345,0.0001407233622427, FDR<0.05, FDR<0.05, FDR<0.05
WRKY51,Vitvi07g01847,133.0,1.0,0.0617127611200307,38.0,1.0,0.0410801423229557,3.0,1.0,0.0861885723705816,ns, FDR<0.05,ns
MIK2-like,Vitvi14g03057,332.0,0.457372655408596,0.0001346798160802,172.0,0.1565144156766927,5.46679761357641e-05,40.0,0.115678508955864,5.47460998371343e-05, FDR<0.05, FDR<0.05, FDR<0.05
ACD6,Vitvi05g00637,131.0,0.0171860581413978,7.70329813599182e-06,45.0,0.002899427177848,1.65134328347783e-06,6.0,0.400858320515626,0.0001664694022074,Bonf<0.05 FDR<0.05,Bonf<0.05 FDR<0.05, FDR<0.05
AthRUN1,Vitvi12g02607,161.0,2.92606702455584e-07,8.97566571949658e-10,85.0,2.517072859426413e-07,7.65067738427492e-10,32.0,1.46630960381985e-07,5.55420304477225e-10,Bonf<0.05 FDR<0.05,Bonf<0.05 FDR<0.05,Bonf<0.05 FDR<0.05
SOBIR1,Vitvi17g00964,350.0,1.0,0.239167800107379,186.0,1.0,0.224415253542304,40.0,1.0,0.227600221789146,ns,ns,ns
RLP-a,Vitvi01g04416,342.0,1.0,0.0391114143143135,192.0,1.0,0.0673350344168003,53.0,1.0,0.0653212158768102, FDR<0.05,ns,ns
GSO2,Vitvi09g04536,280.0,1.0,0.0005181244654411,149.0,1.0,0.0003628829312589,31.0,0.693237763954124,0.000271538489602, FDR<0.05, FDR<0.05, FDR<0.05
HSL3,Vitvi04g04013,514.0,0.0757526249283379,2.9113230179992e-05,234.0,0.0290045931668377,1.25942653785661e-05,42.0,0.0311717263489991,1.68223024009709e-05, FDR<0.05,Bonf<0.05 FDR<0.05,Bonf<0.05 FDR<0.05
RGI1,Vitvi09g01951,373.0,1.0,0.0015201941674877,162.0,1.0,0.0023256953252822,33.0,1.0,0.0022740683320944, FDR<0.05, FDR<0.05, FDR<0.05
RGI1-like,Vitvi09g04545,730.0,0.0604168876993187,2.36372800075582e-05,327.0,0.0558820028932916,2.27903763838873e-05,57.0,0.0552869965912157,2.87354452137296e-05, FDR<0.05, FDR<0.05, FDR<0.05
RLP-b,Vitvi09g04548,270.0,1.0,0.0055573250052361,131.0,1.0,0.0038063471300745,24.0,1.0,0.0032191825934544, FDR<0.05, FDR<0.05, FDR<0.05
RLP-c,Vitvi09g04565,286.0,0.704631683465566,0.0001937408489516,143.0,0.9175121257623796,0.0002576557500035,30.0,0.534492609774251,0.0002140539086, FDR<0.05, FDR<0.05, FDR<0.05
EIX1,Vitvi09g04475,101.0,0.704631683465566,0.0001937408489516,36.0,0.9175121257623796,0.0002576557500035,7.0,1.0,0.0004395787606941, FDR<0.05, FDR<0.05, FDR<0.05
NP181-a,Vitvi00g04469,162.0,1.0,0.0013511543621483,64.0,1.0,0.0014769014836386,8.0,1.0,0.0015019746325304, FDR<0.05, FDR<0.05, FDR<0.05
NP181-b,Vitvi01g04414,174.0,0.0061764487783056,3.15285797769557e-06,67.0,0.0028969728346169,1.65134328347783e-06,10.0,0.0041464023091665,2.71539116513856e-06,Bonf<0.05 FDR<0.05,Bonf<0.05 FDR<0.05,Bonf<0.05 FDR<0.05
