anchor,anchor_label,partner
Vitvi17g04216,EDS1,Vitvi00g04044
Vitvi17g04216,EDS1,Vitvi00g04369
Vitvi17g04216,EDS1,Vitvi00g04860
Vitvi17g04216,EDS1,Vitvi01g00056
Vitvi17g04216,EDS1,Vitvi01g00061
Vitvi17g04216,EDS1,Vitvi01g00160
Vitvi17g04216,EDS1,Vitvi01g00243
Vitvi17g04216,EDS1,Vitvi01g00397
Vitvi17g04216,EDS1,Vitvi01g00466
Vitvi17g04216,EDS1,Vitvi01g00477
Vitvi17g04216,EDS1,Vitvi01g00521
Vitvi17g04216,EDS1,Vitvi01g00528
Vitvi17g04216,EDS1,Vitvi01g00543
Vitvi17g04216,EDS1,Vitvi01g00955
Vitvi17g04216,EDS1,Vitvi01g01320
Vitvi17g04216,EDS1,Vitvi01g01591
Vitvi17g04216,EDS1,Vitvi01g01641
Vitvi17g04216,EDS1,Vitvi01g01796
Vitvi17g04216,EDS1,Vitvi01g02093
Vitvi17g04216,EDS1,Vitvi01g04094
Vitvi17g04216,EDS1,Vitvi01g04309
Vitvi17g04216,EDS1,Vitvi01g04325
Vitvi17g04216,EDS1,Vitvi02g00149
Vitvi17g04216,EDS1,Vitvi02g00311
Vitvi17g04216,EDS1,Vitvi02g00467
Vitvi17g04216,EDS1,Vitvi02g00533
Vitvi17g04216,EDS1,Vitvi02g00545
Vitvi17g04216,EDS1,Vitvi02g00708
Vitvi17g04216,EDS1,Vitvi02g00999
Vitvi17g04216,EDS1,Vitvi02g01230
Vitvi17g04216,EDS1,Vitvi02g01236
Vitvi17g04216,EDS1,Vitvi02g01323
Vitvi17g04216,EDS1,Vitvi03g00016
Vitvi17g04216,EDS1,Vitvi03g00033
Vitvi17g04216,EDS1,Vitvi03g00144
Vitvi17g04216,EDS1,Vitvi03g00207
Vitvi17g04216,EDS1,Vitvi03g00340
Vitvi17g04216,EDS1,Vitvi03g00548
Vitvi17g04216,EDS1,Vitvi03g00673
Vitvi17g04216,EDS1,Vitvi03g00842
Vitvi17g04216,EDS1,Vitvi03g01434
Vitvi17g04216,EDS1,Vitvi03g01597
Vitvi17g04216,EDS1,Vitvi04g00021
Vitvi17g04216,EDS1,Vitvi04g00022
Vitvi17g04216,EDS1,Vitvi04g00029
Vitvi17g04216,EDS1,Vitvi04g00034
Vitvi17g04216,EDS1,Vitvi04g00070
Vitvi17g04216,EDS1,Vitvi04g00133
Vitvi17g04216,EDS1,Vitvi04g00175
Vitvi17g04216,EDS1,Vitvi04g00300
Vitvi17g04216,EDS1,Vitvi04g00301
Vitvi17g04216,EDS1,Vitvi04g00314
Vitvi17g04216,EDS1,Vitvi04g00616
Vitvi17g04216,EDS1,Vitvi04g01198
Vitvi17g04216,EDS1,Vitvi04g01389
Vitvi17g04216,EDS1,Vitvi04g01577
Vitvi17g04216,EDS1,Vitvi04g01624
Vitvi17g04216,EDS1,Vitvi04g01635
Vitvi17g04216,EDS1,Vitvi04g01636
Vitvi17g04216,EDS1,Vitvi04g01695
Vitvi17g04216,EDS1,Vitvi04g01781
Vitvi17g04216,EDS1,Vitvi04g02232
Vitvi17g04216,EDS1,Vitvi04g02243
Vitvi17g04216,EDS1,Vitvi04g02247
Vitvi17g04216,EDS1,Vitvi04g04048
Vitvi17g04216,EDS1,Vitvi05g00062
Vitvi17g04216,EDS1,Vitvi05g00153
Vitvi17g04216,EDS1,Vitvi05g00276
Vitvi17g04216,EDS1,Vitvi05g00478
Vitvi17g04216,EDS1,Vitvi05g00544
Vitvi17g04216,EDS1,Vitvi05g00562
Vitvi17g04216,EDS1,Vitvi05g00569
Vitvi17g04216,EDS1,Vitvi05g00605
Vitvi17g04216,EDS1,Vitvi05g00652
Vitvi17g04216,EDS1,Vitvi05g01108
Vitvi17g04216,EDS1,Vitvi05g01656
Vitvi17g04216,EDS1,Vitvi05g01663
Vitvi17g04216,EDS1,Vitvi05g04575
Vitvi17g04216,EDS1,Vitvi06g00259
Vitvi17g04216,EDS1,Vitvi06g00300
Vitvi17g04216,EDS1,Vitvi06g00303
Vitvi17g04216,EDS1,Vitvi06g00340
Vitvi17g04216,EDS1,Vitvi06g00417
Vitvi17g04216,EDS1,Vitvi06g00447
Vitvi17g04216,EDS1,Vitvi06g00452
Vitvi17g04216,EDS1,Vitvi06g00483
Vitvi17g04216,EDS1,Vitvi06g00495
Vitvi17g04216,EDS1,Vitvi06g00558
Vitvi17g04216,EDS1,Vitvi06g00591
Vitvi17g04216,EDS1,Vitvi06g00648
