"mid","count"
-0.9975,1
-0.9925,1
-0.9875,7
-0.9825,21
-0.9775,26
-0.9725,50
-0.9675,86
-0.9625,162
-0.9575,244
-0.9525,438
-0.9475,747
-0.9425,1133
-0.9375,1703
-0.9325,2353
-0.9275,3308
-0.9225,4400
-0.9175,5827
-0.9125,7425
-0.9075,9290
-0.9025,11207
-0.8975,14083
-0.8925,16533
-0.8875,19540
-0.8825,23133
-0.8775,26590
-0.8725,30603
-0.8675,34687
-0.8625,38770
-0.8575,43346
-0.8525,47721
-0.8475,53317
-0.8425,59100
-0.8375,63925
-0.8325,69651
-0.8275,76011
-0.8225,81893
-0.8175,88463
-0.8125,94429
-0.8075,101316
-0.8025,108624
-0.7975,115899
-0.7925,122794
-0.7875,130243
-0.7825,137182
-0.7775,145050
-0.7725,152990
-0.7675,160691
-0.7625,168148
-0.7575,176818
-0.7525,185421
-0.7475,192906
-0.7425,201770
-0.7375,209816
-0.7325,218168
-0.7275,226406
-0.7225,235809
-0.7175,244897
-0.7125,253938
-0.7075,262613
-0.7025,270870
-0.6975,279885
-0.6925,290372
-0.6875,298149
-0.6825,308457
-0.6775,314973
-0.6725,326284
-0.6675,335189
-0.6625,345523
-0.6575,354873
-0.6525,364329
-0.6475,374114
-0.6425,384593
-0.6375,393948
-0.6325,403755
-0.6275,413532
-0.6225,423841
-0.6175,433455
-0.6125,442894
-0.6075,454860
-0.6025,466342
-0.5975,476674
-0.5925,487562
-0.5875,498494
-0.5825,509488
-0.5775,518913
-0.5725,530205
-0.5675,542667
-0.5625,554630
-0.5575,564521
-0.5525,576547
-0.5475,587937
-0.5425,599419
-0.5375,612576
-0.5325,623635
-0.5275,635860
-0.5225,647242
-0.5175,660610
-0.5125,674301
-0.5075,686378
-0.5025,698358
-0.4975,709546
-0.4925,725841
-0.4875,737833
-0.4825,751977
-0.4775,764296
-0.4725,777180
-0.4675,791173
-0.4625,804872
-0.4575,820826
-0.4525,833444
-0.4475,848235
-0.4425,862476
-0.4375,878397
-0.4325,893028
-0.4275,907350
-0.4225,921519
-0.4175,936708
-0.4125,950824
-0.4075,967363
-0.4025,983378
-0.3975,1001548
-0.3925,1016003
-0.3875,1029301
-0.3825,1047412
-0.3775,1064379
-0.3725,1080148
-0.3675,1097199
-0.3625,1114926
-0.3575,1130168
-0.3525,1148605
-0.3475,1165631
-0.3425,1181171
-0.3375,1199840
-0.3325,1215364
-0.3275,1235003
-0.3225,1251399
-0.3175,1269680
-0.3125,1287049
-0.3075,1303792
-0.3025,1322221
-0.2975,1340491
-0.2925,1358794
-0.2875,1378426
-0.2825,1394675
-0.2775,1412569
-0.2725,1432012
-0.2675,1447539
-0.2625,1466590
-0.2575,1484960
-0.2525,1504535
-0.2475,1518477
-0.2425,1538805
-0.2375,1557882
-0.2325,1574201
-0.2275,1590964
-0.2225,1609123
-0.2175,1628818
-0.2125,1641656
-0.2075,1661521
-0.2025,1679387
-0.1975,1691174
-0.1925,1710313
-0.1875,1724779
-0.1825,1740519
-0.1775,1757358
-0.1725,1771509
-0.1675,1787841
-0.1625,1802124
-0.1575,1814180
-0.1525,1829727
-0.1475,1840543
-0.1425,1855094
-0.1375,1865942
-0.1325,1877407
-0.1275,1888855
-0.1225,1898819
-0.1175,1911354
-0.1125,1919769
-0.1075,1931588
-0.1025,1940227
-0.0975,1949139
-0.0925,1957711
-0.0875,1964472
-0.0825,1971240
-0.0775,1977975
-0.0725,1984220
-0.0674999999999999,1990213
-0.0624999999999999,1997378
-0.0574999999999999,2001412
-0.0524999999999999,2008119
-0.0474999999999999,2009156
-0.0425,2013672
-0.0375,2018213
-0.0325,2019515
-0.0275,2022298
-0.0225,2025395
-0.0175,2022674
-0.0125,2026368
-0.00750000000000001,2025996
-0.0025,2024523
0.00250000000000006,2025857
0.00750000000000006,2024466
0.0125000000000001,2022287
0.0175000000000001,2018327
0.0225,2015211
0.0275,2014273
0.0325,2009553
0.0375,2005580
0.0425,2002500
0.0475,1996127
0.0525,1991401
