"r_cutoff","string_ref","n_mappable_edges","n_confirmed","precision"
"0.757","Physical PPI (any)",965536,747,0.000773663540251218
"0.757","Detailed (any score)",965536,10153,0.0105154028436019
"0.757","Detailed (score>=700)",965536,445,0.000460883902827031
"0.757","Co-expression channel (>median)",965536,4173,0.00432195174493753
"0.8077","Physical PPI (any)",897060,1605,0.00178917798140593
"0.8077","Detailed (any score)",897060,13227,0.0147448331215303
"0.8077","Detailed (score>=700)",897060,1054,0.00117494927875504
"0.8077","Co-expression channel (>median)",897060,6678,0.00744431810581232
"0.8839","Physical PPI (any)",156393,297,0.0018990619784773
"0.8839","Detailed (any score)",156393,2404,0.0153715319739375
"0.8839","Detailed (score>=700)",156393,196,0.0012532530228335
"0.8839","Co-expression channel (>median)",156393,1137,0.00727014636204945
