#node	identifier	category	term ID	term description
ACD6	3702.Q8LPS2	GO Process	GO:0002831	Regulation of response to biotic stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0002833	Positive regulation of response to biotic stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0006807	Nitrogen compound metabolic process
ACD6	3702.Q8LPS2	GO Process	GO:0006950	Response to stress
ACD6	3702.Q8LPS2	GO Process	GO:0006952	Defense response
ACD6	3702.Q8LPS2	GO Process	GO:0008152	Metabolic process
ACD6	3702.Q8LPS2	GO Process	GO:0008219	Cell death
ACD6	3702.Q8LPS2	GO Process	GO:0009266	Response to temperature stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0009314	Response to radiation
ACD6	3702.Q8LPS2	GO Process	GO:0009409	Response to cold
ACD6	3702.Q8LPS2	GO Process	GO:0009416	Response to light stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0009605	Response to external stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0009607	Response to biotic stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0009615	Response to virus
ACD6	3702.Q8LPS2	GO Process	GO:0009617	Response to bacterium
ACD6	3702.Q8LPS2	GO Process	GO:0009628	Response to abiotic stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0009751	Response to salicylic acid
ACD6	3702.Q8LPS2	GO Process	GO:0009966	Regulation of signal transduction
ACD6	3702.Q8LPS2	GO Process	GO:0009987	Cellular process
ACD6	3702.Q8LPS2	GO Process	GO:0010033	Response to organic substance
ACD6	3702.Q8LPS2	GO Process	GO:0010646	Regulation of cell communication
ACD6	3702.Q8LPS2	GO Process	GO:0014070	Response to organic cyclic compound
ACD6	3702.Q8LPS2	GO Process	GO:0016567	Protein ubiquitination
ACD6	3702.Q8LPS2	GO Process	GO:0019538	Protein metabolic process
ACD6	3702.Q8LPS2	GO Process	GO:0023051	Regulation of signaling
ACD6	3702.Q8LPS2	GO Process	GO:0031347	Regulation of defense response
ACD6	3702.Q8LPS2	GO Process	GO:0031349	Positive regulation of defense response
ACD6	3702.Q8LPS2	GO Process	GO:0032101	Regulation of response to external stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0032103	Positive regulation of response to external stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0032446	Protein modification by small protein conjugation
ACD6	3702.Q8LPS2	GO Process	GO:0036211	Protein modification process
ACD6	3702.Q8LPS2	GO Process	GO:0042221	Response to chemical
ACD6	3702.Q8LPS2	GO Process	GO:0042742	Defense response to bacterium
ACD6	3702.Q8LPS2	GO Process	GO:0043170	Macromolecule metabolic process
ACD6	3702.Q8LPS2	GO Process	GO:0043207	Response to external biotic stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0043412	Macromolecule modification
ACD6	3702.Q8LPS2	GO Process	GO:0044238	Primary metabolic process
ACD6	3702.Q8LPS2	GO Process	GO:0044419	Biological process involved in interspecies interaction between organisms
ACD6	3702.Q8LPS2	GO Process	GO:0048518	Positive regulation of biological process
ACD6	3702.Q8LPS2	GO Process	GO:0048583	Regulation of response to stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0048584	Positive regulation of response to stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0050789	Regulation of biological process
ACD6	3702.Q8LPS2	GO Process	GO:0050794	Regulation of cellular process
ACD6	3702.Q8LPS2	GO Process	GO:0050826	Response to freezing
ACD6	3702.Q8LPS2	GO Process	GO:0050896	Response to stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0051707	Response to other organism
ACD6	3702.Q8LPS2	GO Process	GO:0051716	Cellular response to stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0065007	Biological regulation
ACD6	3702.Q8LPS2	GO Process	GO:0070647	Protein modification by small protein conjugation or removal
ACD6	3702.Q8LPS2	GO Process	GO:0070887	Cellular response to chemical stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0071310	Cellular response to organic substance
ACD6	3702.Q8LPS2	GO Process	GO:0071407	Cellular response to organic cyclic compound
ACD6	3702.Q8LPS2	GO Process	GO:0071446	Cellular response to salicylic acid stimulus
ACD6	3702.Q8LPS2	GO Process	GO:0071704	Organic substance metabolic process
ACD6	3702.Q8LPS2	GO Process	GO:0080134	Regulation of response to stress
ACD6	3702.Q8LPS2	GO Process	GO:0098542	Defense response to other organism
ACD6	3702.Q8LPS2	GO Process	GO:1900150	Regulation of defense response to fungus
ACD6	3702.Q8LPS2	GO Process	GO:1900424	Regulation of defense response to bacterium
ACD6	3702.Q8LPS2	GO Process	GO:1900426	Positive regulation of defense response to bacterium
ACD6	3702.Q8LPS2	GO Process	GO:1901564	Organonitrogen compound metabolic process
ACD6	3702.Q8LPS2	GO Process	GO:1901700	Response to oxygen-containing compound
