"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g04000"	-0.189197734702756	0.485114036382244	0.7	0.658554195055607	0.807792035983596	0.189197734702756	"F6HQV9"
"Vitvi01g04001"	-0.524609780531857	0.0364263924041211	0.1	0.169298975731384	0.266758409785933	0.524609780531857	"D7UC20"
"Vitvi01g04002"	-1.02583743208802	0.000900161456772944	0.1	0.0362963407739463	0.266758409785933	1.02583743208802	"F6HF07"
"Vitvi01g04003"	0.134293621218549	0.43273023054125	0.4	0.616213180825605	0.624856733524355	-0.134293621218549	NA
"Vitvi01g04004"	-0.164133018477933	0.415422663189251	1	0.602749815535568	1	0.164133018477933	"F6HYH6"
"Vitvi01g04005"	-0.672742995983934	0.0115948672218295	0.1	0.0974706329354498	0.266758409785933	0.672742995983933	"D7SQ27"
"Vitvi01g00002"	1.11648931329671	0.0160683514652399	0.1	0.112944584876138	0.266758409785933	-1.11648931329671	"F6HF06"
"Vitvi01g00005"	-0.128668504607403	0.105996207535957	0.2	0.290011093654436	0.404873520538408	0.128668504607401	"F6HF05"
"Vitvi01g01834"	0.278855194533187	0.153551569733707	0.2	0.344702392590037	0.404873520538408	-0.278855194533187	"F6HF04"
"Vitvi01g00006"	-0.257724363942034	0.0332725459177732	0.1	0.161320745237917	0.266758409785933	0.257724363942032	"F6HF03"
"Vitvi01g01835"	0.995594424884499	0.0112395729811489	0.1	0.0961964145839764	0.266758409785933	-0.9955944248845	"F6HF02"
"Vitvi01g01836"	0.250981785604456	0.0723124556618334	0.1	0.24112444600083	0.266758409785933	-0.250981785604456	"F6HF01"
"Vitvi01g00008"	0.355100927491523	0.025609172290948	0.1	0.141744168714428	0.266758409785933	-0.355100927491523	"Q6E6S7"
"Vitvi01g00011"	0.479199781845336	0.112561689707071	0.1	0.296944265211705	0.266758409785933	-0.479199781845336	"D7T9Z7"
"Vitvi01g00012"	0.669283397656996	0.000863682831261374	0.1	0.0355932535610691	0.266758409785933	-0.669283397656997	"F6HF00"
"Vitvi01g01837"	0.578731185958022	0.0131643610919029	0.1	0.10295820843216	0.266758409785933	-0.578731185958024	"F6HEZ9"
"Vitvi01g00014"	-0.247313957080061	0.401552375479012	1	0.591779248404025	1	0.24731395708006	"D7T9Z3"
"Vitvi01g01838"	-0.0136674522086879	0.957828049785012	0.7	0.977894906165105	0.807792035983596	0.0136674522086864	"F6HEZ8"
"Vitvi01g00015"	-0.179016820904814	0.44853124217984	0.4	0.628048960136138	0.624856733524355	0.179016820904814	"F6HEZ7"
"Vitvi01g00019"	-0.0124264163383032	0.283998313700072	0.7	0.486575348383999	0.807792035983596	0.0124264163383032	"D7T9Y8"
"Vitvi01g00023"	-0.0609476125704373	0.608547883502948	0.7	0.752228421971331	0.807792035983596	0.0609476125704376	"D7T9Y7"
"Vitvi01g00024"	-0.0159477628536481	0.793169343668848	1	0.876848567516765	1	0.0159477628536457	"F6HEZ6"
"Vitvi01g00025"	-0.188201107372681	0.103463749888838	0.2	0.288394007393276	0.404873520538408	0.188201107372679	"D7T9Y5"
"Vitvi01g00026"	0.162277687772831	0.112254225041263	0.1	0.296483564506703	0.266758409785933	-0.162277687772834	"A5BJC3"
"Vitvi01g00027"	-0.049378312336325	0.664121702312566	1	0.79144773568093	1	0.0493783123363247	"F6HFV3"
"Vitvi01g04008"	0.0502744042084962	0.852551505223127	0.7	0.916218543124458	0.807792035983596	-0.0502744042084968	"F6HDF3"
"Vitvi01g00028"	-0.110209504440487	0.429412521197157	0.4	0.613825108822221	0.624856733524355	0.110209504440485	"D7T9Y2"
"Vitvi01g00029"	-0.113255317529768	0.152999893397412	0.2	0.344151126896757	0.404873520538408	0.113255317529767	"F6HFV2"
"Vitvi01g00031"	0.548135916797826	0.305330712077277	0.4	0.507668810238913	0.624856733524355	-0.548135916797827	"F6HFV1"
"Vitvi01g00033"	0.637307546609399	0.00403908732729584	0.1	0.0620654151249322	0.266758409785933	-0.637307546609401	"D7T9X8"
"Vitvi01g00034"	-0.736814273621918	0.0198260416955385	0.1	0.125346076792759	0.266758409785933	0.736814273621917	"F6HFV0"
"Vitvi01g00035"	-0.104098762730602	0.560093145896172	0.7	0.716620377927871	0.807792035983596	0.104098762730599	"D7T9X6"
"Vitvi01g00036"	0.407713994779475	0.526810223126462	0.7	0.691240309315903	0.807792035983596	-0.407713994779478	"D7T9X5"
"Vitvi01g00037"	-0.187249256929566	0.513231879239299	0.7	0.68024539342652	0.807792035983596	0.187249256929563	"F6HFU9"
"Vitvi01g00038"	-0.200661191509933	0.211926090418238	0.2	0.410654858212135	0.404873520538408	0.200661191509932	"F6H489"
"Vitvi01g01840"	-0.270730299464961	0.0310017579933105	0.1	0.155963525276588	0.266758409785933	0.27073029946496	"F6HFU7"
"Vitvi01g00039"	-0.262484976293934	0.0293294360806882	0.1	0.151854223381722	0.266758409785933	0.262484976293933	"F6HFU6"
"Vitvi01g00041"	0.12324117658433	0.578549074708096	1	0.729992803087568	1	-0.123241176584333	"F6HFU5"
"Vitvi01g04009"	-0.0927423977527436	0.813477136413716	0.7	0.890110519435128	0.807792035983596	0.0927423977527431	NA
"Vitvi01g00042"	-0.0527103251148685	0.489799869764197	0.7	0.66265688624666	0.807792035983596	0.0527103251148677	"D7T9W8"
"Vitvi01g00043"	-0.152192525526435	0.0124999091103479	0.1	0.100804351774636	0.266758409785933	0.152192525526434	"D7T9W7"
"Vitvi01g00045"	-0.33981818138082	0.0301558700927842	0.1	0.153860199738364	0.266758409785933	0.339818181380817	"D7T9W6"
"Vitvi01g00046"	-0.35649034389829	0.0413585003830075	0.1	0.181070597516601	0.266758409785933	0.356490343898289	"D7T9W5"
