"coeff."	"p-value"	"p-wilcox"	"padj (FDR)"	"padjW (FDR)"	"log2FCH (Rpv1_vs_wt)"	"proteID"
"Vitvi01g04000"	0.145737878714055	0.402515275960606	0.7	0.598057313718248	0.824517261556466	-0.145737878714055	"F6HQV9"
"Vitvi01g04001"	0.280621933909973	0.209207459449368	0.2	0.420423130573684	0.409658735128366	-0.280621933909973	"D7UC20"
"Vitvi01g04002"	-0.898368827977465	8.26090092235083e-05	0.1	0.0305368384297233	0.263508206625717	0.898368827977463	"F6HF07"
"Vitvi01g04003"	0.056547132684651	0.758951535121906	1	0.857355431908911	1	-0.0565471326846511	NA
"Vitvi01g04004"	-0.0683025957847592	0.223341612813788	0.4	0.435483694637062	0.621776061776062	0.0683025957847589	"F6HYH6"
"Vitvi01g04005"	-0.718583704937027	0.00439868957582481	0.1	0.0829554236487283	0.263508206625717	0.718583704937027	"D7SQ27"
"Vitvi01g00002"	-1.25419210587332	0.0126455689685926	0.1	0.122721697824686	0.263508206625717	1.25419210587332	"F6HF06"
"Vitvi01g00005"	-0.0925589533781686	0.0483227922506975	0.1	0.21100603210554	0.263508206625717	0.0925589533781661	"F6HF05"
"Vitvi01g01834"	-0.597995890839491	0.0188611095302373	0.1	0.142766002287162	0.263508206625717	0.59799589083949	"F6HF04"
"Vitvi01g00006"	0.159731041724832	0.0843262287861511	0.1	0.273861149741638	0.263508206625717	-0.159731041724834	"F6HF03"
"Vitvi01g01835"	-0.185256878635655	0.71763822052284	1	0.830478096853809	1	0.185256878635654	"F6HF02"
"Vitvi01g01836"	0.00331416357902304	0.978316973864584	1	0.987943848462696	1	-0.00331416357902325	"F6HF01"
"Vitvi01g00008"	0.15071787581504	0.250688764411428	0.4	0.463541624835807	0.621776061776062	-0.15071787581504	"Q6E6S7"
"Vitvi01g00011"	-0.0386024252612641	0.919598598335344	1	0.9552633581119	1	0.0386024252612636	"D7T9Z7"
"Vitvi01g00012"	-1.12919203274431	0.000177161957333083	0.1	0.0386233030072786	0.263508206625717	1.12919203274431	"F6HF00"
"Vitvi01g01837"	-0.3568766730955	0.0337216826664348	0.1	0.181927295271378	0.263508206625717	0.356876673095501	"F6HEZ9"
"Vitvi01g00014"	-0.0139218391025705	0.959632043986294	0.7	0.97767031419671	0.824517261556466	0.0139218391025695	"D7T9Z3"
"Vitvi01g01838"	-0.303528197241554	0.296257723288705	0.4	0.507413335999877	0.621776061776062	0.303528197241555	"F6HEZ8"
"Vitvi01g00015"	0.0167690528954971	0.899195526790998	0.4	0.943884787027422	0.621776061776062	-0.0167690528954973	"F6HEZ7"
"Vitvi01g00019"	-0.0128950300892531	0.274353253559324	0.7	0.486459616036695	0.824517261556466	0.0128950300892534	"D7T9Y8"
"Vitvi01g00023"	0.181800298839438	0.151559033316515	0.2	0.357761892734971	0.409658735128366	-0.181800298839439	"D7T9Y7"
"Vitvi01g00024"	0.0721147622004012	0.568383861140401	0.7	0.727087904491527	0.824517261556466	-0.0721147622004032	"F6HEZ6"
"Vitvi01g00025"	0.61237749495616	0.0170235986848746	0.1	0.138121350270911	0.263508206625717	-0.61237749495616	"D7T9Y5"
"Vitvi01g00026"	0.152247227826933	0.145299300569794	0.2	0.350348972322025	0.409658735128366	-0.152247227826933	"A5BJC3"
"Vitvi01g00027"	0.0984635503562514	0.408298763776826	0.7	0.603591139378362	0.824517261556466	-0.0984635503562519	"F6HFV3"
"Vitvi01g04008"	-0.0942207068452406	0.763390266923355	1	0.859595210499498	1	0.0942207068452401	"F6HDF3"
"Vitvi01g00028"	0.0764683341813648	0.666004184274028	0.7	0.79835226471318	0.824517261556466	-0.0764683341813672	"D7T9Y2"
"Vitvi01g00029"	0.107862843696997	0.229722819818681	0.2	0.441965627983756	0.409658735128366	-0.107862843696999	"F6HFV2"
"Vitvi01g00031"	0.615302200558226	0.272488482861734	0.2	0.48468118223274	0.409658735128366	-0.615302200558226	"F6HFV1"
"Vitvi01g00033"	-0.324911733751268	0.05428369328397	0.1	0.222378973348793	0.263508206625717	0.324911733751266	"D7T9X8"
"Vitvi01g00034"	0.310272022690069	0.263040847658008	0.1	0.475676590585476	0.263508206625717	-0.31027202269007	"F6HFV0"
"Vitvi01g00035"	0.190341749290466	0.296915983436765	0.4	0.507942365859756	0.621776061776062	-0.190341749290468	"D7T9X6"
"Vitvi01g00036"	-0.740194063649884	0.169868467150318	0.2	0.378644626648779	0.409658735128366	0.740194063649882	"D7T9X5"
"Vitvi01g00037"	-0.159148745842978	0.613062878679166	0.7	0.761461980737344	0.824517261556466	0.159148745842977	"F6HFU9"
"Vitvi01g00038"	0.0104663573466988	0.953467930688305	1	0.974241625792912	1	-0.0104663573467008	"F6H489"
"Vitvi01g01840"	0.0984542221629995	0.527801857203425	0.7	0.695926175298858	0.824517261556466	-0.0984542221630003	"F6HFU7"
"Vitvi01g00039"	-0.0636880657260029	0.540970580260866	0.4	0.706243906951688	0.621776061776062	0.0636880657259997	"F6HFU6"
"Vitvi01g00041"	0.163413494578899	0.45302182456486	1	0.638987124833603	1	-0.163413494578899	"F6HFU5"
"Vitvi01g04009"	0.112732835041593	0.780673044957256	1	0.870874627837581	1	-0.112732835041593	NA
