"run_accession","sample_title","experiment_batch","size_factor"
"ERR1811888","Sample_1","ExpA",1.31215988894772
"ERR1811889","Sample_2","ExpA",1.26323937262458
"ERR1811890","Sample_3","ExpA",1.18380095065443
"ERR1811891","Sample_4","ExpA",0.425435132013128
"ERR1811892","Sample_5","ExpA",1.42659717521099
"ERR1811893","Sample_6","ExpA",1.35821110865254
"ERR1811894","Sample_7","ExpA",0.925612902724329
"ERR1811900","Sample_8","ExpB",1.02410254452096
"ERR1811901","Sample_9","ExpB",0.922560110116753
"ERR1811895","Sample_10","ExpB",1.17043154162678
"ERR1811897","Sample_12","ExpB",1.28557638387932
"ERR1811898","Sample_13","ExpB",0.438377839173301
"ERR1811899","Sample_14","ExpB",1.16477206306559
