Read alignment summaries.,,,,,,,,,,
[A] Non-normalised data set. [B] Re-sampled data set. [C] rRNA mapping fractions (non-normalized dataset). [D] Non-normalised rRNA filtered data set. [E] Re-sampled rRNA filtered data set.,,,,,,,,,,
,,,,,,,,,,
[A] Non-normalised data set (STAR Alignment Summaries).,,,,,,,,,,
Replicate,Number of input reads,Average input read length,Uniquely mapped reads %,Average mapped length,% of reads mapped to multiple loci,% of reads mapped to too many loci,% of reads unmapped: too many mismatches,% of reads unmapped: too short,% of reads unmapped: other,% aligned reads assigned to exons
1,108782881,202,73.44%,198.01,3.32%,0.38%,0.00%,22.85%,0.00%,88.93%
2,94489754,202,73.89%,197.89,3.76%,0.44%,0.00%,21.91%,0.00%,87.93%
3,120120616,202,74.88%,200.59,4.05%,0.41%,0.00%,20.65%,0.00%,87.45%
4,112037084,202,73.54%,200.34,4.16%,0.41%,0.00%,21.88%,0.00%,87.79%
5,130306701,202,76.59%,198.44,6.20%,0.52%,0.00%,16.70%,0.00%,85.16%
6,94151244,202,43.39%,198.13,39.06%,1.90%,0.00%,15.65%,0.01%,40.39%
7,124180445,202,74.74%,199.94,3.90%,0.43%,0.00%,20.92%,0.00%,87.94%
8,102223235,202,71.92%,200.84,13.43%,0.81%,0.00%,13.83%,0.01%,73.70%
9,94928726,202,75.11%,200.97,7.19%,0.60%,0.00%,17.10%,0.01%,81.16%
10,96639066,202,73.05%,200.89,13.03%,0.81%,0.00%,13.11%,0.00%,74.67%
11,87809552,202,38.86%,200.69,53.41%,0.73%,0.00%,7.00%,0.00%,32.68%
12,112009162,202,74.60%,200.67,10.91%,0.72%,0.00%,13.77%,0.00%,76.87%
13,102565765,202,75.92%,200.71,9.93%,0.58%,0.00%,13.56%,0.00%,77.95%
14,77304267,202,72.52%,200.88,13.32%,0.68%,0.00%,13.48%,0.00%,74.80%
15,106693978,202,71.43%,200.84,3.62%,0.38%,0.00%,24.57%,0.00%,85.53%
16,111209624,202,69.46%,200.88,2.56%,0.32%,0.00%,27.66%,0.00%,87.51%
17,111062395,202,73.33%,200.99,3.73%,0.37%,0.00%,22.56%,0.00%,85.70%
,,,,,,,,,,
[B] Re-sampled data set  (STAR Alignment Summaries).,,,,,,,,,,
Replicate,Number of input reads,Average input read length,Uniquely mapped reads %,Average mapped length,% of reads mapped to multiple loci,% of reads mapped to too many loci,% of reads unmapped: too many mismatches,% of reads unmapped: too short,% of reads unmapped: other,% aligned reads assigned to exons
1,77304266,202,73.57%,198.01,3.33%,0.38%,0.00%,22.71%,0.00%,88.60%
2,77304266,202,74.02%,197.9,3.77%,0.44%,0.00%,21.78%,0.00%,87.61%
3,77304266,202,74.90%,200.59,4.05%,0.41%,0.00%,20.63%,0.00%,87.35%
4,77304266,202,73.54%,200.34,4.16%,0.41%,0.00%,21.88%,0.00%,87.79%
5,77304266,202,76.72%,198.44,6.20%,0.52%,0.00%,16.56%,0.00%,84.88%
6,77304266,202,43.47%,198.12,39.08%,1.90%,0.00%,15.55%,0.01%,40.30%
7,77304266,202,74.74%,199.94,3.90%,0.43%,0.00%,20.92%,0.00%,87.94%
8,77304266,202,71.95%,200.83,13.42%,0.81%,0.00%,13.82%,0.01%,73.60%
9,77304266,202,75.13%,200.97,7.18%,0.60%,0.00%,17.08%,0.01%,81.06%
10,77304266,202,73.07%,200.88,13.02%,0.81%,0.00%,13.10%,0.00%,74.59%
11,77304266,202,38.86%,200.69,53.41%,0.73%,0.00%,7.00%,0.00%,32.68%
12,77304266,202,74.59%,200.67,10.91%,0.72%,0.00%,13.77%,0.00%,76.88%
13,77304266,202,75.92%,200.71,9.93%,0.58%,0.00%,13.56%,0.00%,77.95%
14,77304266,202,72.52%,200.88,13.32%,0.68%,0.00%,13.48%,0.00%,74.80%
15,77304266,202,71.43%,200.84,3.62%,0.38%,0.00%,24.57%,0.00%,85.53%
16,77304266,202,69.45%,200.88,2.56%,0.32%,0.00%,27.66%,0.00%,87.52%
17,77304266,202,73.33%,200.99,3.74%,0.37%,0.00%,22.56%,0.00%,85.68%
,,,,,,,,,,
"[C] rRNA mapping fractions (non-normalized dataset, Ensembl release 40 rRNA annotation).",,,,,,,,,,
Replicate,Number of rRNA mapping reads,% of reads mapping to rRNA genes,,,,,,,,
1,1124513,1.26%,,,,,,,,
2,1249911,1.58%,,,,,,,,
3,1935514,1.90%,,,,,,,,
4,1980041,2.10%,,,,,,,,
5,4277960,3.60%,,,,,,,,
6,27885280,23.70%,,,,,,,,
7,1971015,1.87%,,,,,,,,
8,10261252,10.01%,,,,,,,,
9,3919879,4.55%,,,,,,,,
10,9169555,9.43%,,,,,,,,
11,40632505,31.21%,,,,,,,,
12,8794049,8.04%,,,,,,,,
13,7587286,7.62%,,,,,,,,
14,8194919,10.62%,,,,,,,,
15,1228332,1.44%,,,,,,,,
16,406731,0.48%,,,,,,,,
17,1297913,1.43%,,,,,,,,
,,,,,,,,,,
[D] Non-normalised rRNA filtered data set (STAR Alignment Summaries).,,,,,,,,,,
Replicate,Number of input reads,Average input read length,Uniquely mapped reads %,Average mapped length,% of reads mapped to multiple loci,% of reads mapped to too many loci,% of reads unmapped: too many mismatches,% of reads unmapped: too short,% of reads unmapped: other,% aligned reads assigned to exons
1,107870503,202,74.09%,198,2.49%,0.39%,0.00%,23.03%,0.00%,89.80%
2,93431341,202,74.72%,197.89,2.71%,0.44%,0.00%,22.13%,0.00%,89.05%
3,118298400,202,75.91%,200.59,2.74%,0.42%,0.00%,20.93%,0.00%,88.98%
4,110057043,202,74.64%,200.35,2.71%,0.42%,0.00%,22.23%,0.00%,89.65%
5,126239479,202,78.74%,198.46,3.57%,0.54%,0.00%,17.15%,0.00%,88.10%
6,66365797,202,57.74%,198.44,18.49%,2.69%,0.00%,21.07%,0.01%,61.67%
7,122209430,202,75.74%,199.95,2.61%,0.44%,0.00%,21.21%,0.00%,89.57%
8,92069972,202,78.40%,200.87,5.57%,0.90%,0.00%,15.13%,0.01%,81.72%
9,91115474,202,77.79%,200.98,3.83%,0.62%,0.00%,17.74%,0.01%,84.89%
10,87555953,202,79.35%,200.92,5.49%,0.89%,0.00%,14.27%,0.00%,82.41%
11,47177047,202,60.93%,200.79,26.38%,1.36%,0.00%,11.33%,0.00%,51.30%
12,103215113,202,79.73%,200.7,4.69%,0.78%,0.00%,14.79%,0.00%,83.41%
13,94978479,202,80.53%,200.73,4.34%,0.63%,0.00%,14.49%,0.00%,83.55%
14,69109348,202,79.11%,200.92,5.30%,0.76%,0.00%,14.83%,0.00%,82.88%
15,105465646,202,72.09%,200.84,2.69%,0.38%,0.00%,24.83%,0.00%,86.75%
16,110802893,202,69.62%,200.89,2.30%,0.32%,0.00%,27.76%,0.00%,87.86%
17,109764482,202,74.00%,200.99,2.81%,0.38%,0.00%,22.81%,0.00%,86.86%
,,,,,,,,,,
[E] Re-sampled rRNA filtered data set (STAR Alignment Summaries).,,,,,,,,,,
Replicate,Number of input reads,Average input read length,Uniquely mapped reads %,Average mapped length,% of reads mapped to multiple loci,% of reads mapped to too many loci,% of reads unmapped: too many mismatches,% of reads unmapped: too short,% of reads unmapped: other,% aligned reads assigned to exons
1,47177046,202,74.11%,198,2.49%,0.39%,0.00%,23.01%,0.00%,89.80%
2,47177046,202,74.71%,197.9,2.71%,0.44%,0.00%,22.14%,0.00%,89.05%
3,47177046,202,75.91%,200.59,2.73%,0.42%,0.00%,20.93%,0.00%,88.99%
4,47177046,202,74.64%,200.35,2.71%,0.42%,0.00%,22.22%,0.00%,89.65%
5,47177046,202,78.74%,198.46,3.57%,0.54%,0.00%,17.15%,0.00%,88.11%
6,47177046,202,57.75%,198.43,18.49%,2.69%,0.00%,21.07%,0.01%,61.67%
7,47177046,202,75.74%,199.95,2.61%,0.44%,0.00%,21.21%,0.00%,89.58%
8,47177046,202,78.40%,200.88,5.57%,0.90%,0.00%,15.13%,0.01%,81.72%
9,47177046,202,77.79%,200.98,3.83%,0.62%,0.00%,17.74%,0.01%,84.89%
10,47177046,202,79.35%,200.92,5.49%,0.89%,0.00%,14.27%,0.00%,82.41%
11,47177046,202,60.93%,200.79,26.38%,1.36%,0.00%,11.33%,0.00%,51.30%
12,47177046,202,79.74%,200.7,4.69%,0.78%,0.00%,14.79%,0.00%,83.40%
13,47177046,202,80.54%,200.73,4.34%,0.63%,0.00%,14.49%,0.00%,83.54%
14,47177046,202,79.11%,200.92,5.30%,0.76%,0.00%,14.82%,0.00%,82.89%
15,47177046,202,72.09%,200.84,2.69%,0.38%,0.00%,24.83%,0.00%,86.74%
16,47177046,202,69.62%,200.89,2.30%,0.32%,0.00%,27.75%,0.00%,87.86%
17,47177046,202,74.00%,201,2.81%,0.38%,0.00%,22.81%,0.00%,86.87%
