"dataset","biotype","time","gene","annotation","mean_TPM_percentile_rank","n_genes_universe"
"own","Susceptible",0,"Vitvi17g00964","SOBIR1",96.8,26169
"own","Susceptible",0,"Vitvi09g04536","GSO2",23,26169
"own","Susceptible",0,"Vitvi09g04548","LRR_RLP_548",24.7,26169
"own","Susceptible",0,"Vitvi01g04416","LRR_RLP_416",31.1,26169
"own","Susceptible",0,"Vitvi09g01951","RGI1",24,26169
"own","Susceptible",0,"Vitvi09g04565","RLP",80.5,26169
"own","Susceptible",0,"Vitvi17g04216","EDS1",58.5,26169
"own","Susceptible",0,"Vitvi05g00637","ACD6",32.5,26169
"own","Rpv12",0,"Vitvi17g00964","SOBIR1",99,26169
"own","Rpv12",0,"Vitvi09g04536","GSO2",66.4,26169
"own","Rpv12",0,"Vitvi09g04548","LRR_RLP_548",51,26169
"own","Rpv12",0,"Vitvi01g04416","LRR_RLP_416",61.3,26169
"own","Rpv12",0,"Vitvi09g01951","RGI1",38.3,26169
"own","Rpv12",0,"Vitvi09g04565","RLP",98.5,26169
"own","Rpv12",0,"Vitvi17g04216","EDS1",82.1,26169
"own","Rpv12",0,"Vitvi05g00637","ACD6",79.6,26169
"own","Susceptible",6,"Vitvi17g00964","SOBIR1",97.5,26169
"own","Susceptible",6,"Vitvi09g04536","GSO2",19.6,26169
"own","Susceptible",6,"Vitvi09g04548","LRR_RLP_548",19.2,26169
"own","Susceptible",6,"Vitvi01g04416","LRR_RLP_416",33.1,26169
"own","Susceptible",6,"Vitvi09g01951","RGI1",19.1,26169
"own","Susceptible",6,"Vitvi09g04565","RLP",81.4,26169
"own","Susceptible",6,"Vitvi17g04216","EDS1",61.3,26169
"own","Susceptible",6,"Vitvi05g00637","ACD6",31.3,26169
"own","Rpv12",6,"Vitvi17g00964","SOBIR1",97.1,26169
"own","Rpv12",6,"Vitvi09g04536","GSO2",47,26169
"own","Rpv12",6,"Vitvi09g04548","LRR_RLP_548",40.6,26169
"own","Rpv12",6,"Vitvi01g04416","LRR_RLP_416",41.7,26169
"own","Rpv12",6,"Vitvi09g01951","RGI1",27.8,26169
"own","Rpv12",6,"Vitvi09g04565","RLP",90.3,26169
"own","Rpv12",6,"Vitvi17g04216","EDS1",63.4,26169
"own","Rpv12",6,"Vitvi05g00637","ACD6",62.7,26169
"own","Susceptible",24,"Vitvi17g00964","SOBIR1",98.6,26169
"own","Susceptible",24,"Vitvi09g04536","GSO2",49.2,26169
"own","Susceptible",24,"Vitvi09g04548","LRR_RLP_548",44,26169
"own","Susceptible",24,"Vitvi01g04416","LRR_RLP_416",51.1,26169
"own","Susceptible",24,"Vitvi09g01951","RGI1",33.2,26169
"own","Susceptible",24,"Vitvi09g04565","RLP",89,26169
"own","Susceptible",24,"Vitvi17g04216","EDS1",80.4,26169
"own","Susceptible",24,"Vitvi05g00637","ACD6",45.5,26169
"own","Rpv12",24,"Vitvi17g00964","SOBIR1",97.7,26169
"own","Rpv12",24,"Vitvi09g04536","GSO2",49.5,26169
"own","Rpv12",24,"Vitvi09g04548","LRR_RLP_548",43.9,26169
"own","Rpv12",24,"Vitvi01g04416","LRR_RLP_416",49.1,26169
"own","Rpv12",24,"Vitvi09g01951","RGI1",28.9,26169
"own","Rpv12",24,"Vitvi09g04565","RLP",97.3,26169
