"gene","annotation","run_accession","hpi","treatment","bioreplicate","normalized_count","log2_normalized_count"
"Vitvi01g04416","LRR_RLP","ERR2987432",0,"mock","bio1",0,0
"Vitvi01g04416","LRR_RLP","ERR2987443",0,"mock","bio2",0,0
"Vitvi01g04416","LRR_RLP","ERR2987454",0,"mock","bio3",2.4312931399394,1.77875238251795
"Vitvi01g04416","LRR_RLP","ERR2987436",12,"inoculated","bio1",0,0
"Vitvi01g04416","LRR_RLP","ERR2987447",12,"inoculated","bio2",6.4943336749735,2.90580021312376
"Vitvi01g04416","LRR_RLP","ERR2987458",12,"inoculated","bio3",1.74228738970403,1.45537977242069
"Vitvi01g04416","LRR_RLP","ERR2987435",12,"mock","bio1",0,0
"Vitvi01g04416","LRR_RLP","ERR2987446",12,"mock","bio2",0,0
"Vitvi01g04416","LRR_RLP","ERR2987457",12,"mock","bio3",0,0
"Vitvi05g00637","ACD6","ERR2987432",0,"mock","bio1",31.8041349234924,5.03580577124392
"Vitvi05g00637","ACD6","ERR2987443",0,"mock","bio2",152.634542005679,7.26335880673078
"Vitvi05g00637","ACD6","ERR2987454",0,"mock","bio3",91.1734927477274,6.52628001495983
"Vitvi05g00637","ACD6","ERR2987436",12,"inoculated","bio1",61.6757824672972,5.96983619718938
"Vitvi05g00637","ACD6","ERR2987447",12,"inoculated","bio2",186.170898682574,7.54821233201428
"Vitvi05g00637","ACD6","ERR2987458",12,"inoculated","bio3",139.382991176322,7.13322433886408
"Vitvi05g00637","ACD6","ERR2987435",12,"mock","bio1",51.5297510847948,5.7150628431039
"Vitvi05g00637","ACD6","ERR2987446",12,"mock","bio2",199.292862097267,7.64596719804284
"Vitvi05g00637","ACD6","ERR2987457",12,"mock","bio3",216.065310635861,7.76198537601171
"Vitvi09g01951","RGI1","ERR2987432",0,"mock","bio1",0,0
"Vitvi09g01951","RGI1","ERR2987443",0,"mock","bio2",0,0
"Vitvi09g01951","RGI1","ERR2987454",0,"mock","bio3",0,0
"Vitvi09g01951","RGI1","ERR2987436",12,"inoculated","bio1",0,0
"Vitvi09g01951","RGI1","ERR2987447",12,"inoculated","bio2",1.44318526110522,1.28876326399161
"Vitvi09g01951","RGI1","ERR2987458",12,"inoculated","bio3",0,0
"Vitvi09g01951","RGI1","ERR2987435",12,"mock","bio1",0,0
"Vitvi09g01951","RGI1","ERR2987446",12,"mock","bio2",0,0
"Vitvi09g01951","RGI1","ERR2987457",12,"mock","bio3",0,0
"Vitvi09g04536","GSO2","ERR2987432",0,"mock","bio1",2.95852417892952,1.98496266348972
"Vitvi09g04536","GSO2","ERR2987443",0,"mock","bio2",10.4069005912963,3.5118349400639
"Vitvi09g04536","GSO2","ERR2987454",0,"mock","bio3",9.72517255975759,3.42292895464983
"Vitvi09g04536","GSO2","ERR2987436",12,"inoculated","bio1",0,0
"Vitvi09g04536","GSO2","ERR2987447",12,"inoculated","bio2",10.8238894582892,3.56363278177064
"Vitvi09g04536","GSO2","ERR2987458",12,"inoculated","bio3",2.61343108455604,1.85336937944564
"Vitvi09g04536","GSO2","ERR2987435",12,"mock","bio1",3.06117333176999,2.02189660311757
"Vitvi09g04536","GSO2","ERR2987446",12,"mock","bio2",1.53894102005612,1.34422688137342
"Vitvi09g04536","GSO2","ERR2987457",12,"mock","bio3",0,0
"Vitvi09g04548","LRR_RLP","ERR2987432",0,"mock","bio1",0,0
"Vitvi09g04548","LRR_RLP","ERR2987443",0,"mock","bio2",1.38758674550617,1.25555314991828
"Vitvi09g04548","LRR_RLP","ERR2987454",0,"mock","bio3",2.4312931399394,1.77875238251795
"Vitvi09g04548","LRR_RLP","ERR2987436",12,"inoculated","bio1",0,0
"Vitvi09g04548","LRR_RLP","ERR2987447",12,"inoculated","bio2",3.60796315276306,2.20412918042203
"Vitvi09g04548","LRR_RLP","ERR2987458",12,"inoculated","bio3",0,0
"Vitvi09g04548","LRR_RLP","ERR2987435",12,"mock","bio1",0,0
"Vitvi09g04548","LRR_RLP","ERR2987446",12,"mock","bio2",1.53894102005612,1.34422688137342
"Vitvi09g04548","LRR_RLP","ERR2987457",12,"mock","bio3",0,0
"Vitvi09g04565","RLP","ERR2987432",0,"mock","bio1",11.8340967157181,3.68190985518618
"Vitvi09g04565","RLP","ERR2987443",0,"mock","bio2",33.3020818921481,5.10022423526007
"Vitvi09g04565","RLP","ERR2987454",0,"mock","bio3",26.7442245393334,4.79411557461482
"Vitvi09g04565","RLP","ERR2987436",12,"inoculated","bio1",11.0367189678321,3.58937028317069
"Vitvi09g04565","RLP","ERR2987447",12,"inoculated","bio2",49.0682988775776,5.64582553408026
"Vitvi09g04565","RLP","ERR2987458",12,"inoculated","bio3",18.2940175918923,4.2700816818405
"Vitvi09g04565","RLP","ERR2987435",12,"mock","bio1",7.14273777412997,3.02551394302765
"Vitvi09g04565","RLP","ERR2987446",12,"mock","bio2",24.6230563208979,4.67937066564963
"Vitvi09g04565","RLP","ERR2987457",12,"mock","bio3",2.9198014950792,1.97078059584147
"Vitvi17g00964","SOBIR1","ERR2987432",0,"mock","bio1",8250.5843039897,13.0104554280292
"Vitvi17g00964","SOBIR1","ERR2987443",0,"mock","bio2",9919.16385025087,13.2761482343057
"Vitvi17g00964","SOBIR1","ERR2987454",0,"mock","bio3",7860.37072142407,12.9405651697399
"Vitvi17g00964","SOBIR1","ERR2987436",12,"inoculated","bio1",4444.55165022228,12.1181467394108
"Vitvi17g00964","SOBIR1","ERR2987447",12,"inoculated","bio2",3266.64983851167,11.6740376771698
"Vitvi17g00964","SOBIR1","ERR2987458",12,"inoculated","bio3",2962.7597061917,11.5332127671443
"Vitvi17g00964","SOBIR1","ERR2987435",12,"mock","bio1",2291.79843438513,11.162893814245
"Vitvi17g00964","SOBIR1","ERR2987446",12,"mock","bio2",2851.65771016398,11.4780909332731
"Vitvi17g00964","SOBIR1","ERR2987457",12,"mock","bio3",1286.17255858239,10.3299897591401
"Vitvi17g04216","EDS1","ERR2987432",0,"mock","bio1",313.603562966529,8.29739119951445
"Vitvi17g04216","EDS1","ERR2987443",0,"mock","bio2",490.511914536432,8.94108257853648
"Vitvi17g04216","EDS1","ERR2987454",0,"mock","bio3",337.949746451576,8.40492758136823
"Vitvi17g04216","EDS1","ERR2987436",12,"inoculated","bio1",315.520318727436,8.30615430486722
"Vitvi17g04216","EDS1","ERR2987447",12,"inoculated","bio2",361.517907906858,8.50190845389618
"Vitvi17g04216","EDS1","ERR2987458",12,"inoculated","bio3",290.090850385721,8.18532568292624
"Vitvi17g04216","EDS1","ERR2987435",12,"mock","bio1",244.893866541599,7.94189193926595
"Vitvi17g04216","EDS1","ERR2987446",12,"mock","bio2",357.034316653019,8.48395406243863
"Vitvi17g04216","EDS1","ERR2987457",12,"mock","bio3",322.638065206251,8.33823749239619
