"time","own_genotype","own_sample","chitarrini_treatment","chitarrini_sample","spearman_rho"
"0","Susceptible","Susceptible.0.A","mock","ERR2987432",0.784323930995011
"0","Susceptible","Susceptible.0.A","mock","ERR2987443",0.809770249037538
"0","Susceptible","Susceptible.0.A","mock","ERR2987454",0.824473602455229
"0","Susceptible","Susceptible.0.B","mock","ERR2987432",0.774242381109681
"0","Susceptible","Susceptible.0.B","mock","ERR2987443",0.804087088263489
"0","Susceptible","Susceptible.0.B","mock","ERR2987454",0.823039314553008
"0","Susceptible","Susceptible.0.C","mock","ERR2987432",0.778968392817305
"0","Susceptible","Susceptible.0.C","mock","ERR2987443",0.805053110350078
"0","Susceptible","Susceptible.0.C","mock","ERR2987454",0.820250683321344
"0","Rpv12","Rpv12.0.A","mock","ERR2987432",0.792573324218933
"0","Rpv12","Rpv12.0.A","mock","ERR2987443",0.819065791806352
"0","Rpv12","Rpv12.0.A","mock","ERR2987454",0.831114694263125
"0","Rpv12","Rpv12.0.B","mock","ERR2987432",0.774164504355801
"0","Rpv12","Rpv12.0.B","mock","ERR2987443",0.801902226078116
"0","Rpv12","Rpv12.0.B","mock","ERR2987454",0.815727496973646
"0","Rpv12","Rpv12.0.C","mock","ERR2987432",0.77972243810422
"0","Rpv12","Rpv12.0.C","mock","ERR2987443",0.807540495085897
"0","Rpv12","Rpv12.0.C","mock","ERR2987454",0.820965011036686
"24","Susceptible","Susceptible.24.A","mock","ERR2987437",0.805545647551029
"24","Susceptible","Susceptible.24.A","mock","ERR2987448",0.814539926364126
"24","Susceptible","Susceptible.24.A","mock","ERR2987459",0.833132403010596
"24","Susceptible","Susceptible.24.B","mock","ERR2987437",0.763102762678334
"24","Susceptible","Susceptible.24.B","mock","ERR2987448",0.760339272951735
"24","Susceptible","Susceptible.24.B","mock","ERR2987459",0.775856239405552
"24","Susceptible","Susceptible.24.C","mock","ERR2987437",0.813908362582837
"24","Susceptible","Susceptible.24.C","mock","ERR2987448",0.823509663150025
"24","Susceptible","Susceptible.24.C","mock","ERR2987459",0.838771986957737
"24","Susceptible","Susceptible.24.A","inoculated","ERR2987438",0.8244629342007
"24","Susceptible","Susceptible.24.A","inoculated","ERR2987449",0.833854124225089
"24","Susceptible","Susceptible.24.A","inoculated","ERR2987460",0.828099963787174
"24","Susceptible","Susceptible.24.B","inoculated","ERR2987438",0.77441479588824
"24","Susceptible","Susceptible.24.B","inoculated","ERR2987449",0.768820535431888
"24","Susceptible","Susceptible.24.B","inoculated","ERR2987460",0.76402356212255
"24","Susceptible","Susceptible.24.C","inoculated","ERR2987438",0.83335887339506
"24","Susceptible","Susceptible.24.C","inoculated","ERR2987449",0.843056005494107
"24","Susceptible","Susceptible.24.C","inoculated","ERR2987460",0.837809001603193
"24","Rpv12","Rpv12.24.A","mock","ERR2987437",0.76235139704656
"24","Rpv12","Rpv12.24.A","mock","ERR2987448",0.758288505501748
"24","Rpv12","Rpv12.24.A","mock","ERR2987459",0.778040603943047
"24","Rpv12","Rpv12.24.B","mock","ERR2987437",0.750683864659872
"24","Rpv12","Rpv12.24.B","mock","ERR2987448",0.747101397310852
"24","Rpv12","Rpv12.24.B","mock","ERR2987459",0.767934785117246
"24","Rpv12","Rpv12.24.C","mock","ERR2987437",0.753274218887157
"24","Rpv12","Rpv12.24.C","mock","ERR2987448",0.74987802197688
"24","Rpv12","Rpv12.24.C","mock","ERR2987459",0.770090439461612
"24","Rpv12","Rpv12.24.A","inoculated","ERR2987438",0.777713958489398
"24","Rpv12","Rpv12.24.A","inoculated","ERR2987449",0.772220093190857
"24","Rpv12","Rpv12.24.A","inoculated","ERR2987460",0.768003528883833
"24","Rpv12","Rpv12.24.B","inoculated","ERR2987438",0.767013814198581
"24","Rpv12","Rpv12.24.B","inoculated","ERR2987449",0.761617490036178
"24","Rpv12","Rpv12.24.B","inoculated","ERR2987460",0.758226969606486
"24","Rpv12","Rpv12.24.C","inoculated","ERR2987438",0.769462739593089
"24","Rpv12","Rpv12.24.C","inoculated","ERR2987449",0.763870151822427
"24","Rpv12","Rpv12.24.C","inoculated","ERR2987460",0.759959985868029
