"family","contrast","n_genes_total","n_genes_for_50pct","pct_genes_for_50pct","n_genes_for_75pct","pct_genes_for_75pct","n_genes_for_80pct","pct_genes_for_80pct","n_genes_for_90pct","pct_genes_for_90pct","n_genes_for_95pct","pct_genes_for_95pct"
"within_MV102","T1_vs_T0",24458,892,3.64706844386295,2586,10.5732275738,3234,13.2226674298798,5513,22.5406819854444,8014,32.7663750102216
"within_MV102","T2_vs_T0",24458,1056,4.31760569138932,2990,12.2250388420967,3728,15.2424564559653,6219,25.4272630632104,8860,36.2253659334369
"within_MV102","T3_vs_T0",24458,1036,4.23583285632513,2885,11.7957314580096,3580,14.6373374764903,6005,24.5522937280235,8628,35.2768010466923
"within_MV102","T4_vs_T0",24458,1229,5.02494071469458,3239,13.2431106386458,3981,16.2768828195274,6519,26.6538555891733,9187,37.5623517867364
"within_MV102","T5_vs_T0",24458,1303,5.32750020443209,3397,13.889116035653,4173,17.0619020361436,6786,27.7455229372802,9524,38.9402240575681
"within_MV102","T6_vs_T0",24458,1316,5.38065254722381,3384,13.8359636928612,4148,16.9596859923134,6744,27.5737999836454,9472,38.7276146864012
"within_MV32","T1_vs_T0",24458,1027,4.19903508054624,2900,11.8570610843078,3603,14.7313762368141,5981,24.4541663259465,8485,34.6921252759833
"within_MV32","T2_vs_T0",24458,1145,4.68149480742497,3151,12.8833101643634,3917,16.0152097473219,6480,26.4943985607981,9159,37.4478698176466
"within_MV32","T3_vs_T0",24458,1207,4.93499059612397,3418,13.9749775124704,4284,17.5157412707499,7243,29.614032218497,10163,41.552866137869
"within_MV32","T4_vs_T0",24458,1238,5.06173849047346,3454,14.1221686155859,4303,17.5934254640608,7176,29.340093221032,10053,41.1031155450159
"within_MV32","T5_vs_T0",24458,1420,5.80587128955761,3646,14.9071878322021,4473,18.2884945621065,7232,29.5690571592117,10018,40.9600130836536
"within_MV32","T6_vs_T0",24458,1444,5.90399869163464,3802,15.5450159457028,4692,19.1839071060594,7617,31.1431842341974,10487,42.8775860659089
"within_Syrah_background","DEV02_vs_DEV01",25755,977,3.79343816734615,3063,11.8928363424578,3886,15.088332362648,6691,25.9794214715589,9632,37.3985633857503
"within_Syrah_background","DEV03_vs_DEV01",25755,1174,4.55833818675985,3143,12.2034556396816,3917,15.2086973403223,6564,25.4863133372161,9389,36.4550572704329
"within_Syrah_background","DEV04_vs_DEV01",25755,1224,4.75247524752475,3297,12.8013977868375,4098,15.9114735002912,6861,26.6394874781596,9747,37.8450786255096
"within_Syrah_background","DEV05_vs_DEV01",25755,1304,5.06309454474859,3346,12.9916521063871,4121,16.0007765482431,6794,26.3793438167346,9645,37.4490390215492
"within_Syrah_background","DEV06_vs_DEV01",25755,1209,4.69423412929528,3234,12.5567850902737,4014,15.5853232382062,6759,26.2434478741992,9674,37.5616385167929
"within_Syrah_background","DEV07_vs_DEV01",25755,1234,4.79130265967773,3285,12.7548048922539,4065,15.7833430401864,6749,26.2046204620462,9633,37.4024461269656
"within_Syrah_background","DEV08_vs_DEV01",25755,1235,4.79518540089303,3302,12.820811492914,4108,15.9503009124442,6895,26.7715006794797,9856,38.2682974179771
"within_Syrah_background","DEV09_vs_DEV01",25755,1284,4.98543972044263,3463,13.445932828577,4312,16.742380120365,7203,27.9673849737915,10226,39.7049116676374
"within_Syrah_background","DEV10_vs_DEV01",25755,1499,5.8202290817317,3889,15.0999805862939,4784,18.5750339739856,7812,30.331974373908,10837,42.0772665501844
"within_Syrah_background","DEV11_vs_DEV01",25755,1517,5.89011842360707,3905,15.1621044457387,4795,18.6177441273539,7748,30.0834789361289,10703,41.5569792273345
"within_G5_bonus","T2_vs_T1",23636,1255,5.30969707226265,3279,13.8729057370113,3988,16.8725672702657,6317,26.7261804027754,8721,36.8971061093248
"within_G5_bonus","T3_vs_T1",23636,1095,4.63276358097817,2966,12.5486545946861,3662,15.4933152817736,5952,25.1819258757827,8441,35.7124724995769
"cross_cultivar_MV102_vs_MV32","T0",24458,845,3.4549022814621,2657,10.8635211382779,3409,13.9381797366915,6174,25.243274184316,9160,37.4519584593998
"cross_cultivar_MV102_vs_MV32","T1",24458,712,2.91111292828522,2387,9.75958786491128,3078,12.5848393163791,5559,22.7287595060921,8438,34.4999591135825
"cross_cultivar_MV102_vs_MV32","T4",24458,845,3.4549022814621,2439,9.97219723607818,3086,12.6175484504048,5359,21.9110311554502,7916,32.3656881184071
"cross_cultivar_MV102_vs_MV32","T6",24458,1017,4.15814866301415,2877,11.763022323984,3589,14.6741352522692,6016,24.5972687873089,8489,34.7084798429962
