"run_accession","normalization_group","genotype","T_index","dev_num","replicate","size_factor"
"SRR20664575","Syrah_developmental_PRJNA862686","Syrah",NA,3,2,1.04584269131366
"SRR20664577","Syrah_developmental_PRJNA862686","Syrah",NA,2,3,1.67161582292842
"SRR20664579","Syrah_developmental_PRJNA862686","Syrah",NA,11,3,0.572506130935005
"SRR20664586","Syrah_developmental_PRJNA862686","Syrah",NA,9,3,0.910701449465864
"SRR20664587","Syrah_developmental_PRJNA862686","Syrah",NA,9,2,0.964205873958163
"SRR20664588","Syrah_developmental_PRJNA862686","Syrah",NA,9,1,0.732075702492661
"SRR20664589","Syrah_developmental_PRJNA862686","Syrah",NA,8,3,0.877029785410816
"SRR20664596","Syrah_developmental_PRJNA862686","Syrah",NA,6,3,1.11127744461834
"SRR20664597","Syrah_developmental_PRJNA862686","Syrah",NA,6,2,0.864454249264689
"SRR20664599","Syrah_developmental_PRJNA862686","Syrah",NA,5,3,0.975240009539937
"SRR20664573","Syrah_developmental_PRJNA862686","Syrah",NA,4,1,0.818842060107449
"SRR20664576","Syrah_developmental_PRJNA862686","Syrah",NA,3,1,1.2039579141621
"SRR20664578","Syrah_developmental_PRJNA862686","Syrah",NA,2,2,1.36226083462473
"SRR20664590","Syrah_developmental_PRJNA862686","Syrah",NA,8,2,0.931380302964497
"SRR20664591","Syrah_developmental_PRJNA862686","Syrah",NA,8,1,0.77390032132454
"SRR20664594","Syrah_developmental_PRJNA862686","Syrah",NA,7,2,0.980346925325021
"SRR20664600","Syrah_developmental_PRJNA862686","Syrah",NA,5,2,1.37774694632949
"SRR20664602","Syrah_developmental_PRJNA862686","Syrah",NA,4,3,0.96919553525643
"SRR20664604","Syrah_developmental_PRJNA862686","Syrah",NA,1,2,1.30537366457528
"SRR20664574","Syrah_developmental_PRJNA862686","Syrah",NA,3,3,1.16878678789297
"SRR20664580","Syrah_developmental_PRJNA862686","Syrah",NA,11,2,0.781006741220657
"SRR20664581","Syrah_developmental_PRJNA862686","Syrah",NA,11,1,0.768983508457531
"SRR20664582","Syrah_developmental_PRJNA862686","Syrah",NA,2,1,1.2153252487246
"SRR20664583","Syrah_developmental_PRJNA862686","Syrah",NA,10,3,0.823285107128823
"SRR20664584","Syrah_developmental_PRJNA862686","Syrah",NA,10,2,1.22649942839592
"SRR20664585","Syrah_developmental_PRJNA862686","Syrah",NA,10,1,1.1402717719764
"SRR20664592","Syrah_developmental_PRJNA862686","Syrah",NA,7,3,1.10011204416097
"SRR20664593","Syrah_developmental_PRJNA862686","Syrah",NA,1,3,1.38460860595345
"SRR20664595","Syrah_developmental_PRJNA862686","Syrah",NA,7,1,0.93750710200646
"SRR20664598","Syrah_developmental_PRJNA862686","Syrah",NA,6,1,1.30047346598255
"SRR20664601","Syrah_developmental_PRJNA862686","Syrah",NA,5,1,1.04472410003224
"SRR20664603","Syrah_developmental_PRJNA862686","Syrah",NA,4,2,0.833238708068096
"SRR20664605","Syrah_developmental_PRJNA862686","Syrah",NA,1,1,0.921092208731503
"SRR29330595","MV102_MV32_PRJNA1121615","MV32",2,NA,3,0.757334031335196
"SRR29330596","MV102_MV32_PRJNA1121615","MV32",2,NA,2,0.714761384229212
