run_accession	sample_alias	library_name	experiment_title	fastq_bytes
SRR20664575	DEV03_G3_rep2	DEV03_G3_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1887907784;1896587176
SRR20664577	DEV02_G2_rep3	DEV02_G2_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2785416314;2791723673
SRR20664579	DEV11_Sh11_rep3	DEV11_Sh11_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1300451521;1306868078
SRR20664586	DEV09_R9_rep3	DEV09_R9_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1954274538;1964910842
SRR20664587	DEV09_R9_rep2	DEV09_R9_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2048361811;2059107489
SRR20664588	DEV09_R9_rep1	DEV09_R9_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1602881404;1611254097
SRR20664589	DEV08_R8_rep3	DEV08_R8_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2018926512;2037294647
SRR20664596	DEV06_S6_rep3	DEV06_S6_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2222015738;2225896696
SRR20664597	DEV06_S6_rep2	DEV06_S6_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1680034572;1683692644
SRR20664599	DEV05_L5_rep3	DEV05_L5_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1697233286;1699163497
SRR20664573	DEV04_L4_rep1	DEV04_L4_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1858758046;1865808707
SRR20664576	DEV03_G3_rep1	DEV03_G3_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2257349542;2267313052
SRR20664578	DEV02_G2_rep2	DEV02_G2_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2318438724;2324638758
SRR20664590	DEV08_R8_rep2	DEV08_R8_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2211378982;2227941917
SRR20664591	DEV08_R8_rep1	DEV08_R8_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1706414487;1720760768
SRR20664594	DEV07_S7_rep2	DEV07_S7_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1809828686;1813857198
SRR20664600	DEV05_L5_rep2	DEV05_L5_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2642932869;2644411504
SRR20664602	DEV04_L4_rep3	DEV04_L4_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2143132934;2151755193
SRR20664604	DEV01_G1_rep2	DEV01_G1_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2236378947;2245154218
SRR20664574	DEV03_G3_rep3	DEV03_G3_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2322277466;2341340397
SRR20664580	DEV11_Sh11_rep2	DEV11_Sh11_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1494689039;1501651772
SRR20664581	DEV11_Sh11_rep1	DEV11_Sh11_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1566109637;1573448115
SRR20664582	DEV02_G2_rep1	DEV02_G2_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2298423873;2311642464
SRR20664583	DEV10_R10_rep3	DEV10_R10_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1768095559;1776153910
SRR20664584	DEV10_R10_rep2	DEV10_R10_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2363315563;2371190203
SRR20664585	DEV10_R10_rep1	DEV10_R10_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2519390273;2535699748
SRR20664592	DEV07_S7_rep3	DEV07_S7_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2160371626;2166973322
SRR20664593	DEV01_G1_rep3	DEV01_G1_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2342380377;2350087829
SRR20664595	DEV07_S7_rep1	DEV07_S7_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1861219409;1865740663
SRR20664598	DEV06_S6_rep1	DEV06_S6_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2372943763;2374730908
SRR20664601	DEV05_L5_rep1	DEV05_L5_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1794527497;1796021254
SRR20664603	DEV04_L4_rep2	DEV04_L4_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	2027976181;2040503346
SRR20664605	DEV01_G1_rep1	DEV01_G1_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development	1725916017;1729693911
