bioproject	run_accession	sample_alias	library_name	experiment_title
PRJNA862686	SRR20664575	DEV03_G3_rep2	DEV03_G3_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664577	DEV02_G2_rep3	DEV02_G2_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664579	DEV11_Sh11_rep3	DEV11_Sh11_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664586	DEV09_R9_rep3	DEV09_R9_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664587	DEV09_R9_rep2	DEV09_R9_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664588	DEV09_R9_rep1	DEV09_R9_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664589	DEV08_R8_rep3	DEV08_R8_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664596	DEV06_S6_rep3	DEV06_S6_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664597	DEV06_S6_rep2	DEV06_S6_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664599	DEV05_L5_rep3	DEV05_L5_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664573	DEV04_L4_rep1	DEV04_L4_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664576	DEV03_G3_rep1	DEV03_G3_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664578	DEV02_G2_rep2	DEV02_G2_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664590	DEV08_R8_rep2	DEV08_R8_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664591	DEV08_R8_rep1	DEV08_R8_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664594	DEV07_S7_rep2	DEV07_S7_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664600	DEV05_L5_rep2	DEV05_L5_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664602	DEV04_L4_rep3	DEV04_L4_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664604	DEV01_G1_rep2	DEV01_G1_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664574	DEV03_G3_rep3	DEV03_G3_rep3	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664580	DEV11_Sh11_rep2	DEV11_Sh11_rep2	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
PRJNA862686	SRR20664581	DEV11_Sh11_rep1	DEV11_Sh11_rep1	Illumina HiSeq 3000 sequencing: RNA-seq of V. vinifera single berry development
