Sample,Genotype,resistant/non-resistant,Malic acid (mEq/L),Tartaric (mEq/L),G+F (mmol/L)
Sy.T4_1,Syrah,0,345.8,203.9,74.8
Sy.T4_2,Syrah,0,346.5,215.3,81.3
Sy.T4_3,Syrah,0,331.1,210.7,78.4
Sy.T5_1,Syrah,0,329.1,144.9,89
Sy.T5_2,Syrah,0,336.3,136.9,88.4
Sy.T5_3,Syrah,0,353.4,127.8,88.6
Sy.T6_1,Syrah,0,374.7,123.2,149.7
Sy.T6_2,Syrah,0,326.4,138.7,188.2
Sy.T6_3,Syrah,0,301.3,160,189.9
Sy.T7_1,Syrah,0,357.3,132.5,288.3
Sy.T7_2,Syrah,0,341.5,135.3,266.6
Sy.T7_3,Syrah,0,295.5,176.9,276.8
Sy.T8_1,Syrah,0,262.3,125.6,468.9
Sy.T8_2,Syrah,0,256.6,112.5,502.1
Sy.T8_3,Syrah,0,223.8,117.9,535.3
Sy.T8_4,Syrah,0,366.8,140.89,512.26
Sy.T9_1,Syrah,0,125.7,93.2,847.7
Sy.T9_2,Syrah,0,94.1,114.5,899.4
Sy.T9_3,Syrah,0,128.3,115,777.3
Sy.T10_1,Syrah,0,74.8,81.1,1189.8
Sy.T10_2,Syrah,0,53.3,86.3,1169.1
Sy.T10_3,Syrah,0,66.4,86.1,1160.6
Sy.T11_1,Syrah,0,44.1,81.6,1164
Sy.T11_2,Syrah,0,35.8,101,1285.9
Sy.T11_3,Syrah,0,40.1,100.8,1281.4
Me.T1_1,Merlot clone1,0,555.1,183,142.5
Me.T1_2,Merlot clone1,0,508.1,156.2,111.4
Me.T1_3,Merlot clone1,0,484.7,187.7,90.6
Me.T2_1,Merlot clone1,0,377.9,141.8,386.2
Me.T2_2,Merlot clone1,0,308,162.2,475.7
Me.T2_3,Merlot clone1,0,413.5,154.1,348.3
Me.T3_1,Merlot clone1,0,237.7,137.6,972.2
Me.T3_2,Merlot clone1,0,254.7,123.4,899.1
Me.T3_3,Merlot clone1,0,164.9,108.6,998.2
Me.T4_1,Merlot clone1,0,36.6,119.2,1308.1
Me.T4_2,Merlot clone1,0,72.9,115.5,1277.3
Me.T4_3,Merlot clone1,0,82.8,121.7,1278.3
Me.T5_1,Merlot clone1,0,47.5,107.8,1406.5
Me.T5_2,Merlot clone1,0,38.1,115.8,1468.9
Me.T5_3,Merlot clone1,0,40.8,115,1467.5
M.T1_1,Merlot clone2,0,466.3,185.3,105.5
M.T1_2,Merlot clone2,0,470.2,192.2,92.4
M.T1_3,Merlot clone2,0,438.9,209.5,112.8
M.T2_1,Merlot clone2,0,309.9,196,483.1
M.T2_2,Merlot clone2,0,393.8,155.6,342.9
M.T2_3,Merlot clone2,0,401.6,172.4,371.2
M.T3_1,Merlot clone2,0,200.8,129.7,923.4
M.T3_2,Merlot clone2,0,135.1,109,961.6
M.T3_3,Merlot clone2,0,171,118.7,978.4
M.T4_1,Merlot clone2,0,95.1,133.6,1388.8
M.T4_2,Merlot clone2,0,64.4,116.1,1433.7
M.T4_3,Merlot clone2,0,81.9,124.7,1424.5
PT32.T0_1,MV32,0,354.36,147.44,45.23
PT32.T0_2,MV32,0,389.56,146.71,45.95
PT32.T0_3,MV32,0,335.94,139.7,43.57
PT32.T1_1,MV32,0,362.58,141.92,130.7
PT32.T1_2,MV32,0,436.14,143.47,113.6
PT32.T1_3,MV32,0,416.49,129.72,68.42
PT32.T2_1,MV32,0,404.07,136.46,250.8
