Common_gene_name	Vvinifera	UniProt	RPV12_0	RPV12_6	RPV12_24	RPV12+1_0	RPV12+1_6	RPV12+1_24	RPV12+1+3_0	RPV12+1+3_6	RPV12+1+3_24	Metamodule	RPV12_0	RPV12_6	RPV12_24	RPV12+1_0	RPV12+1_6	RPV12+1_24	RPV12+1+3_0	RPV12+1+3_6	RPV12+1+3_24
MACP1	Vitvi01g00508	D7T8J2	-0.4905	0.8475	-1.1142	-0.8562	1.142	0.3159	1.4004	1.4895	1.1196	MM1	0	0	0	0	1	0	1	1	0
G8H	Vitvi02g00446	F6HT36	-0.2902	1.2958	0.0621	-0.169	1.235	1.1088	1.2443	1.7378	1.1578	MM1	0	1	0	0	1	0	1	1	0
RIPK	Vitvi11g00075	D7TCE8	-0.5723	-0.0695	-1.003	-0.0953	1.3996	0.3251	1.2981	1.4601	0.8889	MM1	0	0	0	0	1	0	1	1	0
SEP2	Vitvi07g01829	D7SW53	-0.2589	1.2142	0.4188	-0.202	1.4734	1.1114	1.5258	1.694	1.7682	MM1	0	0	0	0	1	0	1	1	0
SSL7	Vitvi04g01550	D7U6N0	-0.8594	0.9673	-0.1654	-0.1032	1.3214	0.6823	1.1652	1.7964	1.1402	MM1	0	0	0	0	1	0	1	1	0
STAY-GREEN	Vitvi02g00429	F6HUJ1	-1.5443	1.3996	-1.7083	0.0502	1.8667	0.0796	2.4731	3.1895	1.3169	MM1	0	0	-1	0	1	0	1	1	1
TF_bZIP53	Vitvi05g00108	F6H732	-1.0529	0.6071	0.1542	0.6114	0.9195	0.8329	1.3479	1.471	1.3604	MM1	-1	0	0	0	0	0	1	1	0
TF_NAC21/22	Vitvi19g01484	D7SX08	-1.2847	1.3203	0.3925	0.0547	1.4405	1.2502	2.6816	2.9366	1.8604	MM1	-1	0	0	0	0	0	1	1	0
TF_NAC29	Vitvi01g01038	D7TN62	-0.7052	0.9552	-0.7502	1.4633	1.5006	1.4431	2.1239	1.8843	1.6839	MM1	0	0	0	0	1	0	1	1	1
TF_NACJA2L	Vitvi19g00270	E0CSQ1	-1.0329	1.1277	-1.1141	0.021	1.2473	0.3842	1.911	2.0821	1.4475	MM1	-1	0	0	0	0	0	1	1	0
TF_WRKY47	Vitvi07g00523	F6HZF7	-0.5366	0.9689	-1.173	-0.5601	1.2689	0.3011	1.4665	1.7819	0.845	MM1	0	0	0	0	1	0	1	1	0
CSLG2	Vitvi05g00675	F6HE22	-0.2183	1.0423	0.6825	0.3896	1.1437	0.7002	1.2441	1.3899	0.7853	MM1+MM4	0	0	0	0	1	0	1	1	0
LAZ5	Vitvi18g04640	F6I7C4	-2.0918	-1.5323	-3.9243	-2.3788	-1.3267	-3.5439	-2.2453	-1.7264	-3.5271	MM2	0	-1	-1	0	-1	-1	0	-1	-1
At4g27220	Vitvi12g04630	F6HK09	-4.4165	-3.0091	-6.5623	-3.8023	-2.5409	-5.7344	-4.486	-3.0731	-6.5	MM2	0	-1	-1	0	-1	-1	0	-1	-1
ALA1	Vitvi07g02323	F6GXW3	-4.8031	-4.333	-6.4104	-5.3511	-3.9578	-5.7687	-5.1072	-3.9797	-6.2413	MM2	0	-1	-1	0	-1	0	0	-1	-1
FERONIA	Vitvi01g01751	F6HWQ0	-4.2739	-3.5264	-6.7721	-4.1945	-3.0329	-5.7956	-4.3391	-3.1959	-6.4728	MM2	0	-1	-1	0	-1	0	0	-1	-1
HPGT1	Vitvi01g02242	F6HG81	-1.3445	-1.7759	-3.0017	-1.5672	-1.7134	-2.4149	-1.8009	-1.7201	-2.817	MM2	0	-1	-1	0	-1	0	-1	-1	-1
MAPKKK1b	Vitvi12g01776	F6HUQ3	-1.9676	-1.8016	-2.5263	-2.372	-1.8589	-2.1714	-2.3753	-1.7487	-2.5493	MM2	0	-1	-1	0	-1	0	0	-1	-1
RPM1	Vitvi07g00890	F6I002	-4.109	-3.7853	-5.4905	-3.6117	-2.7741	-5.2535	-4.9319	-2.7436	-5.2291	MM2	0	-1	-1	0	-1	0	0	-1	-1
LBO1	Vitvi08g01235	F6HL84	-6.1836	-5.2387	-6.771	-5.633	-3.6882	-5.726	-6.5502	-5.4234	-7.8692	MM2	0	-1	-1	0	0	0	0	-1	-1
U2AF65B	Vitvi02g04134	F6HWU3	-1.9609	-1.6484	-2.314	-1.9825	-1.4913	-2.0324	-1.9849	-1.4974	-2.1214	MM2	0	-1	-1	0	-1	0	0	-1	-1
ACS1	Vitvi02g00032	D7TV63	1.0037	-0.5571	1.0911	0.9532	-0.2897	0.2529	-2.0178	-2.3209	-1.3741	MM3	1	0	0	0	0	0	-1	-1	0
CHUP1	Vitvi10g00562	F6HM83	1.0809	-1.8004	2.2751	-0.095	-2.5455	0.1942	-2.7124	-3.5967	-1.5631	MM3	1	-1	0	0	0	0	-1	-1	0
CSLG3	Vitvi02g01355	F6HU47	1.142	-0.2861	1.7498	0.2757	-0.45	0.0918	-1.0249	-1.1538	-0.5051	MM3	1	0	1	0	0	0	-1	-1	0
CYP714A1	Vitvi13g00004	D7T4T9	0.6478	-0.4799	2.2981	1.2918	-0.6172	0.8577	-2.1297	-2.1362	-0.1809	MM3	0	0	1	0	0	0	-1	-1	0
DTX30	Vitvi01g00656	D7SYR2	1.2286	-1.1748	-0.0455	0.2355	-1.4988	-0.875	-2.2252	-2.7489	-1.6386	MM3	1	-1	0	0	0	0	-1	-1	0
DREB3	Vitvi11g00285	F6HGL9	0.9118	-0.6427	-0.8163	2.0417	-0.4243	-0.4243	-1.9095	-1.8914	-1.2096	MM3	0	0	0	1	0	0	-1	-1	0
SBT5.6	Vitvi10g01812	F6HME6	1.1143	-0.6629	1.553	-0.2522	-1.3138	-0.285	-1.0623	-1.2694	-0.1393	MM3	1	0	1	0	-1	0	-1	0	0
