"gene","genotype","pattern","category","group"
"Vitvi00g00444","Rpv12","EED","LR","Group_IV"
"Vitvi00g00447","Rpv12","EEE","EEE","Group_V"
"Vitvi00g00786","Rpv12","EEE","EEE","Group_V"
"Vitvi00g00859","Rpv12","UEE","IEV","Group_I"
"Vitvi00g01805","Rpv12","UUE","IEV","Group_I"
"Vitvi00g04001","Rpv12","DEE","IEV","Group_IV"
"Vitvi00g04005","Rpv12","UUE","IEV","Group_VI"
"Vitvi00g04006","Rpv12","UUU","SCh","Group_VI"
"Vitvi00g04011","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04017","Rpv12","DDE","IEV","Group_VI"
"Vitvi00g04018","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04019","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04022","Rpv12","DEE","IEV","Group_VI"
"Vitvi00g04024","Rpv12","EEE","EEE","Group_III"
"Vitvi00g04030","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04032","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04033","Rpv12","UEE","IEV","Group_V"
"Vitvi00g04035","Rpv12","EEE","EEE","Group_III"
"Vitvi00g04037","Rpv12","EEE","EEE","Group_III"
"Vitvi00g04039","Rpv12","DEE","IEV","Group_VI"
"Vitvi00g04040","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04044","Rpv12","UEE","IEV","Group_V"
"Vitvi00g04045","Rpv12","DEE","IEV","Group_VI"
"Vitvi00g04049","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04059","Rpv12","EEU","LR","Group_V"
"Vitvi00g04060","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04069","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04076","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04123","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04146","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04213","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04231","Rpv12","EED","LR","Group_V"
"Vitvi00g04236","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04245","Rpv12","DEE","IEV","Group_V"
"Vitvi00g04249","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04250","Rpv12","EDE","TRS","Group_I"
"Vitvi00g04251","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04252","Rpv12","EED","LR","Group_V"
"Vitvi00g04274","Rpv12","DDD","SCh","Group_I"
"Vitvi00g04275","Rpv12","DDD","SCh","Group_I"
"Vitvi00g04280","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04303","Rpv12","UEE","IEV","Group_V"
"Vitvi00g04304","Rpv12","EED","LR","Group_V"
"Vitvi00g04313","Rpv12","UUU","SCh","Group_VI"
"Vitvi00g04315","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04316","Rpv12","EEE","EEE","Group_VI"
"Vitvi00g04336","Rpv12","EEE","EEE","Group_V"
"Vitvi00g04337","Rpv12","UEE","IEV","Group_VI"
"Vitvi00g04338","Rpv12","EEE","EEE","Group_V"
