"groups","timing","direction","DEGs","total_per_group"
"I","IEV","Down",31,338
"I","TRS","Down",9,338
"I","ER","Down",1,338
"I","LR","Down",58,338
"I","SCh","Down",39,338
"I","CP","Down",11,338
"I","IEV","Up",11,338
"I","TRS","Up",18,338
"I","ER","Up",1,338
"I","LR","Up",42,338
"I","SCh","Up",104,338
"I","CP","Up",13,338
"II","IEV","Down",101,478
"II","TRS","Down",11,478
"II","LR","Down",71,478
"II","SCh","Down",0,478
"II","CP","Down",25,478
"II","IEV","Up",223,478
"II","TRS","Up",7,478
"II","ER","Up",1,478
"II","LR","Up",32,478
"II","SCh","Up",7,478
"III","IEV","Down",26,182
"III","TRS","Down",8,182
"III","ER","Down",3,182
"III","LR","Down",47,182
"III","SCh","Down",10,182
"III","CP","Down",0,182
"III","IEV","Up",6,182
"III","TRS","Up",21,182
"III","ER","Up",6,182
"III","LR","Up",48,182
"III","SCh","Up",5,182
"III","CP","Up",2,182
"IV","IEV","Down",40,268
"IV","TRS","Down",46,268
"IV","ER","Down",1,268
"IV","LR","Down",45,268
"IV","SCh","Down",22,268
"IV","CP","Down",8,268
"IV","IEV","Up",21,268
"IV","TRS","Up",23,268
"IV","ER","Up",0,268
"IV","LR","Up",34,268
"IV","SCh","Up",25,268
"IV","CP","Up",3,268
"Va","IEV","Down",348,1487
"Va","TRS","Down",84,1487
"Va","ER","Down",16,1487
"Va","LR","Down",291,1487
"Va","SCh","Down",2,1487
"Va","CP","Down",97,1487
"Va","IEV","Up",457,1487
"Va","TRS","Up",19,1487
"Va","ER","Up",3,1487
"Va","LR","Up",139,1487
"Va","CP","Up",31,1487
"Vb","IEV","Down",532,1030
"Vb","TRS","Down",51,1030
"Vb","ER","Down",24,1030
"Vb","LR","Down",107,1030
"Vb","SCh","Down",56,1030
"Vb","CP","Down",25,1030
"Vb","IEV","Up",25,1030
"Vb","TRS","Up",39,1030
"Vb","ER","Up",12,1030
"Vb","LR","Up",102,1030
"Vb","SCh","Up",27,1030
"Vb","CP","Up",30,1030
"Vc","IEV","Down",331,1476
"Vc","TRS","Down",252,1476
"Vc","ER","Down",81,1476
"Vc","LR","Down",259,1476
"Vc","SCh","Down",146,1476
"Vc","CP","Down",43,1476
"Vc","IEV","Up",85,1476
"Vc","TRS","Up",105,1476
"Vc","ER","Up",24,1476
"Vc","LR","Up",123,1476
"Vc","SCh","Up",15,1476
"Vc","CP","Up",12,1476
