"record_type","field_name","data_type_or_values","description","method_or_interpretation"
"file","26169genes_with_AthalHomologs_allIDs_exprPatterns_TAIR10ids.csv","tab-delimited text with header; 26,169 data rows and 12 columns","Gene annotation and historical transcriptional-pattern cross-reference table for retained PN40024 v4 grapevine genes.","Despite the .csv extension, fields are separated by TAB characters. Read with sep='\\t' or equivalent."
"column","PN40024_genotype_ENSMBL_ID","character; Vitvi gene identifier","PN40024 v4 Ensembl grapevine gene identifier.","Genes were retained after read-count filtering; the manuscript reports 26,169 retained protein-coding genes."
"column","UniProt","character or blank","UniProt accession mapped to the grapevine gene.","Annotation cross-reference."
"column","GCA_030704535.1_NCBI_ID","character or blank","Matched gene or feature identifier from NCBI assembly GCA_030704535.1 (ASM3070453v1).","Reference cross-mapping field."
"column","Chromosome","character","PN40024 v4 chromosome or scaffold assignment.","Values may include numbered chromosomes or Un for unplaced sequence."
"column","Start","integer","Gene start coordinate on the reported PN40024 v4 chromosome or scaffold.","Genomic coordinate."
"column","End","integer","Gene end coordinate on the reported PN40024 v4 chromosome or scaffold.","Genomic coordinate."
"column","Transcription_pattern","three groups of three-character codes using U, D, E","Historical time-resolved differential-transcription patterns for Rpv12, Rpv12+Rpv1, and Rpv12+Rpv1+Rpv3, in that order.","Within each genotype, positions correspond to 0, 6, and 24 hpi. U = upregulated, D = downregulated, E = equivalent to susceptible. Historical calls used FDR < 0.05 and absolute log2 fold change > 1."
"column","Athaliana_TAIR10_homolog","character or blank","Description of the selected Arabidopsis thaliana TAIR10 homolog, usually including protein accession and name.","Homology relationships were obtained by BLASTP against Arabidopsis proteins; the manuscript reports an e-value cutoff < 1e-6."
"column","homology","numeric percent or blank","Amino-acid sequence identity or homology percentage for the selected Arabidopsis match.","Higher values indicate greater sequence similarity."
"column","TAIR10","character or blank","TAIR10/NCBI protein accession of the selected Arabidopsis homolog.","Protein-level cross-reference."
"column","Athal.common.NAme","character or NA","Common gene symbol or short name for the Arabidopsis homolog.","The unusual capitalization is part of the source header. NA indicates that no common name was assigned."
"column","locus_tag","character or blank","Arabidopsis locus identifier, for example AT3G54720.","TAIR locus-level cross-reference."
"code","U","upregulated","Expression is significantly higher in the resistant genotype than in susceptible at the corresponding time point.","Historical threshold: FDR < 0.05 and log2 fold change > 1."
"code","D","downregulated","Expression is significantly lower in the resistant genotype than in susceptible at the corresponding time point.","Historical threshold: FDR < 0.05 and log2 fold change < -1."
"code","E","equivalent / not called differentially expressed","The gene does not meet both the historical FDR and effect-size thresholds at the corresponding time point.","E is a statistical reference state, not proof of identical expression."
"provenance","gene coordinates and identifiers","STAR/featureCounts and annotation cross-references","Reads were mapped to Vitis vinifera PN40024 v4 with STAR v2.7.4a and counted per gene with featureCounts/Subread v2.0.3.","Gene and protein annotations were assembled from multiple resources."
"provenance","Arabidopsis homology","BLASTP v2.12.0+","Protein sequence comparison was used to select Arabidopsis thaliana homologs and transfer identifiers/names.","Functional similarity should not be inferred solely from sequence identity."
