"record_type","item_name","applies_to","data_type_or_format","contrast_or_allowed_values","row_count","description"
"dataset","*_deseq2_NB_BE_model.csv","all nine result files","CSV; comma-delimited; header row; UTF-8","Resistant genotype minus susceptible genotype at the same time point","","Canonical primary differential-expression results from raw integer read counts using a DESeq2 negative-binomial generalized linear model with design ~ batch + condition. Condition is the 12-level genotype by time-point factor. ComBat, rlog, and VST values were not used for DEG testing. Only genes with padj_zero_null < 0.05 and abs(log2FC_apeglm) > 1 are included."
"file","DGEA_Rpv12_vs_susceptible_0hpi_deseq2_NB_BE_model.csv","this file","CSV","Rpv12 versus susceptible at 0 hours post inoculation","4124","Primary DE genes for the Rpv12 genotype at 0 hpi. Positive log2FC indicates higher expression in Rpv12; negative log2FC indicates lower expression in Rpv12."
"file","DGEA_Rpv12_vs_susceptible_6hpi_deseq2_NB_BE_model.csv","this file","CSV","Rpv12 versus susceptible at 6 hours post inoculation","1503","Primary DE genes for the Rpv12 genotype at 6 hpi. Positive log2FC indicates higher expression in Rpv12; negative log2FC indicates lower expression in Rpv12."
"file","DGEA_Rpv12_vs_susceptible_24hpi_deseq2_NB_BE_model.csv","this file","CSV","Rpv12 versus susceptible at 24 hours post inoculation","2693","Primary DE genes for the Rpv12 genotype at 24 hpi. Positive log2FC indicates higher expression in Rpv12; negative log2FC indicates lower expression in Rpv12."
"file","DGEA_Rpv12_1_vs_susceptible_0hpi_deseq2_NB_BE_model.csv","this file","CSV","Rpv12+Rpv1 versus susceptible at 0 hours post inoculation","3159","Primary DE genes for the Rpv12+Rpv1 genotype at 0 hpi. Underscores replace plus signs in the filename. Positive log2FC indicates higher expression in the resistant genotype."
"file","DGEA_Rpv12_1_vs_susceptible_6hpi_deseq2_NB_BE_model.csv","this file","CSV","Rpv12+Rpv1 versus susceptible at 6 hours post inoculation","1522","Primary DE genes for the Rpv12+Rpv1 genotype at 6 hpi. Underscores replace plus signs in the filename. Positive log2FC indicates higher expression in the resistant genotype."
"file","DGEA_Rpv12_1_vs_susceptible_24hpi_deseq2_NB_BE_model.csv","this file","CSV","Rpv12+Rpv1 versus susceptible at 24 hours post inoculation","2392","Primary DE genes for the Rpv12+Rpv1 genotype at 24 hpi. Underscores replace plus signs in the filename. Positive log2FC indicates higher expression in the resistant genotype."
"file","DGEA_Rpv12_1_3_vs_susceptible_0hpi_deseq2_NB_BE_model.csv","this file","CSV","Rpv12+Rpv1+Rpv3 versus susceptible at 0 hours post inoculation","2957","Primary DE genes for the Rpv12+Rpv1+Rpv3 genotype at 0 hpi. Underscores replace plus signs in the filename. Positive log2FC indicates higher expression in the resistant genotype."
"file","DGEA_Rpv12_1_3_vs_susceptible_6hpi_deseq2_NB_BE_model.csv","this file","CSV","Rpv12+Rpv1+Rpv3 versus susceptible at 6 hours post inoculation","3877","Primary DE genes for the Rpv12+Rpv1+Rpv3 genotype at 6 hpi. Underscores replace plus signs in the filename. Positive log2FC indicates higher expression in the resistant genotype."
"file","DGEA_Rpv12_1_3_vs_susceptible_24hpi_deseq2_NB_BE_model.csv","this file","CSV","Rpv12+Rpv1+Rpv3 versus susceptible at 24 hours post inoculation","3433","Primary DE genes for the Rpv12+Rpv1+Rpv3 genotype at 24 hpi. Underscores replace plus signs in the filename. Positive log2FC indicates higher expression in the resistant genotype."
"column","gene","all nine result files","character","PN40024 v4 grapevine gene identifier","","Unique gene identifier used as the row-level biological entity."
"column","baseMean","all nine result files","numeric; non-negative","DESeq2 normalized-count abundance summary","","Mean DESeq2 size-factor-normalized count for the gene across all 36 samples in the fitted model. This is not expression for the individual contrast alone."
"column","log2FC_MLE","all nine result files","numeric","resistant minus susceptible","","Unshrunken maximum-likelihood log2 fold-change estimate. Positive values indicate higher expression in the resistant genotype; negative values indicate lower expression. Values of +1 and -1 correspond to twofold higher and twofold lower expression, respectively."
"column","log2FC_apeglm","all nine result files","numeric","resistant minus susceptible","","apeglm-shrunken log2 fold-change estimate. This estimate supplies the direction and magnitude used by the canonical effect filter abs(log2FC_apeglm) > 1."
"column","lfcSE_apeglm","all nine result files","numeric; non-negative","apeglm lfcSE output","","Uncertainty reported by DESeq2 for the apeglm-shrunken log2 fold-change estimate."
"column","statistic_zero_null","all nine result files","numeric","Wald statistic for H0: log2FC = 0","","DESeq2 Wald-test statistic for the conventional zero-effect null hypothesis."
"column","pvalue_zero_null","all nine result files","numeric in [0,1] or blank","raw two-sided p-value for H0: log2FC = 0","","Unadjusted DESeq2 Wald-test p-value. Blank fields represent unavailable estimates."
"column","padj_zero_null","all nine result files","numeric in [0,1] or blank","Benjamini-Hochberg FDR for H0: log2FC = 0","","P-value adjusted across tested genes within the individual contrast. The primary definition requires padj_zero_null < 0.05."
"column","pvalue_threshold_test","all nine result files","numeric in [0,1] or blank","raw p-value for H0: abs(log2FC) <= 1 versus H1: abs(log2FC) > 1","","Unadjusted DESeq2 formal effect-size-threshold test p-value. This is a sensitivity analysis rather than the canonical primary call."
"column","padj_threshold_test","all nine result files","numeric in [0,1] or blank","Benjamini-Hochberg FDR for H0: abs(log2FC) <= 1","","Threshold-test p-value adjusted across tested genes within the individual contrast."
"column","FSOS_svalue","all nine result files","numeric in [0,1] or blank","apeglm false-sign-or-small s-value with log2FC threshold 1","","Controls the expected fraction of selected genes having the wrong effect sign or an absolute true effect no greater than 1. Blank fields represent unavailable estimates."
"column","DE_primary_threshold_test","all nine result files","logical","TRUE or FALSE","","TRUE when padj_threshold_test < 0.05. This formal effect-size-test call is retained as a sensitivity definition."
"column","DE_zero_null_plus_effect_filter","all nine result files","logical","TRUE or FALSE","","TRUE when padj_zero_null < 0.05 and abs(log2FC_apeglm) > 1."
"column","DE_primary","all nine result files","logical","TRUE","","Canonical manuscript-facing DEG call, identical to DE_zero_null_plus_effect_filter in this analysis. Every row in these nine filtered export files has DE_primary = TRUE."
"column","leading_signal","all nine result files","logical","TRUE or FALSE","","Stringent emphasis tier: DE_primary_threshold_test is TRUE and FSOS_svalue < 0.01. This is not the primary DEG definition."
"column","genotype","all nine result files","character","Rpv12; Rpv12+1; Rpv12+1+3","","Resistant genotype used as the numerator of the fold-change comparison."
"column","timing","all nine result files","integer","0; 6; 24","","Sampling time in hours post inoculation."
"column","contrast","all nine result files","character","<genotype>|<timing>; for example Rpv12+1+3|6","","Compact identifier joining the resistant genotype and sampling time."
"provenance","export_contrast_DESeq2_NB_BE_files.R","all nine result files","R script","Input: DGEA_reanalysis/DESeq2_all_gene_results.csv","","Script used to filter canonical primary DE genes, sort rows, and write one result file per contrast. Rows are ordered by increasing padj_zero_null, decreasing abs(log2FC_apeglm), and gene identifier."
"provenance","DESeq2_NB_BE_export_sessionInfo.txt","all nine result files","plain text","R and package versions","","Computational environment recorded when the nine contrast files were exported."
"limitation","batch and condition balance","all nine result files","text","several genotype by time-point cells occur in only one sequencing batch","","The additive batch coefficient is estimable from batch-mixed cells, but comparisons involving single-batch cells rely on the assumption of a common additive batch effect."
