"record_type","sheet_or_field","rows","columns","data_type_or_values","description","method_or_interpretation"
"file","original_supplementary_table_4.xlsx","","","Excel workbook; 13 worksheets","Historical Supplementary Table 4 containing gene-level differential-expression statistics, normalized expression matrices, transcriptional-pattern groupings, and functional identifiers for 26,169 retained PN40024 v4 genes.","This workbook reflects the historical analysis described in the supplied manuscript: rlog+ComBat values, two-tailed per-gene tests, Benjamini-Hochberg FDR, and DEG threshold FDR < 0.05 plus absolute log2 fold change > 1. It should not be confused with the later canonical raw-count DESeq2 negative-binomial reanalysis."
"sheet","DEGs","26169","20","one gene per row","Historical differential-expression results for every retained gene across nine resistant-versus-susceptible contrasts.","Columns contain PN40024 v4 gene and UniProt identifiers followed by log2 fold change and FDR pairs for Rpv12, Rpv12+Rpv1, and Rpv12+Rpv1+Rpv3 at 0, 6, and 24 hpi. Fold-change direction is resistant minus susceptible."
"sheet","SizeFactor_Combat_ConditionUnpr","26169","37","gene identifier plus 36 numeric sample columns","DESeq2 size-factor-normalized, log2-transformed, ComBat-corrected abundance matrix with biological condition unprotected during ComBat correction.","Used for amplitude-sensitive analyses such as Aggregated Expression Divergence. Sample names encode genotype, time, and replicate."
"sheet","rlog_Combat_ConditionUnprotecte","26169","37","gene identifier plus 36 numeric sample columns","DESeq2 regularized-log-transformed, ComBat-corrected expression matrix with biological condition unprotected during ComBat correction.","Used historically for differential-expression testing, correlation analysis, clustering, visualization, and transcriptional-pattern assignment."
"sheet","RPV12-specific | Group Va ","681","15","gene-level subset","Genes with a differential-transcription pattern specific to Rpv12; Group Va.","The Rpv12 pattern is non-EEE while the Rpv12+Rpv1 and Rpv12+Rpv1+Rpv3 patterns are EEE."
"sheet","RPV12+1-specific | Group Vb","587","15","gene-level subset","Genes with a differential-transcription pattern specific to Rpv12+Rpv1; Group Vb.","The Rpv12+Rpv1 pattern is non-EEE while the other two resistant-genotype patterns are EEE."
"sheet","RPV12+1+3-specific | Group Vc","1090","15","gene-level subset","Genes with a differential-transcription pattern specific to Rpv12+Rpv1+Rpv3; Group Vc.","The Rpv12+Rpv1+Rpv3 pattern is non-EEE while the other two resistant-genotype patterns are EEE."
"sheet","Group I","97","15","gene-level subset","Genes with related differential-transcription patterns shared by all three resistant genotypes.","Group I is the all-three-genotype sharing group."
"sheet","Group II","141","15","gene-level subset","Genes with a differential-transcription pattern shared by Rpv12 and Rpv12+Rpv1.","The Rpv12+Rpv1+Rpv3 pattern is EEE."
"sheet","Group III","227","15","gene-level subset","Genes with a differential-transcription pattern shared by Rpv12+Rpv1 and Rpv12+Rpv1+Rpv3.","The Rpv12 pattern is EEE."
"sheet","Group IV","324","15","gene-level subset","Genes with a recovered pattern shared by Rpv12 and Rpv12+Rpv1+Rpv3.","The Rpv12+Rpv1 pattern is EEE."
"sheet","Group VI | CPs |  Complex","406","13","gene-level subset","Genes with complex or discordant patterns across genotypes that do not meet Groups I-IV or genotype-specific Group V definitions.","CP denotes Complex Pattern."
"sheet","Up in all","62","12","gene-level subset","Genes classified as upregulated in all three resistant genotypes under the workbook's summary rule.","Three-letter patterns retain time-specific states for each genotype."
"sheet","Down in all","123","12","gene-level subset","Genes classified as downregulated in all three resistant genotypes under the workbook's summary rule.","Three-letter patterns retain time-specific states for each genotype."
"column","ENSMBL.gene.ID / ENSMBL.geneID","","","character; Vitvi gene identifier","PN40024 v4 Ensembl grapevine gene identifier.","The workbook uses both spellings in different sheets."
"column","UniProt.ID","","","character or blank","UniProt protein accession corresponding to the grapevine gene.","Blank means no identifier was assigned."
"column_family","<genotype>.<time>h.log2FCH","","","numeric","Historical log2 fold change for the named resistant genotype versus susceptible at the same time point.","Positive values indicate higher abundance in the resistant genotype; negative values indicate lower abundance."
