"record_type","file","sheet","rows","columns","description","methods_and_interpretation"
"file","original_supplementary_table_4.xlsx","(workbook)","","","Supplementary Table 4 workbook containing DE results, normalized expression matrices, DEG group tables, and annotations.","Historical manuscript analysis: rlog or DESeq2 size-factor normalization followed by ComBat; pairwise DGEA used rlog+ComBat values with two-tailed tests, BH FDR, and |log2FC| > 1. See manuscript Methods and the individual sheet records below."
"sheet","original_supplementary_table_4.xlsx","DEGs","26169","20","All 26,169 tested genes with UniProt identifiers and log2 fold changes and FDRs for nine resistant-versus-susceptible genotype-by-time contrasts.","DEG analysis contrasts Rpv12, Rpv12+1, and Rpv12+1+3 against susceptible at 0, 6, and 24 hpi. Positive log2FCH means higher expression in the resistant genotype."
"sheet","original_supplementary_table_4.xlsx","SizeFactor_Combat_ConditionUnpr","26169","37","Size-factor-normalized, log2-transformed, ComBat-corrected expression values for 36 samples.","Size factors were estimated from raw counts; ComBat was applied without condition protection (unprotected). First column is the gene ID."
"sheet","original_supplementary_table_4.xlsx","rlog_Combat_ConditionUnprotecte","26169","37","Regularized-log transformed, ComBat-corrected expression values for 36 samples.","DESeq2 rlog transformation followed by ComBat without condition protection (unprotected). First column is the gene ID."
"sheet","original_supplementary_table_4.xlsx","RPV12-specific | Group Va","681","15","Genes specific to the Rpv12 genotype (Group Va), with temporal pattern codes, identifiers, homology, and annotations.","Group assignment is based on DEG sharing across the three resistant genotypes; temporal codes summarize regulation at 0, 6, and 24 hpi."
"sheet","original_supplementary_table_4.xlsx","RPV12+1-specific | Group Vb","587","15","Genes specific to the Rpv12+1 genotype (Group Vb), with temporal pattern codes, identifiers, homology, and annotations.","Group assignment is based on DEG sharing across genotypes; temporal codes summarize regulation at 0, 6, and 24 hpi."
"sheet","original_supplementary_table_4.xlsx","RPV12+1+3-specific | Group Vc","1090","15","Genes specific to the Rpv12+1+3 genotype (Group Vc), with temporal pattern codes, identifiers, homology, and annotations.","Group assignment is based on DEG sharing across genotypes; temporal codes summarize regulation at 0, 6, and 24 hpi."
"sheet","original_supplementary_table_4.xlsx","Group I","97","15","Genes shared by all three resistant genotypes.","Rows include genotype-specific temporal pattern codes and sequence/function annotations."
"sheet","original_supplementary_table_4.xlsx","Group II","141","15","Genes shared by Rpv12 and Rpv12+1.","Rows include genotype-specific temporal pattern codes and sequence/function annotations."
"sheet","original_supplementary_table_4.xlsx","Group III","227","15","Genes shared by Rpv12+1 and Rpv12+1+3.","Rows include genotype-specific temporal pattern codes and sequence/function annotations."
"sheet","original_supplementary_table_4.xlsx","Group IV","324","15","Genes shared by Rpv12 and Rpv12+1+3.","Rows include genotype-specific temporal pattern codes and sequence/function annotations."
"sheet","original_supplementary_table_4.xlsx","Group VI | CPs |  Complex","406","13","Genes with complex temporal or cross-genotype patterns that do not fit Groups I–V.","CP denotes complex pattern; pattern codes describe up, down, or unchanged status at each sampled time point."
