	Cult1_0h	Cult1_6h	Cult1_24h	Cult2_0h	Cult2_6h	Cult2_24h	Cult3_0h	Cult3_6h	Cult3_24h
Vitvi00g00444	0	0	-1	0	0	0	0	0	0
Vitvi00g00859	0	0	0	0	0	0	-1	0	0
Vitvi00g01805	0	0	0	0	1	0	0	0	0
Vitvi00g04005	0	1	0	0	0	0	0	1	1
Vitvi00g04006	0	1	1	0	0	0	1	1	0
Vitvi00g04017	0	0	0	0	-1	0	0	-1	0
Vitvi00g04022	0	0	0	0	-1	0	0	-1	0
Vitvi00g04024	0	0	0	0	0	0	0	-1	0
Vitvi00g04030	0	0	0	0	0	0	0	-1	0
Vitvi00g04035	0	0	0	0	0	0	0	-1	0
Vitvi00g04037	0	0	0	0	-1	0	0	-1	0
Vitvi00g04040	0	0	0	0	0	0	0	-1	0
Vitvi00g04236	0	0	0	0	-1	0	0	-1	0
Vitvi00g04250	0	-1	0	0	0	0	0	-1	0
Vitvi00g04274	0	0	-1	0	0	0	0	0	0
Vitvi00g04275	0	-1	-1	0	-1	0	0	-1	0
Vitvi00g04303	0	0	0	0	-1	0	0	0	0
Vitvi00g04304	0	0	0	0	-1	0	0	0	0
Vitvi00g04313	0	1	1	0	1	1	0	0	0
Vitvi00g04315	0	0	0	0	0	0	0	-1	0
Vitvi00g04361	1	0	0	0	0	0	0	0	0
Vitvi00g04411	0	0	0	0	-1	0	0	0	0
Vitvi00g04412	0	0	0	0	0	0	0	-1	0
Vitvi00g04449	0	1	1	0	1	0	0	1	0
Vitvi00g04463	0	0	0	0	1	0	0	1	0
Vitvi00g04498	0	0	-1	-1	0	0	0	0	0
Vitvi00g04499	0	0	-1	-1	0	0	0	0	0
Vitvi00g04500	0	0	-1	-1	-1	0	0	0	0
Vitvi00g04501	0	0	0	-1	-1	0	0	0	0
Vitvi00g04505	0	0	1	0	0	0	0	0	1
Vitvi00g04508	0	0	-1	0	0	0	0	0	-1
Vitvi00g04522	0	-1	0	0	-1	0	0	-1	0
Vitvi00g04563	0	0	0	0	-1	0	0	0	0
Vitvi00g04564	0	0	0	0	0	0	0	-1	0
Vitvi00g04567	0	0	0	0	0	0	0	-1	0
Vitvi00g04581	0	0	1	0	0	0	0	0	0
Vitvi00g04584	0	0	0	0	-1	0	0	-1	0
Vitvi00g04598	0	0	0	1	0	0	0	0	0
Vitvi00g04634	0	0	-1	-1	-1	-1	0	0	0
Vitvi00g04636	0	0	0	0	0	0	0	-1	0
Vitvi00g04688	0	0	0	0	0	0	-1	0	-1
Vitvi00g04696	0	0	0	0	0	0	0	-1	0
Vitvi00g04704	0	1	1	0	1	0	0	1	1
Vitvi00g04706	0	0	0	1	1	0	1	1	0
Vitvi00g04707	0	0	1	0	0	0	0	0	1
Vitvi00g04708	0	0	1	0	0	0	0	0	0
Vitvi00g04728	0	0	-1	-1	-1	0	0	0	0
Vitvi00g04731	0	0	0	0	-1	0	0	0	0
Vitvi00g04735	0	0	0	0	0	0	0	1	0
Vitvi00g04737	0	-1	-1	0	-1	0	-1	-1	0
Vitvi00g04744	0	0	0	0	0	0	0	-1	0
Vitvi00g04747	0	0	0	0	-1	0	0	0	0
Vitvi00g04752	0	0	0	0	1	0	0	0	0
Vitvi00g04763	0	0	0	0	0	0	-1	0	0
Vitvi00g04777	0	0	0	0	0	0	-1	0	0
Vitvi00g04787	0	0	0	0	0	0	0	0	1
Vitvi00g04799	0	0	0	0	0	0	-1	-1	0
Vitvi00g04812	0	0	0	0	0	0	-1	0	0
Vitvi00g04860	0	0	0	0	0	0	0	0	-1
Vitvi00g04869	0	-1	0	0	0	0	0	-1	0
Vitvi00g04881	0	0	1	0	0	0	0	0	0
Vitvi01g00002	0	-1	0	0	0	0	0	0	0
Vitvi01g00012	0	0	0	1	0	0	0	0	0
Vitvi01g00036	0	-1	0	0	-1	0	0	0	0
Vitvi01g00050	0	0	0	0	0	0	-1	0	0
Vitvi01g00052	0	0	0	0	0	0	0	-1	0
Vitvi01g00061	0	0	0	0	0	0	0	-1	0
Vitvi01g00066	0	0	0	0	1	0	0	1	0
Vitvi01g00067	0	-1	0	0	0	0	0	0	1
Vitvi01g00083	0	0	-1	0	0	0	0	-1	-1
