"GeneID","Immunity_Class"
"Vitvi01g04000","Other"
"Vitvi01g04001","Other"
"Vitvi01g04002","Other"
"Vitvi01g04003","Other"
"Vitvi01g04004","Other"
"Vitvi01g04005","Other"
"Vitvi01g00002","Other"
"Vitvi01g00005","Other"
"Vitvi01g01834","Other"
"Vitvi01g00006","Other"
"Vitvi01g01835","Other"
"Vitvi01g01836","Other"
"Vitvi01g00008","Other"
"Vitvi01g00011","Other"
"Vitvi01g00012","Other"
"Vitvi01g01837","Other"
"Vitvi01g00014","Other"
"Vitvi01g01838","Other"
"Vitvi01g00015","Other"
"Vitvi01g00019","Other"
"Vitvi01g00023","Other"
"Vitvi01g00024","Other"
"Vitvi01g00025","Other"
"Vitvi01g00026","Other"
"Vitvi01g00027","Other"
"Vitvi01g04008","Other"
"Vitvi01g00028","Other"
"Vitvi01g00029","Other"
"Vitvi01g00031","Other"
"Vitvi01g00033","Other"
"Vitvi01g00034","Other"
"Vitvi01g00035","Other"
"Vitvi01g00036","Other"
"Vitvi01g00037","Other"
"Vitvi01g00038","Other"
"Vitvi01g01840","Other"
"Vitvi01g00039","Other"
"Vitvi01g00041","Other"
"Vitvi01g04009","Other"
"Vitvi01g00042","Other"
"Vitvi01g00043","Other"
"Vitvi01g00045","Other"
"Vitvi01g00046","Other"
"Vitvi01g00047","Other"
"Vitvi01g00048","Other"
"Vitvi01g00049","Other"
"Vitvi01g00050","Other"
"Vitvi01g00051","Other"
"Vitvi01g01841","Other"
"Vitvi01g00052","Other"
"Vitvi01g00053","Other"
"Vitvi01g00054","Other"
"Vitvi01g00055","Other"
"Vitvi01g01842","Other"
"Vitvi01g00056","Other"
"Vitvi01g00058","Other"
"Vitvi01g01843","Other"
"Vitvi01g00059","Other"
"Vitvi01g00060","Other"
"Vitvi01g00061","Other"
"Vitvi01g00062","Other"
"Vitvi01g00063","Other"
"Vitvi01g01844","Other"
"Vitvi01g00064","Other"
"Vitvi01g00065","Other"
"Vitvi01g00066","Other"
"Vitvi01g00067","Other"
"Vitvi01g04012","Other"
"Vitvi01g04013","Other"
"Vitvi01g00070","Other"
"Vitvi01g04014","Other"
"Vitvi01g00071","Other"
"Vitvi01g00073","Other"
"Vitvi01g01845","Other"
"Vitvi01g01846","Other"
"Vitvi01g00074","Other"
"Vitvi01g00075","Other"
"Vitvi01g00076","Other"
"Vitvi01g00077","Other"
"Vitvi01g00078","Other"
"Vitvi01g00079","Other"
"Vitvi01g00080","Other"
"Vitvi01g01847","Other"
"Vitvi01g00081","Other"
"Vitvi01g00082","Other"
"Vitvi01g01848","ETI_specific"
"Vitvi01g01849","ETI_specific"
"Vitvi01g04015","Other"
"Vitvi01g01850","ETI_specific"
"Vitvi01g04016","Other"
"Vitvi01g04017","ETI_specific"
"Vitvi01g01852","ETI_specific"
"Vitvi01g01853","ETI_specific"
"Vitvi01g04018","ETI_specific"
"Vitvi01g00083","ETI_specific"
"Vitvi01g04022","Other"
"Vitvi01g01854","ETI_specific"
"Vitvi01g01855","Other"
"Vitvi01g00085","Other"
"Vitvi01g01856","Other"
"Vitvi01g00086","Other"
"Vitvi01g01857","Other"
"Vitvi01g01858","Other"
"Vitvi01g00087","Other"
"Vitvi01g00088","Other"
"Vitvi01g00089","Other"
"Vitvi01g01859","Other"
"Vitvi01g00090","Other"
"Vitvi01g00091","Other"
"Vitvi01g00092","Other"
"Vitvi01g00095","Other"
"Vitvi01g00097","Other"
"Vitvi01g00098","Other"
"Vitvi01g04023","Other"
"Vitvi01g04024","Other"
"Vitvi01g00099","Other"
"Vitvi01g04025","Other"
"Vitvi01g00101","Other"
"Vitvi01g00102","Other"
"Vitvi01g00103","Other"
"Vitvi01g00104","Other"
"Vitvi01g00105","Other"
"Vitvi01g01862","Other"
"Vitvi01g00106","Other"
"Vitvi01g04028","Other"
"Vitvi01g01865","Other"
"Vitvi01g00108","Other"
"Vitvi01g01866","Other"
"Vitvi01g00110","Other"
"Vitvi01g00111","Other"
"Vitvi01g00112","Other"
"Vitvi01g00113","Other"
"Vitvi01g00114","Other"
"Vitvi01g04029","Other"
"Vitvi01g04030","Other"
"Vitvi01g00115","Other"
"Vitvi01g00116","Other"
"Vitvi01g00119","Other"
"Vitvi01g04031","Other"
"Vitvi01g00120","Other"
"Vitvi01g00121","Other"
"Vitvi01g00122","Other"
"Vitvi01g00124","Other"
"Vitvi01g00128","Other"
"Vitvi01g01871","Other"
"Vitvi01g04032","Other"
"Vitvi01g01873","Other"
"Vitvi01g00129","Other"
"Vitvi01g00130","Other"
"Vitvi01g00131","Other"
"Vitvi01g00132","Other"
"Vitvi01g00133","Other"
"Vitvi01g00134","Other"
"Vitvi01g00135","Other"
"Vitvi01g01874","Other"
"Vitvi01g00136","Other"
"Vitvi01g01875","Other"
"Vitvi01g00137","Other"
"Vitvi01g00138","Other"
"Vitvi01g00139","Other"
"Vitvi01g01876","Other"
"Vitvi01g01877","Other"
"Vitvi01g01878","Other"
"Vitvi01g01880","Other"
"Vitvi01g04033","Other"
"Vitvi01g01881","Other"
"Vitvi01g00140","Other"
"Vitvi01g04034","Other"
"Vitvi01g00142","Other"
"Vitvi01g00143","Other"
"Vitvi01g00145","Other"
"Vitvi01g04036","Other"
"Vitvi01g04037","Other"
"Vitvi01g00146","Other"
"Vitvi01g00147","Other"
"Vitvi01g00148","Other"
"Vitvi01g00149","Other"
"Vitvi01g00150","Other"
"Vitvi01g01887","Other"
"Vitvi01g00151","Other"
"Vitvi01g00152","Other"
"Vitvi01g04038","Other"
"Vitvi01g00155","Other"
"Vitvi01g00156","Other"
"Vitvi01g01888","Other"
"Vitvi01g01889","Other"
"Vitvi01g00157","Other"
