"gene","genotype","time","mean_log2norm","var_log2norm","sd_log2norm"
"WRKY48","Rpv12",0,8.85326433236503,0.115206471169748,0.339420787769029
"WRKY48","Rpv12",6,9.21961795864331,0.0511005048328199,0.226054207730845
"WRKY48","Rpv12",24,6.82780546046707,0.0547937177338718,0.234080579574368
"WRKY48","Rpv12+1",0,9.62826547608856,0.270009338507395,0.519624228175895
"WRKY48","Rpv12+1",6,10.479081393227,0.170335563828799,0.41271729286377
"WRKY48","Rpv12+1",24,9.99310265293485,2.42016205139786,1.55568700303045
"WRKY48","Rpv12+1+3",0,10.7652638105777,0.18573316609715,0.430967708879853
"WRKY48","Rpv12+1+3",6,10.3398673235101,0.571556012609707,0.756013235737118
"WRKY48","Rpv12+1+3",24,9.57117767121799,0.318103599418678,0.564006737033059
"WRKY48","Susceptible",0,8.33257010861358,0.461497947908236,0.679336402607895
"WRKY48","Susceptible",6,7.52418009414148,0.130188146287535,0.36081594516808
"WRKY48","Susceptible",24,9.13210947577949,0.840117141282018,0.916579042571899
"bZIP53","Rpv12",0,8.71320393850266,0.117958455145882,0.343450804549767
"bZIP53","Rpv12",6,10.6519732183546,1.63358235144325,1.27811672058668
"bZIP53","Rpv12",24,9.38556828007071,0.0058985540852436,0.0768020447985833
"bZIP53","Rpv12+1",0,11.3517979665093,0.0745621148234115,0.273060643124218
"bZIP53","Rpv12+1",6,11.4897502499874,0.353456364544458,0.594521963046327
"bZIP53","Rpv12+1",24,11.127884621035,1.94970603280044,1.39631874326761
"bZIP53","Rpv12+1+3",0,12.4105608386123,0.0186028175731874,0.136392146303177
"bZIP53","Rpv12+1+3",6,12.2256465852717,0.163145976093055,0.40391332745164
"bZIP53","Rpv12+1+3",24,11.3939938598301,0.490491657419816,0.700351095822528
"bZIP53","Susceptible",0,9.69634431172747,0.392799414118197,0.626737117233531
"bZIP53","Susceptible",6,9.44409846595016,0.00226602121288951,0.0476027437537955
"bZIP53","Susceptible",24,9.49691862206701,2.5132901581357,1.58533597642131
"defensin","Rpv12",0,10.1480520900246,0.025507118018751,0.159709480052848
"defensin","Rpv12",6,10.7567181929714,0.132925139999603,0.364589001479204
"defensin","Rpv12",24,9.72854918025409,0.00246278197731572,0.0496264241842561
"defensin","Rpv12+1",0,10.6906433565677,0.0382694526378364,0.195625797475273
"defensin","Rpv12+1",6,10.2457740491673,0.0619495844342061,0.248896734478792
"defensin","Rpv12+1",24,10.3624421648321,0.314407184410357,0.560720237204221
"defensin","Rpv12+1+3",0,12.0343704780667,0.0219049556887826,0.148003228643103
"defensin","Rpv12+1+3",6,11.5365913929556,0.72539499680991,0.851701236825396
"defensin","Rpv12+1+3",24,12.2079545179284,0.0777507217857838,0.27883816414864
"defensin","Susceptible",0,10.4282130847646,0.0322562678017547,0.179600300115993
"defensin","Susceptible",6,10.5231139146612,0.00470841344916873,0.0686178799524492
"defensin","Susceptible",24,11.1644011064385,0.228485886749351,0.478001973583113
