geneID	Rpv12.0.A	Rpv12.6.A	Rpv12.24.A	Rpv12.1.0.A	Rpv12.1.6.A	Rpv12.1.24.A	Rpv12.1.3.0.A	Rpv12.1.3.6.A	Rpv12.1.3.24.A	Susceptible.0.A	Susceptible.6.A	Susceptible.24.A	Rpv12.0.B	Rpv12.6.B	Rpv12.24.B	Rpv12.1.0.B	Rpv12.1.6.B	Rpv12.1.24.B	Rpv12.1.3.0.B	Rpv12.1.3.6.B	Rpv12.1.3.24.B	Susceptible.0.B	Susceptible.6.B	Susceptible.24.B	Rpv12.0.C	Rpv12.6.C	Rpv12.24.C	Rpv12.1.0.C	Rpv12.1.6.C	Rpv12.1.24.C	Rpv12.1.3.0.C	Rpv12.1.3.6.C	Rpv12.1.3.24.C	Susceptible.0.C	Susceptible.6.C	Susceptible.24.C
Vitvi01g04000	0	2	0	0	0	0	6	2	6	0	2	0	4	0	0	0	0	0	16	2	11	0	0	3	0	4	0	0	0	0	0	8	2	8	0	0
Vitvi01g04001	8	28	24	8	20	10	30	16	34	12	14	38	12	26	24	10	14	2	52	38	30	18	18	22	14	4	22	2	10	16	28	70	34	16	10	14
Vitvi01g04002	72	144	108	144	164	178	164	149	182	23	39	41	86	242	181	107	112	131	131	124	178	41	23	28	160	85	111	114	129	148	123	257	104	28	54	30
Vitvi01g04003	2	1	1	6	2	2	0	3	0	1	0	0	2	2	2	0	1	0	0	0	8	0	0	0	6	2	0	1	4	0	2	0	0	9	0	0
Vitvi01g04004	0	2	3	2	10	0	0	6	12	1	0	0	4	1	4	0	0	3	0	10	4	0	0	0	0	1	2	2	0	0	10	7	2	0	0	2
Vitvi01g04005	82	132	123	136	115	158	119	92	159	34	41	46	139	187	155	74	83	84	97	82	142	30	55	67	95	64	103	84	121	105	66	265	53	48	58	27
Vitvi01g00002	228	262	888	722	211	1208	30	42	304	412	455	217	218	214	1143	504	104	64	40	41	225	58	535	513	58	332	689	401	174	152	34	68	43	436	567	264
Vitvi01g01833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00005	980	1263	1159	1710	1131	1392	1410	1403	1578	1174	1032	1200	1293	1664	1928	1417	1534	1790	1857	1459	1443	1031	1281	1249	1366	1239	1142	1390	1500	1504	1507	2117	1312	1168	1225	1382
Vitvi01g01834	821	141	481	500	190	479	163	184	461	210	396	181	137	437	395	249	430	125	108	349	268	151	552	293	273	182	282	251	234	142	92	404	297	180	684	214
Vitvi01g04006	0	0	0	2	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00006	1792	2237	1630	2443	2676	1901	3077	3214	2735	2064	1953	2188	2368	3600	2962	2052	3034	3438	4193	2733	2390	2049	2366	2227	3036	2042	1663	2332	2433	2721	3461	4754	3009	2252	2144	2665
Vitvi01g01835	82	22	101	70	20	130	0	2	50	75	109	26	26	52	158	6	6	6	0	0	39	6	158	173	12	34	64	16	54	12	2	0	0	73	220	8
Vitvi01g01836	0	2	0	6	0	22	0	0	4	2	3	6	4	6	0	2	2	2	0	0	4	6	5	4	0	1	0	4	6	0	0	2	0	5	4	4
Vitvi01g04007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vitvi01g00008	0	0	7	5	0	4	2	0	0	7	4	0	0	2	2	2	0	1	0	0	3	10	3	8	0	0	5	6	4	0	0	4	2	6	6	2
