geneID,Spearman,Pvals,Padj_Bonf,FDR
Vitvi00g00859,-0.440199,0.007216,1,0.02016
Vitvi00g01805,-0.101584,0.555509,1,0.572924
Vitvi00g04005,0.663836,0.00001,0.032762,0.000228
Vitvi00g04006,-0.675004,0.000006,0.020364,0.000159
Vitvi00g04017,0.509422,0.001507,1,0.007946
Vitvi00g04022,-0.502247,0.0018,1,0.009098
Vitvi00g04024,-0.343452,0.040282,1,0.055006
Vitvi00g04030,0.430525,0.008766,1,0.022405
Vitvi00g04035,0.314428,0.061808,1,0.077961
Vitvi00g04037,0.495072,0.002142,1,0.010418
Vitvi00g04040,-0.391826,0.01811,1,0.030876
Vitvi00g04236,-0.394623,0.017231,1,0.030876
Vitvi00g04250,-0.545297,0.000583,1,0.003754
Vitvi00g04274,0.275729,0.103584,1,0.123779
Vitvi00g04275,-0.584247,0.000183,0.590352,0.001596
Vitvi00g04303,0.208006,0.223467,1,0.252437
Vitvi00g04304,-0.42085,0.010591,1,0.023927
Vitvi00g04313,0.720383,0.000001,0.002347,0.000036
Vitvi00g04315,-0.391826,0.01811,1,0.030876
Vitvi00g04361,-0.478898,0.003128,1,0.012181
Vitvi00g04411,-0.23703,0.163947,1,0.189721
Vitvi00g04412,-0.42085,0.010591,1,0.023927
Vitvi00g04449,-0.41975,0.010817,1,0.024388
Vitvi00g04463,-0.114799,0.504966,1,0.525334
Vitvi00g04498,-0.545297,0.000583,1,0.003754
Vitvi00g04499,-0.602697,0.0001,0.323382,0.000987
Vitvi00g04500,-0.676187,0.000006,0.019341,0.000155
Vitvi00g04501,0.437673,0.007596,1,0.020932
Vitvi00g04505,0.0574,0.739498,1,0.748083
Vitvi00g04508,0.0574,0.739498,1,0.748083
Vitvi00g04522,-0.546507,0.000564,1,0.003754
Vitvi00g04563,-0.362802,0.029653,1,0.043714
Vitvi00g04564,-0.42085,0.010591,1,0.023927
Vitvi00g04567,-0.449874,0.005907,1,0.018155
Vitvi00g04584,-0.502247,0.0018,1,0.009098
Vitvi00g04598,-0.42085,0.010591,1,0.023927
Vitvi00g04634,0.816812,0,0.000004,0
Vitvi00g04636,0.362802,0.029653,1,0.043714
Vitvi00g04688,-0.365923,0.028178,1,0.04265
Vitvi00g04696,-0.411175,0.012729,1,0.0256
Vitvi00g04704,-0.539664,0.000682,1,0.00426
Vitvi00g04706,-0.198531,0.245746,1,0.275832
Vitvi00g04707,0.408973,0.013263,1,0.026428
Vitvi00g04728,0.663836,0.00001,0.032762,0.000228
Vitvi00g04731,-0.130609,0.447699,1,0.471539
Vitvi00g04737,-0.610173,0.000078,0.25069,0.00085
Vitvi00g04744,-0.411175,0.012729,1,0.0256
Vitvi00g04747,-0.440199,0.007216,1,0.02016
Vitvi00g04752,0.246705,0.146913,1,0.171301
Vitvi00g04763,-0.401501,0.01522,1,0.027645
Vitvi00g04777,-0.25638,0.13121,1,0.154219
Vitvi00g04799,-0.645746,0.000021,0.067968,0.000384
Vitvi00g04812,-0.42085,0.010591,1,0.023927
Vitvi00g04860,-0.285404,0.091548,1,0.110709
Vitvi00g04869,-0.394623,0.017231,1,0.030876
Vitvi01g00002,-0.07256,0.674082,1,0.685997
Vitvi01g00012,-0.478898,0.003128,1,0.012181
Vitvi01g00036,-0.351573,0.035497,1,0.050084
Vitvi01g00050,-0.343452,0.040282,1,0.055006
Vitvi01g00052,-0.401501,0.01522,1,0.027645
Vitvi01g00061,-0.401501,0.01522,1,0.027645
Vitvi01g00066,0.573997,0.000252,0.812208,0.001967
Vitvi01g00083,0.416828,0.011439,1,0.0256
Vitvi01g00088,-0.583559,0.000187,0.603347,0.001605
Vitvi01g00095,-0.416148,0.011588,1,0.0256
Vitvi01g00104,-0.411175,0.012729,1,0.0256
Vitvi01g00145,-0.337223,0.044296,1,0.059729
Vitvi01g00148,-0.130609,0.447699,1,0.471539
Vitvi01g00160,-0.42085,0.010591,1,0.023927
Vitvi01g00188,-0.440199,0.007216,1,0.02016
Vitvi01g00193,0.42085,0.010591,1,0.023927
Vitvi01g00203,-0.25638,0.13121,1,0.154219
Vitvi01g00217,0.372476,0.025275,1,0.038858
