geneID,spearman_rho,pvalue,padj,fdr,module_size,TAIR10,Athal.common.NAme,locus_tag,homology
Vitvi12g04510,0.935775440838066,5.85588726916593e-17,2.48992326684935e-13,2.48992326684935e-13,8,,,,
Vitvi05g00028,0.928348651625065,3.55100336994631e-16,1.5098866329011699e-12,7.54943316450585e-13,18,NP_199723.1,,AT5G49120,40.123
Vitvi12g02465,-0.918913240954523,2.7016313234621703e-15,1.1487336387361198e-11,3.8291121291203894e-12,15,NP_849355.1,,AT4G10265,64.773
Vitvi15g00537,-0.915131704983516,5.691959405780461e-15,2.4202211393378498e-11,5.79921599808314e-12,340,NP_182002.1,CYCP4;1,AT2G44740,70.854
Vitvi05g04527,0.913871192993181,7.24120523420644e-15,3.0789604655845796e-11,5.79921599808314e-12,9,NP_001324176.1,RCY1,AT2G26430,65.574
Vitvi08g01572,0.913223320977314,8.183277513757961e-15,3.4795295988498794e-11,5.79921599808314e-12,29,NP_173625.1,,AT1G22060,30.746
Vitvi12g04511,0.91101947679473,1.23186105178233e-14,5.237873192178469e-11,7.48267598882639e-12,10,,,,
Vitvi03g00315,-0.903787097070498,4.3929236460382904e-14,1.86787113429548e-10,2.0754123714394298e-11,346,NP_195179.2,CIB1,AT4G34530,44.868
Vitvi14g01576,-0.903787097070498,4.3929236460382904e-14,1.86787113429548e-10,2.0754123714394298e-11,744,NP_196925.2,,AT5G14210,62.194
Vitvi10g00359,-0.900005561099491,8.211021228711271e-14,3.49132622644803e-10,3.4913262264480294e-11,600,NP_564774.1,,AT1G61350,59.93
Vitvi19g04532,0.898002932294359,1.13217994414113e-13,4.81402912248809e-10,4.37639011135281e-11,20,,,,
Vitvi17g00228,-0.896224025128485,1.49779128509718e-13,6.36860854423323e-10,4.7570288070238e-11,770,NP_566596.1,,AT3G18050,58.861
Vitvi05g01769,-0.895936773831001,1.56628417917055e-13,6.65984032983319e-10,4.7570288070238e-11,14,NP_194153.1,VEP1,AT4G24220,45.822
Vitvi01g01701,0.895936773831001,1.56628417917058e-13,6.65984032983331e-10,4.7570288070238e-11,8,NP_680418.1,HSD1,AT5G50700,54.167
Vitvi01g04052,0.893351097716049,2.32900429814086e-13,9.90292627569496e-10,6.164285582937249e-11,14,,,,
Vitvi13g01638,0.893351097716049,2.32900429814086e-13,9.90292627569496e-10,6.164285582937249e-11,28,NP_188065.1,,AT3G14470,37.378
Vitvi19g00270,0.892976923999462,2.46455444284885e-13,1.04792854909933e-09,6.164285582937249e-11,164,NP_567773.1,RD26,AT4G27410,61.471
Vitvi07g01612,-0.892442489157479,2.67099144709296e-13,1.1357055633039201e-09,6.309475351688469e-11,658,NP_190564.1,,AT3G49950,61.848
Vitvi18g00473,-0.891196367620255,3.21677187060222e-13,1.3677713993800601e-09,7.198796838842439e-11,8,NP_196153.1,PRX52,AT5G05340,59.259
Vitvi05g02201,-0.888660953186472,4.66378786078871e-13,1.9830425984073603e-09,8.265071912252269e-11,232,NP_199367.1,,AT5G45540,28.835
Vitvi14g01404,-0.888660953186472,4.66378786078871e-13,1.9830425984073603e-09,8.265071912252269e-11,640,NP_172837.1,,AT1G13820,67.869
Vitvi13g04677,0.888179745486144,4.99939313992799e-13,2.12574196309738e-09,8.265071912252269e-11,13,,,,
Vitvi05g00787,0.888179745486144,4.99939313992799e-13,2.12574196309738e-09,8.265071912252269e-11,4,NP_001031637.1,,AT4G14305,80.0
Vitvi11g00286,-0.886164852207616,6.66505841513954e-13,2.8339828381173303e-09,8.265071912252269e-11,27,NP_001324373.1,,AT2G44970,63.068
Vitvi02g00032,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,301,NP_191710.1,ACS1,AT3G61510,63.636
Vitvi06g00575,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,804,NP_187740.2,,AT3G11320,83.224
Vitvi12g00440,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,887,NP_178637.2,,AT2G05790,76.6
Vitvi07g00515,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,437,NP_172425.2,MYB61,AT1G09540,44.42
Vitvi06g01930,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,728,NP_191681.1,SDR1,AT3G61220,53.465
Vitvi11g00480,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,938,NP_567893.1,,AT4G32330,41.584
Vitvi14g01744,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,917,NP_196968.2,SK13,AT5G14640,88.862
Vitvi07g02789,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,736,NP_189139.1,,AT3G25030,34.639
Vitvi02g00118,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,917,NP_194113.1,,AT4G23820,74.664
Vitvi12g00572,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,731,NP_188849.3,,AT3G22104,50.0
Vitvi03g00537,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,616,NP_188563.1,,AT3G19320,57.808
Vitvi09g01317,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,1005,NP_566677.1,MSR1,AT3G21190,60.047
Vitvi18g00043,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,727,NP_177775.2,HMG1,AT1G76490,75.208
Vitvi06g00947,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,1005,NP_190006.2,NEK6,AT3G44200,53.644
Vitvi19g00735,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,835,NP_001032080.1,,AT5G56040,69.581
Vitvi01g00002,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,558,NP_974107.1,ACR4,AT1G69040,78.218
Vitvi09g00018,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,813,NP_175787.1,PME1,AT1G53840,61.301
Vitvi18g01022,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,866,NP_568001.1,BGAL3,AT4G36360,71.598
Vitvi13g00614,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,857,NP_195015.1,GATA9,AT4G32890,35.952
Vitvi06g00459,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,850,NP_190239.1,SOS5,AT3G46550,59.302
Vitvi01g00258,-0.884224678378342,8.74713631353133e-13,3.7192823605135205e-09,8.265071912252269e-11,849,NP_173922.1,,AT1G25510,66.091
Vitvi13g04336,-0.883787916347062,9.29296131487359e-13,3.951367151084251e-09,8.589928589313589e-11,9,NP_192999.1,ORC1B,AT4G12620,77.966
Vitvi08g02218,0.882962717545617,1.04120702365394e-12,4.427212264576551e-09,9.41960056292883e-11,19,NP_174690.1,,AT1G34300,34.411
Vitvi02g00429,0.880423358994784,1.46965129533437e-12,6.248957307761721e-09,1.1049281391007201e-10,102,NP_567673.1,NYE1,AT4G22920,65.314
Vitvi10g04285,-0.87985813675672,1.58515090510686e-12,6.74006164851438e-09,1.1049281391007201e-10,438,NP_001321052.1,,AT1G61050,59.355
Vitvi18g00881,-0.87985813675672,1.58515090510686e-12,6.74006164851438e-09,1.1049281391007201e-10,874,NP_187982.1,,AT3G13690,49.553
Vitvi18g01253,-0.87985813675672,1.58515090510686e-12,6.74006164851438e-09,1.1049281391007201e-10,720,NP_199705.2,,AT5G48940,53.035
Vitvi18g00697,-0.87985813675672,1.58515090510686e-12,6.74006164851438e-09,1.1049281391007201e-10,816,NP_195453.1,CYP81D8,AT4G37370,50.699
Vitvi17g00722,-0.87985813675672,1.58515090510686e-12,6.74006164851438e-09,1.1049281391007201e-10,551,NP_564273.1,,AT1G27210,49.372
Vitvi07g00400,-0.87985813675672,1.58515090510686e-12,6.74006164851438e-09,1.1049281391007201e-10,833,NP_192119.2,,AT4G02100,67.023
Vitvi18g00022,-0.87985813675672,1.58515090510686e-12,6.74006164851438e-09,1.1049281391007201e-10,796,NP_565768.1,GALS1,AT2G33570,68.862
Vitvi05g01366,-0.87985813675672,1.58515090510686e-12,6.74006164851438e-09,1.1049281391007201e-10,998,NP_188317.3,CTL2,AT3G16920,78.947
Vitvi07g04480,-0.87985813675672,1.58515090510686e-12,6.74006164851438e-09,1.1049281391007201e-10,400,NP_176737.2,HEXO3,AT1G65590,76.963
Vitvi03g00251,-0.87985813675672,1.58515090510686e-12,6.74006164851438e-09,1.1049281391007201e-10,828,NP_567982.1,,AT4G35320,53.409
Vitvi14g00114,-0.87985813675672,1.58515090510686e-12,6.74006164851438e-09,1.1049281391007201e-10,845,NP_001190407.1,TRM8,AT5G26910,36.888
Vitvi02g01236,-0.87985813675672,1.58515090510686e-12,6.74006164851438e-09,1.1049281391007201e-10,838,NP_174446.2,ROPGEF14,AT1G31650,63.276
Vitvi07g01732,-0.87985813675672,1.58515090510686e-12,6.74006164851438e-09,1.1049281391007201e-10,819,NP_192172.1,,AT4G02630,68.699
Vitvi05g00961,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,529,NP_171964.1,,AT1G04700,73.107
Vitvi03g00227,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,609,NP_199049.2,PUB15,AT5G42340,59.385
Vitvi14g01381,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,525,,,,
Vitvi08g04218,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,183,NP_195862.1,,AT5G02420,47.692
Vitvi07g00586,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,238,NP_565298.2,,AT2G03200,58.916
Vitvi12g02142,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,781,NP_565285.1,STI,AT2G02480,54.916
Vitvi01g01404,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,651,NP_188619.2,,AT3G19850,51.839
Vitvi12g00721,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,870,NP_193009.1,FLA2,AT4G12730,60.763
Vitvi11g00838,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,228,NP_974640.1,,AT4G30410,48.913
Vitvi08g01276,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,600,NP_190963.1,,AT3G53950,72.932
Vitvi06g04015,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,624,NP_200465.1,AGP14,AT5G56540,56.667
Vitvi07g01267,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,130,NP_179949.2,,AT2G23690,73.438
Vitvi02g00017,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,727,NP_567683.1,,AT4G23490,68.539
Vitvi04g00289,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,156,NP_195015.1,GATA9,AT4G32890,50.621
Vitvi04g00182,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,431,NP_974131.1,,AT1G72510,53.788
Vitvi15g00943,-0.875491595135099,2.808569499545e-12,1.19420375120653e-08,1.55091396260589e-10,794,NP_192822.1,KLCR1,AT4G10840,69.168
Vitvi09g01650,0.874344762938948,3.2523062961680597e-12,1.38288063713066e-08,1.72860079641333e-10,40,NP_172692.1,SUMM2,AT1G12280,43.159
Vitvi01g01282,-0.874344762938948,3.2523062961680597e-12,1.38288063713066e-08,1.72860079641333e-10,11,NP_565300.1,,AT2G03350,77.143
