,PearsonCorr,Pvals,Padj,FDR,UniProt,Athal_locus,Athal_common_name,PantherDB.org
Vitvi08g01846,-0.762913362514686,6.33270577135278e-08,0.000204166434068414,5.83332668766896e-06,D7TI34,NP_196307.1,CYP93D1,Cytochrome P450
Vitvi10g04044,-0.760088730172259,7.5624164511901e-08,0.000243812306386369,6.09530765965922e-06,F6H7N8,NP_192386.1,ABCI8,
Vitvi12g04595,-0.760088730172259,7.5624164511901e-08,0.000243812306386369,6.09530765965922e-06,D7TGN6,NP_194449.1,NA,
Vitvi13g01468,0.760088730172259,7.5624164511901e-08,0.000243812306386369,6.09530765965922e-06,F6HVE1,NP_188065.1,NA,
Vitvi13g04528,0.760088730172259,7.5624164511901e-08,0.000243812306386369,6.09530765965922e-06,F6HVE1,NP_188065.1,NA,
Vitvi13g04529,0.760088730172259,7.5624164511901e-08,0.000243812306386369,6.09530765965922e-06,NA,NA,NA,
Vitvi01g00612,0.757793138605192,8.72029469688381e-08,0.000281142301027534,6.85712929335449e-06,F6GVP1,NP_173862.1,CYP86C1,Cytochrome P450
Vitvi02g00429,0.756440696421423,9.47690051917933e-08,0.000305535272738342,7.2746493509129e-06,F6HUJ1,NP_567673.1,NYE1,
Vitvi13g04677,-0.75441642621575,1.07231136608592e-07,0.000345713184426099,8.03984149828138e-06,NA,NA,NA,
Vitvi11g00285,-0.751595852101597,1.27126181928121e-07,0.000409854810536262,9.31488205764231e-06,F6HGL9,NP_196720.1,TINY2,Dehydration-responsive element-binding protein 3 DREB3
Vitvi10g04504,0.750289519408583,1.37448227308174e-07,0.000443133084841552,9.42836350726719e-06,F6HLZ1,NP_173546.1,WAK5,
Vitvi17g00339,0.750289519408583,1.37448227308174e-07,0.000443133084841552,9.42836350726719e-06,F6GTJ5,NP_680106.1,CYP71A26,Cytochrome P450
Vitvi17g00704,-0.750289519408583,1.37448227308175e-07,0.000443133084841558,9.42836350726719e-06,F6GSZ4,NP_001332173.1,NA,
Vitvi02g00446,0.748744122259241,1.50654856102604e-07,0.000485711256074797,1.01189845015583e-05,F6HT36,NP_182079.1,CYP76C4,Cytochrome P450
Vitvi05g04232,-0.741181050317228,2.33856126291111e-07,0.000753952151162543,1.53867785951539e-05,F6HWQ6,NP_192429.1,CRK25,
Vitvi02g00032,-0.740378003562767,2.44817524107697e-07,0.000789291697723216,1.55069721787399e-05,D7TV63,NP_191710.1,ACS1,"Cysteine synthase, mitochondrial"
Vitvi01g00463,0.740343236686949,2.45302599601654e-07,0.000790855581115734,1.55069721787399e-05,D7T8N4,NP_172940.1,PCR2,
Vitvi10g04085,-0.737939074644656,2.81075640112032e-07,0.00090618786372119,1.64761429767489e-05,NA,NA,NA,
Vitvi13g00551,-0.737939074644656,2.81075640112032e-07,0.00090618786372119,1.64761429767489e-05,F6HNJ4,NP_172268.1,LBD1,LOB domain-containing protein 1
Vitvi14g01926,-0.737939074644656,2.81075640112032e-07,0.00090618786372119,1.64761429767489e-05,D7SX91,NP_974372.1,PRE5,Transcription factor PRE5
Vitvi18g00462,-0.737939074644656,2.81075640112032e-07,0.00090618786372119,1.64761429767489e-05,F6H0Y5,NP_177367.1,NA,
Vitvi07g03086,-0.732662225581432,3.77039214575745e-07,0.0012155744277922,2.1706686210575e-05,D7TZ21,NP_001330474.1,ACR1,
