qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,frames,length,qcovs,gaps,mismatch,score,evalue,TS_DW vs.TS_Mock-36 log2FoldChange,logFC,Group,description.x
VIT_16s0050g01950,VITMroTrayshed_v2.0.hap1.chr16.ver2.0.g204350,271,1004,57,249,113,363,1/1,253,94,62,97,277,4.67E-27,1.0569,1.039,steelblue,LRR receptor-like kinase family
VIT_09s0002g05490,Vitvi09g04150,1280,1364,705,1275,103,714,1/1,631,95,79,413,302,2.69E-27,3.6691,1.954,darkgreen,XP_010654721.1 pleiotropic drug resistance protein 1
VIT_14s0081g00020,Vitvi14g00487,153,144,2,66,73,135,1/1,65,42,2,13,250,8.09E-28,4.3702,-1.265,lightyellow,XP_002264720.1 pathogenesis-related protein PR-4
VIT_09s0002g05530,Vitvi09g00462,1460,1629,986,1054,1,69,1/1,69,100,0,2,337,2.5E-31,3.2472,2.024,darkgreen,XP_010654721.1 pleiotropic drug resistance protein 1
VIT_09s0002g05400,Vitvi09g00462,1565,1629,1091,1159,1,69,1/1,69,100,0,1,345,4.15E-32,NA,2.024,darkgreen,XP_010654721.1 pleiotropic drug resistance protein 1
VIT_09s0002g05370,Vitvi09g00462,1422,1629,948,1016,1,69,1/1,69,100,0,1,344,3.68E-32,4.8079,2.024,darkgreen,XP_010654721.1 pleiotropic drug resistance protein 1
VIT_19s0014g02120,Vitvi19g00181,74,74,1,74,1,74,1/1,74,100,0,0,355,4.55E-46,2.0846,1.081,darkgreen,XP_002285182.1PREDICTED: uncharacterized protein LOC100245332
VIT_18s0001g01460,Vitvi18g02519,73,73,1,73,1,73,1/1,73,100,0,0,369,3.37E-48,2.5762,-1.064,mediumpurple3,CAN70674.1hypothetical protein VITISV_035816
VIT_12s0057g00150,VITMroCarlos_v1.3.g00356,118,89,30,118,1,89,1/1,89,75,0,10,377,2.42E-48,1.932,2.398,lightyellow,NA
VIT_00s0480g00040,VITMroCarlos_v1.3.g20324,291,603,203,291,515,603,1/1,89,100,0,8,431,1.39E-48,4.4932,1.258,darkgreen,"sp|P43309|PPO_MALDO Polyphenol oxidase, chloroplastic OS=Malus domestica OX=3750 PE=1 SV=1"
VIT_12s0057g00080,VITMroCarlos_v1.3.g00356,88,89,1,88,1,89,1/1,89,100,1,7,377,8.31E-49,5.2623,2.398,lightyellow,NA
VIT_12s0057g00110,VITMroCarlos_v1.3.g00356,89,89,1,89,1,89,1/1,89,100,0,9,381,1.55E-49,2.0044,2.398,lightyellow,NA
VIT_12s0057g00120,VITMroCarlos_v1.3.g00356,89,89,1,89,1,89,1/1,89,100,0,9,382,1.21E-49,2.5553,2.398,lightyellow,NA
VIT_12s0057g00140,VITMroCarlos_v1.3.g00356,89,89,1,89,1,89,1/1,89,100,0,9,382,1.21E-49,1.7506,2.398,lightyellow,NA
VIT_12s0057g00070,VITMroCarlos_v1.3.g00356,89,89,1,89,1,89,1/1,89,100,0,7,387,2.47E-50,2.8561,2.398,lightyellow,NA
VIT_12s0057g00090,VITMroTrayshed_v2.0.hap1.chr12.ver2.0.g152050,89,161,10,89,82,161,1/1,80,100,0,5,396,1.8E-50,2.5396,1.002,lightyellow,wound-responsive family
VIT_03s0017g01450,Vitvi03g01202,79,79,1,79,1,79,1/1,79,100,0,0,396,3.78E-52,3.9919,1.328,darkgreen,XP_010648188.1 cysteine-rich and transmembrane domain-containing protein A
