gene,baseMean,log2FC_MLE,log2FC_apeglm,lfcSE_apeglm,statistic_zero_null,pvalue_zero_null,padj_zero_null,pvalue_threshold_test,padj_threshold_test,FSOS_svalue,DE_primary_threshold_test,DE_zero_null_plus_effect_filter,DE_primary,leading_signal,genotype,timing,Athal.common.NAme,TAIR10,Athaliana_TAIR10_homolog,homology
Vitvi10g01585,2445.40316547127,-5.49355092269398,-5.46238279299577,0.287419512142604,-18.8160067230776,5.5837674176002e-79,4.58538980333328e-75,9.41990253502443e-54,8.21384101379013e-50,0.0,True,True,True,True,Rpv12+1,0,CRK25,NP_001329426.1,NP_001329426.1 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 25 [Arabidopsis thaliana],45.561
Vitvi14g02707,681.35117560579,2.30343905449671,2.28552174043683,0.15330692951501,15.2539193737458,1.5504053149317501e-52,9.54894633466463e-49,3.02280408102914e-18,2.82405471270147e-15,1.38863073307203e-18,True,True,True,True,Rpv12+1,0,,NP_194452.1,NP_194452.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],31.447
Vitvi18g04646,349.800421484365,5.2651590556519,5.21482410334769,0.363999699122676,14.4894787392641,1.41210351291594e-47,6.95771642883942e-44,4.0923768323796004e-32,1.52932122226026e-28,2.35693505888108e-32,True,True,True,True,Rpv12+1,0,,NP_199336.1,NP_199336.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana],29.167
Vitvi01g01990,3253.53670087597,-6.27605732148525,-6.21312010947858,0.432265633369323,-14.167903559692,1.44757804309543e-45,5.0946475242427e-42,5.22056820764828e-33,2.27608072906452e-29,0.0,True,True,True,True,Rpv12+1,0,PCR2,NP_172940.1,NP_172940.1 PLANT CADMIUM RESISTANCE 2 [Arabidopsis thaliana],63.194
Vitvi12g04597,563.172656042939,9.57381265947128,9.38342710789163,0.718382775827885,12.6302185001,1.4387816799898399e-36,2.5318446763021297e-33,5.7899734151669394e-30,1.68288793963724e-26,6.490000004826459e-33,True,True,True,True,Rpv12+1,0,RPS2,NP_194339.1,NP_194339.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],29.442
Vitvi14g04248,347.979848571058,2.48218896700027,2.4434474405013,0.210409328725908,11.957108898961,5.9601046727476296e-33,9.177071169863159e-30,4.66838366206057e-13,1.69611455855337e-10,2.50712225860618e-13,True,True,True,True,Rpv12+1,0,,NP_194449.1,NP_194449.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],38.498
Vitvi12g02743,203.019264874393,5.33516787391888,5.24556502667527,0.479699998332206,11.2398587838497,2.59797596919896e-29,2.90926072623571e-26,3.3279609648784e-20,4.3528065440127e-17,3.38251761616649e-20,True,True,True,True,Rpv12+1,0,,NP_194449.1,NP_194449.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],29.705
Vitvi18g01959,205.744192164665,5.47611329402404,5.3711559992622,0.484007215552845,11.1504783794328,7.12224254548969e-29,7.31098197294517e-26,3.9598972624081504e-20,4.9327120232064204e-17,7.09395841853513e-21,True,True,True,True,Rpv12+1,0,,NP_197270.1,NP_197270.1 disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana],32.459
Vitvi12g02701,606.122514189718,-2.94513294424765,-2.89354958255917,0.259472824989584,-11.1419693768931,7.83669714547911e-29,7.72259483504093e-26,9.27931029061576e-14,3.9151206111648e-11,9.849918852722592e-15,True,True,True,True,Rpv12+1,0,,NP_188065.1,NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],41.658
Vitvi01g00083,104.52413287097,-7.31160503262455,-7.18160370837727,0.642109816085724,-11.0823902796403,1.5273956674006e-28,1.34388998793147e-25,5.52052991472274e-22,8.494796590543071e-19,0.0,True,True,True,True,Rpv12+1,0,RPM1,NP_187360.1,NP_187360.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],31.636
Vitvi18g04660,217.321042314486,3.93731592361357,3.86812366248219,0.360660150813584,10.891446979864,1.2661241252662e-27,1.00620109516316e-24,2.23246607103625e-16,1.4243678037130998e-13,6.036825335127731e-17,True,True,True,True,Rpv12+1,0,,NP_197270.1,NP_197270.1 disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana],41.932
Vitvi18g04642,446.507887389829,-5.4296233141741,-5.31314815754547,0.538357551249413,-10.3108962054884,6.291188360592041e-25,4.55852107210428e-22,2.01730569629309e-17,1.50773427740946e-14,3.18985241313536e-17,True,True,True,True,Rpv12+1,0,,NP_001328450.1,NP_001328450.1 Disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana],30.896
Vitvi12g02066,432.249431784711,-7.98419319856573,-7.78124996311953,0.806902575142448,-10.0338206147589,1.0824520900869601e-23,6.50421699789814e-21,8.386449181850031e-19,8.43773554415442e-16,0.0,True,True,True,True,Rpv12+1,0,,NP_194449.1,NP_194449.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],28.821
