gene,module_size_r0.757,rho_r0.757,pvalue_r0.757,bonferroni_r0.757,fdr_r0.757,module_size_r0.8077,rho_r0.8077,pvalue_r0.8077,bonferroni_r0.8077,fdr_r0.8077,module_size_r0.8839,rho_r0.8839,pvalue_r0.8839,bonferroni_r0.8839,fdr_r0.8839
Vitvi00g00444,20.0,0.181513726608301,0.289381641588613,1.0,0.297372317897467,,,,,,,,,,
Vitvi00g00447,14.0,0.74411429702662,1.97545236237612e-07,0.0016761713294761,1.01956893520446e-06,,,,,,,,,,
Vitvi00g00786,77.0,-0.478898349698169,0.0031284988550884,1.0,0.0044494322469703,11.0,0.478898349698169,0.0031284988550884,1.0,0.0042658160178013,,,,,
Vitvi00g00859,2118.0,-0.824392187992147,6.42105911361328e-10,5.44826865790087e-06,1.04109350158145e-08,1440.0,-0.824392187992147,6.42105911361328e-10,4.6867310470263334e-06,9.02449342290294e-09,404.0,-0.82902360477862,4.23397938922474e-10,1.80028803629836e-06,4.58088558854544e-09
Vitvi00g01805,78.0,-0.508050448395883,0.0015597786508219,1.0,0.0027137014255124,31.0,-0.534789945679877,0.0007787483526537,1.0,0.0013346053594786,4.0,-0.417136157630304,0.0113721556085047,1.0,0.013097076285851
Vitvi00g04001,,,,,,,,,,,,,,,
Vitvi00g04005,133.0,-0.837970916250063,1.82656115104778e-10,1.54983713666405e-06,4.0151221157099605e-09,41.0,0.854242196177249,3.4485174125585e-11,2.517072859426449e-07,7.65067738427492e-10,,,,,
Vitvi00g04006,219.0,-0.799794857867825,4.8678475750908e-09,4.13036866746454e-05,4.77499267914981e-08,105.0,-0.799794857867825,4.8678475750908e-09,3.5530419450587755e-05,4.19485471671643e-08,9.0,-0.788450249954806,1.13052940705564e-08,4.80701103880057e-05,6.35008063249746e-08
Vitvi00g04011,21.0,0.664410597026749,9.92134639857315e-06,0.0841826241918931,3.22045234092935e-05,6.0,0.599325477318007,0.0001122752684492,0.8194971844107107,0.0002332756004585,,,,,
Vitvi00g04017,140.0,0.816811769737353,1.23759826433005e-09,1.05010212728405e-05,1.50229202758809e-08,70.0,0.816811769737353,1.23759826433005e-09,9.033229731345036e-06,1.2978778349634e-08,12.0,0.816811769737353,1.23759826433005e-09,5.26226781993139e-06,9.4305874909167e-09
Vitvi00g04018,104.0,-0.552471922567315,0.0004762367477383,1.0,0.0009150518126268,30.0,-0.545296962533973,0.0005833206676505,1.0,0.0010220013329767,,,,,
Vitvi00g04019,5.0,-0.382151208345003,0.0214447164072558,1.0,0.025139322839951,,,,,,,,,,
Vitvi00g04022,146.0,0.854242196177249,3.4485174125585e-11,2.92606702455589e-07,8.97566571949658e-10,88.0,0.854242196177249,3.4485174125585e-11,2.517072859426449e-07,7.65067738427492e-10,42.0,-0.854242196177249,3.4485174125584494e-11,1.46630960381985e-07,5.55420304477225e-10
Vitvi00g04024,140.0,0.866359712001401,8.69442361037607e-12,7.3772184334041e-08,3.36859289196534e-10,69.0,0.866359712001401,8.69442361037607e-12,6.346059793213494e-08,2.92445151760991e-10,14.0,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10
Vitvi00g04030,339.0,-0.631396482934074,3.63959573998368e-05,0.308819698537615,9.48754834216957e-05,61.0,0.645746403000758,2.10820008752171e-05,0.15387752438820962,5.3973175863981e-05,,,,,
Vitvi00g04032,288.0,-0.716412599866176,8.93892664680424e-07,0.0075846792598134,3.78099663998674e-06,37.0,0.695506609407448,2.49770503451919e-06,0.01823074904695557,8.26416547912764e-06,,,,,
Vitvi00g04033,,,,,,,,,,,,,,,
Vitvi00g04035,90.0,0.850316013631005,5.24901265229646e-11,4.45378723547355e-07,1.31768853120519e-09,45.0,-0.850316013631005,5.24901265229646e-11,3.831254334911186e-07,1.1202498055295902e-09,4.0,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10
Vitvi00g04037,129.0,0.866359712001401,8.69442361037607e-12,7.3772184334041e-08,3.36859289196534e-10,65.0,-0.861011812544602,1.6227086807584897e-11,1.1844150660856217e-07,5.10523735381734e-10,10.0,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10
Vitvi00g04039,97.0,0.623100496111364,4.92944517664194e-05,0.418263423238068,0.000124224360926,60.0,-0.612392549778845,7.20067527787288e-05,0.5255772885319415,0.0001599443969969,21.0,0.62921932258709,3.94453922621833e-05,0.167721807898803,7.55163475456115e-05
Vitvi00g04040,500.0,-0.382151208345003,0.0214447164072558,1.0,0.025139322839951,76.0,-0.372476494209687,0.0252748166470032,1.0,0.0288567005641289,,,,,
Vitvi00g04044,608.0,-0.478898349698169,0.0031284988550884,1.0,0.0044494322469703,252.0,-0.478898349698169,0.0031284988550884,1.0,0.0042658160178013,41.0,0.478898349698169,0.0031284988550884,1.0,0.0039286406177897
Vitvi00g04045,1145.0,0.615682368648623,6.41873880190985e-05,0.544629987342051,0.0001557866096516,594.0,0.589483118918895,0.0001549320618943,1.0,0.0003111001704997,99.0,0.569833681621598,0.0002859232384247,1.0,0.0004556767652855
Vitvi00g04049,1804.0,-0.624221522900733,4.73386834040076e-05,0.401668728683004,0.000119473149519,1018.0,-0.631396482934074,3.63959573998368e-05,0.2656540930614088,8.69286953734989e-05,163.0,-0.638571442967416,2.77964224488528e-05,0.118190388252522,5.50234582181201e-05
Vitvi00g04059,,,,,,,,,,,,,,,
Vitvi00g04060,,,,,,,,,,,,,,,
Vitvi00g04069,,,,,,,,,,,,,,,
Vitvi00g04076,,,,,,,,,,,,,,,
Vitvi00g04123,,,,,,,,,,,,,,,
Vitvi00g04146,475.0,0.440199493156902,0.0072159803008479,1.0,0.0094603820847798,187.0,0.420850064886269,0.010590608809886,1.0,0.012989556999388,14.0,0.39182592248032,0.0181099832764267,1.0,0.0201791532734188
Vitvi00g04213,,,,,,,,,,,,,,,
Vitvi00g04231,131.0,-0.217681068044622,0.202185093959942,1.0,0.210495769601241,62.0,0.208006353909306,0.223466571725695,1.0,0.230574287111372,4.0,-0.169307497368039,0.323571829826416,1.0,0.326489658382041
Vitvi00g04236,136.0,-0.372476494209687,0.0252748166470032,1.0,0.0292773814675525,25.0,-0.343452351803737,0.0402822983143647,1.0,0.0446161601512213,,,,,
Vitvi00g04245,57.0,-0.478898349698169,0.0031284988550884,1.0,0.0044494322469703,19.0,0.478898349698169,0.0031284988550884,1.0,0.0042658160178013,,,,,
Vitvi00g04249,54.0,0.775445421235822,2.79559952748286e-08,0.0002372066199069,2.31421092592118e-07,28.0,-0.689879029927042,3.24615319581958e-06,0.023693672176287112,1.04607824177869e-05,,,,,
Vitvi00g04250,53.0,0.583558515095565,0.0001871422336994,1.0,0.0003986698099271,10.0,-0.589733737477529,0.0001536866352877,1.0,0.0003106504433579,,,,,
Vitvi00g04251,20.0,-0.848818436201521,6.14198049747315e-11,5.21147045210596e-07,1.5018646836040201e-09,6.0,-0.816275876347149,1.29488393267206e-09,9.451357824573367e-06,1.33682571776143e-08,,,,,
Vitvi00g04252,14.0,-0.478898349698169,0.0031284988550884,1.0,0.0044494322469703,,,,,,,,,,
Vitvi00g04274,105.0,0.750289519408583,1.37448227308174e-07,0.0011662482087098,7.4855469108464e-07,48.0,-0.750289519408583,1.37448227308175e-07,0.0010032346111223693,6.62638448561673e-07,3.0,0.750289519408583,1.37448227308174e-07,0.0005844298625143,4.85406862553457e-07
Vitvi00g04275,157.0,0.750289519408583,1.37448227308174e-07,0.0011662482087098,7.4855469108464e-07,74.0,0.750289519408583,1.37448227308174e-07,0.001003234611122362,6.62638448561673e-07,6.0,0.750289519408583,1.37448227308174e-07,0.0005844298625143,4.85406862553457e-07
Vitvi00g04280,897.0,-0.563283869189166,0.0003477573469572,1.0,0.0006918455073698,292.0,-0.563283869189166,0.0003477573469572,1.0,0.0006419526746183,,,,,
Vitvi00g04303,155.0,-0.478898349698169,0.0031284988550884,1.0,0.0044494322469703,29.0,-0.478898349698169,0.0031284988550884,1.0,0.0042658160178013,,,,,
Vitvi00g04304,12.0,-0.304753495262471,0.0707229426338605,1.0,0.0767665559995275,,,,,,,,,,
Vitvi00g04313,67.0,-0.75441642621575,1.07231136608592e-07,0.0009098561941238,7.4855469108464e-07,23.0,0.771433338085278,3.65240298083622e-08,0.00026658889357123567,2.57822914478958e-07,,,,,
Vitvi00g04315,1306.0,-0.545296962533973,0.0005833206676505,1.0,0.0010981752529431,622.0,-0.53094704246729,0.0008635454763658,1.0,0.0014678664257089,28.0,-0.487897282267239,0.0025399290967346,1.0,0.0035293393853972
Vitvi00g04316,112.0,-0.509455846512001,0.0015059531415558,1.0,0.0026244191373043,9.0,-0.546507180803783,0.0005638819094594,1.0,0.0009948692427228,,,,,
Vitvi00g04336,275.0,0.420850064886269,0.010590608809886,1.0,0.0133167332175286,74.0,0.440199493156902,0.0072159803008479,1.0,0.0091567177009543,4.0,0.420850064886269,0.010590608809886,1.0,0.0122069039467702
Vitvi00g04337,2265.0,-0.678679836599203,5.37727468533649e-06,0.0456261757050801,1.82943767863192e-05,1562.0,-0.684288760868618,4.18769069394475e-06,0.03056595437510273,1.31071845519308e-05,516.0,-0.679189738805513,5.25759685945589e-06,0.0223553018464064,1.25135594739614e-05
Vitvi00g04338,7.0,0.314428209397787,0.0618077618339936,1.0,0.0675388099370813,,,,,,,,,,
Vitvi00g04340,,,,,,,,,,,,,,,
Vitvi00g04359,,,,,,,,,,,,,,,
Vitvi00g04360,159.0,-0.333561238507307,0.0468023594919455,1.0,0.0519583959556663,98.0,-0.333561238507307,0.0468023594919455,1.0,0.0514628535600648,34.0,0.539664117584992,0.0006818537912219,1.0,0.001015852249571
Vitvi00g04361,593.0,-0.750289519408583,1.37448227308175e-07,0.0011662482087098,7.4855469108464e-07,221.0,-0.750289519408583,1.37448227308175e-07,0.0010032346111223693,6.62638448561673e-07,11.0,-0.750289519408583,1.37448227308175e-07,0.0005844298625143,4.85406862553457e-07
Vitvi00g04369,1653.0,-0.824392187992147,6.42105911361328e-10,5.44826865790087e-06,1.04109350158145e-08,941.0,-0.82902360477862,4.23397938922474e-10,3.0903815561951374e-06,6.82203434038662e-09,149.0,-0.82902360477862,4.23397938922474e-10,1.80028803629836e-06,4.58088558854544e-09
Vitvi00g04376,300.0,-0.48468611999998,0.0027377826634512,1.0,0.0044494322469703,158.0,-0.478136307567548,0.0031833934871966,1.0,0.0043309578868682,18.0,-0.478136307567548,0.0031833934871966,1.0,0.0039869776458203
Vitvi00g04411,27.0,-0.126592058830255,0.461904702445306,1.0,0.468586967987616,3.0,-0.163643393122037,0.340256556534442,1.0,0.346813658168537,,,,,
Vitvi00g04412,18.0,0.0628856418795575,0.715590124288946,1.0,0.71940547447769,5.0,-0.0435362136089244,0.800949927206222,1.0,0.803702710843857,,,,,
Vitvi00g04449,188.0,-0.750289519408583,1.37448227308175e-07,0.0011662482087098,7.4855469108464e-07,127.0,-0.750289519408583,1.37448227308175e-07,0.0010032346111223693,6.62638448561673e-07,63.0,0.750289519408583,1.37448227308174e-07,0.0005844298625143,4.85406862553457e-07
Vitvi00g04454,3.0,0.449874207292219,0.0059072599660822,1.0,0.0078624471862287,,,,,,,,,,
Vitvi00g04463,38.0,0.30483026903753,0.0706484356756703,1.0,0.0767665559995275,12.0,-0.171132782617561,0.318305543108026,1.0,0.325439439577739,,,,,
Vitvi00g04469,162.0,-0.537084619459437,0.0007317094041333,1.0,0.0013511543621483,64.0,0.530534807027005,0.0008731100016304,1.0,0.0014769014836386,8.0,-0.523984994594573,0.0010381710830213,1.0,0.0015019746325304
Vitvi00g04497,6.0,0.14028335496209,0.414476147144056,1.0,0.421429611565886,,,,,,,,,,
Vitvi00g04498,41.0,0.816811769737353,1.23759826433005e-09,1.05010212728405e-05,1.50229202758809e-08,26.0,-0.816811769737353,1.23759826433008e-09,9.033229731345255e-06,1.2978778349634e-08,9.0,-0.816811769737353,1.23759826433008e-09,5.26226781993152e-06,9.4305874909167e-09
Vitvi00g04499,48.0,0.805428356395692,3.1396489632846303e-09,2.66399214534701e-05,3.22908138829944e-08,16.0,-0.707800676832578,1.37960969568663e-06,0.010069771168816712,4.96047840828408e-06,,,,,
Vitvi00g04500,71.0,-0.816811769737353,1.23759826433008e-09,1.05010212728408e-05,1.50229202758809e-08,39.0,0.816811769737353,1.23759826433005e-09,9.033229731345036e-06,1.2978778349634e-08,17.0,-0.816811769737353,1.23759826433008e-09,5.26226781993152e-06,9.4305874909167e-09
Vitvi00g04501,71.0,-0.816811769737353,1.23759826433008e-09,1.05010212728408e-05,1.50229202758809e-08,35.0,0.816811769737353,1.23759826433005e-09,9.033229731345036e-06,1.2978778349634e-08,5.0,-0.816811769737353,1.23759826433008e-09,5.26226781993152e-06,9.4305874909167e-09
Vitvi00g04504,,,,,,,,,,,,,,,
Vitvi00g04505,47.0,-0.0339637231008001,0.84410373195074,1.0,0.846498069448296,20.0,-0.0401389454827637,0.816205782314801,1.0,0.818673355107288,3.0,0.0957159469204366,0.578685799431449,1.0,0.580460490488918
Vitvi00g04507,64.0,0.745766996662678,1.79450154533175e-07,0.0015226345612139,9.52241751853662e-07,26.0,-0.707800676832578,1.37960969568663e-06,0.010069771168816712,4.96047840828408e-06,,,,,
Vitvi00g04508,36.0,-0.237746061705601,0.162640202538146,1.0,0.171003979992091,8.0,0.225395616941673,0.186258374686829,1.0,0.193440506095498,,,,,
Vitvi00g04509,120.0,0.404477066018619,0.0144134798599693,1.0,0.0177424019457188,60.0,-0.416827510782546,0.0114392506999706,1.0,0.0140115943713854,22.0,0.404477066018619,0.0144134798599693,1.0,0.0163779038921939
Vitvi00g04522,65.0,0.344408758458764,0.0396929700342421,1.0,0.0448296971385254,19.0,0.39864635821605,0.0160294202957568,1.0,0.01904276346659,,,,,
Vitvi00g04527,,,,,,,,,,,,,,,
Vitvi00g04555,6.0,0.243909070129904,0.151697389261303,1.0,0.15959731529847,,,,,,,,,,
Vitvi00g04557,347.0,-0.343452351803737,0.0402822983143647,1.0,0.0451334083186828,46.0,0.39182592248032,0.0181099832764267,1.0,0.0211834563997818,,,,,
Vitvi00g04563,215.0,-0.497785744864844,0.0020068662317457,1.0,0.0034484123078903,72.0,-0.523984994594573,0.0010381710830213,1.0,0.0017387817198194,,,,,
Vitvi00g04564,541.0,-0.619547093048839,5.5986332284085e-05,0.475044029430461,0.0001396366929542,202.0,-0.624667316958334,4.65806478869314e-05,0.33999214892671226,0.0001097456904217,36.0,-0.614426869139345,6.70761366360175e-05,0.285207732976347,0.0001218315817925
Vitvi00g04567,67.0,-0.63533180594592,3.14204180292241e-05,0.266602246977966,8.40494342937869e-05,11.0,-0.622232181081055,5.08592315170758e-05,0.37122153084313625,0.0001171045838621,,,,,
Vitvi00g04570,88.0,-0.478898349698169,0.0031284988550884,1.0,0.0044494322469703,21.0,-0.478898349698169,0.0031284988550884,1.0,0.0042658160178013,,,,,
Vitvi00g04581,18.0,-0.565032847949674,0.0003301758428458,1.0,0.0006608969159109,,,,,,,,,,
Vitvi00g04582,3.0,-0.246705210450572,0.146913319045593,1.0,0.154813650285874,,,,,,,,,,
Vitvi00g04584,109.0,0.734919476711221,3.32800881439019e-07,0.00282381547901,1.59898951246324e-06,32.0,0.680681876953935,4.92121579230629e-06,0.03591995406804361,1.51789514666556e-05,,,,,
Vitvi00g04587,13.0,0.493490444216318,0.0022249910659693,1.0,0.0037978372952625,,,,,,,,,,
Vitvi00g04594,58.0,-0.741501517074982,2.29609436343872e-07,0.0019482360673777,1.17081494433759e-06,7.0,0.712176598320604,1.10874829493115e-06,0.008092753804702464,4.09138210551185e-06,,,,,
Vitvi00g04596,,,,,,,,,,,,,,,
Vitvi00g04598,93.0,0.750289519408583,1.37448227308174e-07,0.0011662482087098,7.4855469108464e-07,52.0,-0.750289519408583,1.37448227308175e-07,0.0010032346111223693,6.62638448561673e-07,19.0,0.750289519408583,1.37448227308174e-07,0.0005844298625143,4.85406862553457e-07
Vitvi00g04599,20.0,-0.478898349698169,0.0031284988550884,1.0,0.0044494322469703,4.0,-0.478898349698169,0.0031284988550884,1.0,0.0042658160178013,,,,,
Vitvi00g04602,116.0,0.866359712001401,8.69442361037607e-12,7.3772184334041e-08,3.36859289196534e-10,62.0,-0.855663913087804,2.95293710251311e-11,2.1553487911243189e-07,7.65067738427492e-10,5.0,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10
Vitvi00g04609,,,,,,,,,,,,,,,
