ENSMBL_geneID	Uniprot_proteinID	NCBI_refeT2T_geneID
Vitvi00g00444	F6HJP6	VIT_00s0327g00020
Vitvi00g00447	F6I2Y8	VIT_15s0048g02510
Vitvi00g00615	B6VJZ4	rps4
Vitvi00g00786	F6HDB8	VIT_00s0556g00010
Vitvi00g00859	F6HJT5	VIT_00s0632g00010
Vitvi00g00918	D7ST29	VIT_00s0760g00010
Vitvi00g01462	D7TRU5	VIT_00s0385g00020
Vitvi00g01805	F6HWQ6	VIT_00s0366g00020
Vitvi00g04001	D7T4K3	VIT_13s0067g01690
Vitvi00g04005	F6I1Z5	VIT_00s0169g00080
Vitvi00g04006	F6I1Z6	VIT_00s0169g00090
Vitvi00g04007	F6I7H2	VIT_00s0360g00020
Vitvi00g04011	F6HWS7	VIT_00s0362g00010
Vitvi00g04017		
Vitvi00g04018	F6HCU2	VIT_00s0222g00100
Vitvi00g04019	F6HWM8	VIT_07s0141g01030
Vitvi00g04022	D7TS35	VIT_00s2710g00010
Vitvi00g04023	F6I7E5	VIT_00s0276g00080
Vitvi00g04024	F6HCU2	VIT_00s0222g00100
Vitvi00g04025	D7TYR6	VIT_07s0141g01020
Vitvi00g04030	F6HCU2	VIT_00s0222g00100
Vitvi00g04032	F6I2A4	VIT_00s0378g00010
Vitvi00g04033	F6HWM8	VIT_07s0141g01030
Vitvi00g04035	D7TYR6	VIT_07s0141g01020
Vitvi00g04036	F6I2A5	VIT_00s0378g00020
Vitvi00g04037	F6HCU2	VIT_00s0222g00100
Vitvi00g04038	F6GYT4	VIT_18s0117g00190
Vitvi00g04039	D7U790	VIT_16s0013g01050
Vitvi00g04040	D7SLX8	VIT_15s0021g01660
Vitvi00g04041	D7TBD8	VIT_11s0016g02860
Vitvi00g04042	D7TBX5	VIT_11s0016g04860
Vitvi00g04043	F6HAL6	VIT_16s0022g01660
Vitvi00g04044	F6H7F1	VIT_16s0098g00120
Vitvi00g04045	F6HUB8	VIT_02s0025g03330
Vitvi00g04046	D7T5R6	VIT_02s0488g00030
Vitvi00g04047	D7SYZ7	VIT_00s0341g00030
Vitvi00g04048	F6H852	VIT_00s0341g00050
Vitvi00g04049	F6HJT5	VIT_00s0632g00010
Vitvi00g04051	D7SYZ7	VIT_00s0341g00030
Vitvi00g04052	D7SLG1	VIT_06s0004g00930
Vitvi00g04053	F6HCZ5	VIT_00s0173g00040
Vitvi00g04059	F6HD00	VIT_00s0173g00130
Vitvi00g04060	F6HJL4	VIT_00s0208g00040
Vitvi00g04063	F6HD05	VIT_00s0173g00220
Vitvi00g04066	F6HJL4	VIT_00s0208g00040
Vitvi00g04067	D7T5L5	VIT_00s0173g00240
Vitvi00g04068	F6HD01	VIT_00s0173g00140
Vitvi00g04069	D7U8C1	VIT_09s0070g00850
Vitvi00g04070	F6HD08	VIT_00s0173g00260
Vitvi00g04076	F6HWP6	VIT_00s0183g00240
Vitvi00g04079	D7TYS8	VIT_00s0183g00220
Vitvi00g04081	F6HWN5	VIT_00s0183g00040
Vitvi00g04091	F6HWN5	VIT_00s0183g00040
Vitvi00g04102	F6HRF3	VIT_19s0140g00040
Vitvi00g04103	F6I249	VIT_00s0198g00120
Vitvi00g04104	F6HD05	VIT_00s0173g00220
Vitvi00g04106	F6HSZ7	VIT_02s0012g03180
Vitvi00g04107	F6GZ42	VIT_16s0039g00180
Vitvi00g04108	F6GVI6	VIT_10s0116g01190
Vitvi00g04112	Q0ZJ22	rps14
Vitvi00g04116	D7SSQ8	VIT_16s0039g00410
Vitvi00g04122	F6H269	VIT_19s0014g03200
Vitvi00g04123	D7UDU6	VIT_00s0188g00210
Vitvi00g04130	F6I7E0	VIT_00s0380g00020
Vitvi00g04131	F6HA04	VIT_06s0009g01520
Vitvi00g04133	F6I1V2	VIT_17s0000g00050
Vitvi00g04134	D7U684	VIT_17s0000g00100
Vitvi00g04140	F6HJQ3	VIT_00s0309g00020
Vitvi00g04143	F6H7Z5	VIT_00s0287g00040
Vitvi00g04144	F6H7Z6	VIT_00s0287g00050
Vitvi00g04145	F6I7Q1	VIT_00s1665g00010
Vitvi00g04146	E0CW13	VIT_00s0287g00080
Vitvi00g04147	F6I2C7	VIT_00s0616g00030
Vitvi00g04151	F6HJL2	VIT_00s0208g00020
Vitvi00g04164	D7TG32	VIT_00s0208g00110
Vitvi00g04168	F6I6Z6	VIT_00s0120g00060
Vitvi00g04169	F6HT04	VIT_02s0012g03090
Vitvi00g04182	B6VJS6	matR
Vitvi00g04188	Q0ZJ08	cemA
Vitvi00g04190	Q0ZJ11	accD
Vitvi00g04199		
Vitvi00g04213		
Vitvi00g04231	F6I7B2	VIT_00s0266g00090
Vitvi00g04233	F6H870	VIT_00s0372g00070
Vitvi00g04234	F6I7A8	VIT_00s0266g00030
Vitvi00g04236	F6I7A6	VIT_00s0266g00010
Vitvi00g04242	D7TGC8	VIT_00s0769g00010
Vitvi00g04243	F6GZQ1	VIT_18s0001g13430
Vitvi00g04245	A5BD13	VIT_10s0003g02650
Vitvi00g04247	F6H5X0	VIT_01s0113g00450
Vitvi00g04248	F6HRQ7	VIT_00s0279g00070
Vitvi00g04249	D7TG56	VIT_00s0230g00030
Vitvi00g04250		
Vitvi00g04251	F6GVI6	VIT_10s0116g01190
Vitvi00g04252	F6H829	VIT_00s0285g00060
Vitvi00g04262	F6HX73	VIT_09s0002g05660
Vitvi00g04265	F6H6N2	VIT_16s0050g00380
Vitvi00g04266	F6HX77	VIT_09s0002g05730
Vitvi00g04268	D7U0U1	VIT_09s0002g05720
Vitvi00g04273	D7T5V6	VIT_00s0742g00030
Vitvi00g04274	D7T5V5	VIT_00s0742g00020
Vitvi00g04275	F6HCY1	VIT_00s0665g00050
