gene,project_common_name,Athal_common_name
Vitvi01g04416,,
Vitvi01g04419,,RLP34
Vitvi05g00062,SAG101,SAG101
Vitvi07g01908,PAD4,PAD4
Vitvi09g01951,,
Vitvi09g04475,EIX1,
Vitvi09g04536,GSO2,GSO2
Vitvi09g04548,,
Vitvi12g01277,BAK1,BAK1
Vitvi14g03030,SAG101,SAG101
Vitvi14g03031,SAG101,SAG101
Vitvi14g03032,SAG101,SAG101
Vitvi14g03033,Fungal-lipase,SAG101
Vitvi14g04642,SAG101,SAG101
Vitvi14g04643,SAG101,SAG101
Vitvi14g04644,SAG101,SAG101
Vitvi17g00964,SOBIR1,SOBIR1
Vitvi17g01513,EDS1,EDS1
Vitvi17g01515,EDS1,EDS1
Vitvi17g01520,EDS1,EDS1
Vitvi17g01523,EDS1,EDS1
Vitvi17g04212,EDS1,EDS1
Vitvi17g04216,EDS1,EDS1
Vitvi19g00098,MRH1,MRH1
