# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "32" "-p" "-B" "-C" "-t" "exon" "-g" "exon_id" "-a" "/scratch/USERNAME/Athal/TAIR10ref/Arabidopsis_thaliana.TAIR10.63.gff3" "-o" "/scratch/USERNAME/Athal/froussios2019_samples_from1_to14.counts.tsv" "/scratch/USERNAME/Athal/ERR1811888_Sample_1/ERR1811888_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811889_Sample_2/ERR1811889_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811890_Sample_3/ERR1811890_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811891_Sample_4/ERR1811891_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811892_Sample_5/ERR1811892_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811893_Sample_6/ERR1811893_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811894_Sample_7/ERR1811894_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811900_Sample_8/ERR1811900_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811901_Sample_9/ERR1811901_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811895_Sample_10/ERR1811895_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811896_Sample_11/ERR1811896_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811897_Sample_12/ERR1811897_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811898_Sample_13/ERR1811898_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811899_Sample_14/ERR1811899_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/USERNAME/Athal/ERR1811888_Sample_1/ERR1811888_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811889_Sample_2/ERR1811889_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811890_Sample_3/ERR1811890_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811891_Sample_4/ERR1811891_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811892_Sample_5/ERR1811892_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811893_Sample_6/ERR1811893_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811894_Sample_7/ERR1811894_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811900_Sample_8/ERR1811900_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811901_Sample_9/ERR1811901_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811895_Sample_10/ERR1811895_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811896_Sample_11/ERR1811896_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811897_Sample_12/ERR1811897_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811898_Sample_13/ERR1811898_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811899_Sample_14/ERR1811899_Aligned.sortedByCoord.out.bam
AT1G01010.1.exon1	1	3631	3913	+	283	64	41	55	27	61	73	36	30	27	41	31	60	7	36
AT1G01010.1.exon2	1	3996	4276	+	281	91	81	79	33	98	99	78	65	41	51	36	64	12	57
AT1G01010.1.exon3	1	4486	4605	+	120	17	6	4	3	11	12	10	17	6	13	6	9	3	13
AT1G01010.1.exon4	1	4706	5095	+	390	96	68	72	23	106	101	72	58	50	50	57	46	25	50
AT1G01010.1.exon5	1	5174	5326	+	153	21	30	27	7	37	36	16	12	15	26	6	9	4	19
AT1G01010.1.exon6	1	5439	5899	+	461	104	83	78	21	104	99	52	80	61	78	62	69	12	75
AT1G01020.2.exon8	1;1	6788;6788	7069;7069	-;-	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01020.2.exon7	1;1	7157;7157	7450;7450	-;-	294	7	6	7	2	7	9	5	5	2	3	2	10	1	5
AT1G01020.1.exon6	1;1;1;1;1;1	7564;7564;7564;7564;7564;7564	7649;7649;7649;7649;7649;7649	-;-;-;-;-;-	86	12	14	13	2	15	9	7	7	9	13	9	15	3	10
AT1G01020.1.exon5	1;1;1;1;1	7762;7762;7762;7762;7762	7835;7835;7835;7835;7835	-;-;-;-;-	74	33	47	30	4	30	28	21	22	25	31	29	35	13	42
AT1G01020.1.exon4	1;1;1;1;1	7942;7942;7942;7942;7942	7987;7987;7987;7987;7987	-;-;-;-;-	46	22	13	11	4	14	14	11	15	27	16	20	22	17	29
AT1G01020.1.exon3	1;1;1;1	8236;8236;8236;8236	8325;8325;8325;8325	-;-;-;-	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01020.1.exon2	1;1	8417;8417	8464;8464	-;-	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01020.2.exon1	1	8571	8737	-	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01020.5.exon2	1;1	8417;8417	8464;8464	-;-	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01020.6.exon1	1	8594	8737	-	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01020.1.exon9	1;1;1;1	6788;6788;6788;6788	7069;7069;7069;7069	-;-;-;-	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01020.1.exon8	1;1;1;1	7157;7157;7157;7157	7232;7232;7232;7232	-;-;-;-	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01020.1.exon7	1;1;1;1	7384;7384;7384;7384	7450;7450;7450;7450	-;-;-;-	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01020.1.exon1	1	8571	9130	-	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01020.4.exon2	1;1	8236;8236	8464;8464	-;-	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01020.4.exon1	1;1	8594;8594	9130;9130	-;-	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01020.3.exon1	1	8571	9130	-	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03987.1.exon1	1	11101	11372	+	272	34	40	25	8	21	17	7	39	34	34	9	28	7	22
AT1G01030.2.exon3	1	11649	12354	-	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0
