gene,common_name,TAIR10_locus,homology,pattern,in_strict_PPI_set,in_named_immunity_check,has_module_r0.8077,module_size,Rpv12_0h_log2FC,upregulated_in_Rpv12_0h
Vitvi01g01751,FERONIA,AT3G51550,55.06,EDD EDE EDD,False,True,True,168,-10.981,False
Vitvi05g00637,ACD6,AT1G03670,30.833,UEE EEE EUE,False,True,True,45,4.733,True
Vitvi07g01847,WRKY51,AT5G64810,55.906,UEE EEE EEE,False,True,True,38,1.66,True
Vitvi07g02294,MIK2,AT4G08850,44.409,UEE EEE EDE,False,True,True,162,2.416,True
Vitvi12g02607,RUN1/AthRUN1,AT5G17680,35.409,UUE EEE EEE,False,True,True,85,2.45,True
Vitvi13g00189,WRKY55,AT2G40740,38.227,UEE EEE EEE,False,True,True,259,3.256,True
Vitvi16g01127,SARD4,AT5G52810,64.78,UEE EEE EEE,False,True,True,68,1.863,True
Vitvi18g04640,LAZ5,AT5G44870,33.793,EDD EDD EDD,False,True,True,138,-3.65,False
Vitvi01g04416,,AT2G34930,37.853,UEE EEE EEE,True,False,,,,
Vitvi01g04419,RLP34,AT3G11010,42.466,UEE EEE EEE,True,False,,,,
Vitvi05g00062,SAG101,AT5G14930,34.746,EEE EEE EEE,True,False,,,,
Vitvi07g01908,PAD4,AT3G52430,42.177,EEE EEE EEE,True,True,True,36,1.11,True
Vitvi09g01951,,AT3G24240,38.397,UEE EEE DEE,True,False,,,,
Vitvi09g04475,LRIP1,AT2G34930,36.893,UEE UEE EEE,True,True,True,36,3.665,True
Vitvi09g04536,GSO2,AT5G44700,33.55,UEE EEE EEE,True,False,,,,
Vitvi09g04548,,AT2G34930,30.941,UEE EEE EEE,True,False,,,,
Vitvi12g01277,BAK1,AT4G33430,74.227,EEE EEE EEE,True,False,,,,
Vitvi14g03030,SAG101,AT5G14930,37.542,EEE EEE EEE,True,False,,,,
Vitvi14g03031,SAG101,AT5G14930,35.436,EEE EEE EEE,True,False,,,,
Vitvi14g03032,SAG101,AT5G14930,35.798,EEE EEE EEE,True,False,,,,
Vitvi14g03033,SAG101,AT5G14930,37.184,UEE EEE EEE,True,True,True,125,4.912,True
Vitvi14g04642,SAG101,AT5G14930,36.823,EEE EEE EEE,True,False,,,,
Vitvi14g04643,SAG101,AT5G14930,30.303,EEE EEE EEE,True,False,,,,
Vitvi14g04644,SAG101,AT5G14930,38.462,EEE EEE EEE,True,False,,,,
Vitvi17g00964,SOBIR1,AT2G31880,63.78,UEE EEE EEE,True,True,True,186,1.739,True
Vitvi17g01513,EDS1,AT3G48090,38.915,EEE EEE EEE,True,False,,,,
Vitvi17g01515,EDS1,AT3G48090,40.605,EEE EEE EEE,True,False,,,,
Vitvi17g01520,EDS1,AT3G48090,39.617,EEE EEE EEE,True,False,,,,
Vitvi17g01523,EDS1,AT3G48090,43.316,EEE EEE EEE,True,False,,,,
Vitvi17g04212,EDS1,AT3G48090,40.794,EEE EEE EEE,True,False,,,,
Vitvi17g04216,EDS1,AT3G48090,40.449,UEE EEE EEE,True,True,True,495,2.691,True
Vitvi19g00098,MRH1,AT4G18640,46.612,EEE EEE DEE,True,False,,,,
