#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACD6	SAG101	3702.Q8LPS2	3702.Q4F883	0	0	0	0	0	0	0	0.404	0.404
ACD6	RLP34	3702.Q8LPS2	3702.Q9SRL2	0	0	0	0	0.173	0.073	0.060	0.548	0.630
ACD6	EDS1	3702.Q8LPS2	3702.Q9SU72	0	0	0	0	0.065	0	0	0.758	0.764
ACD6	PAD4	3702.Q8LPS2	3702.Q9S745	0	0	0	0	0.083	0	0	0.757	0.767
BAK1	F19I3.16	3702.Q94F62	3702.O64757	0	0	0	0.574	0	0.526	0.071	0	0.540
BAK1	MIK2	3702.Q94F62	3702.Q8VZG8	0	0	0.124	0.733	0.116	0.186	0.071	0.183	0.434
BAK1	SOBIR1	3702.Q94F62	3702.Q9SKB2	0	0	0.112	0.725	0.076	0.225	0	0.558	0.681
BAK1	PAD4	3702.Q94F62	3702.Q9S745	0	0	0	0	0.062	0.063	0.069	0.785	0.800
BAK1	EDS1	3702.Q94F62	3702.Q9SU72	0	0	0	0	0.069	0.063	0.069	0.795	0.811
EDS1	LAZ5	3702.Q9SU72	3702.O48573	0	0	0	0	0.046	0	0	0.540	0.542
EDS1	SAG101	3702.Q9SU72	3702.Q4F883	0	0	0	0.576	0.193	0.981	0.720	0.944	0.999
EDS1	ACD6	3702.Q9SU72	3702.Q8LPS2	0	0	0	0	0.065	0	0	0.758	0.764
EDS1	WRKY51	3702.Q9SU72	3702.Q93WU9	0	0	0	0	0.117	0	0	0.400	0.447
EDS1	BAK1	3702.Q9SU72	3702.Q94F62	0	0	0	0	0.069	0.063	0.069	0.795	0.811
EDS1	SARD4	3702.Q9SU72	3702.Q9FLY0	0	0	0	0	0.109	0	0	0.576	0.606
EDS1	PAD4	3702.Q9SU72	3702.Q9S745	0	0	0	0.602	0.382	0.982	0.720	0.988	0.999
EDS1	SOBIR1	3702.Q9SU72	3702.Q9SKB2	0	0	0	0	0.306	0.063	0.069	0.756	0.832
F19I3.16	BAK1	3702.O64757	3702.Q94F62	0	0	0	0.574	0	0.526	0.071	0	0.540
LAZ5	EDS1	3702.O48573	3702.Q9SU72	0	0	0	0	0.046	0	0	0.540	0.542
MDIS2	MIK2	3702.C0LGQ4	3702.Q8VZG8	0	0	0.186	0.604	0	0.063	0	0.494	0.580
MIK2	MDIS2	3702.Q8VZG8	3702.C0LGQ4	0	0	0.186	0.604	0	0.063	0	0.494	0.580
MIK2	BAK1	3702.Q8VZG8	3702.Q94F62	0	0	0.124	0.733	0.116	0.186	0.071	0.183	0.434
MIK2	SOBIR1	3702.Q8VZG8	3702.Q9SKB2	0	0	0.108	0.712	0.403	0.071	0.071	0.144	0.535
PAD4	SAG101	3702.Q9S745	3702.Q4F883	0	0	0	0.653	0.239	0	0.720	0.879	0.971
PAD4	ACD6	3702.Q9S745	3702.Q8LPS2	0	0	0	0	0.083	0	0	0.757	0.767
PAD4	WRKY51	3702.Q9S745	3702.Q93WU9	0	0	0	0	0.231	0	0	0.286	0.427
PAD4	BAK1	3702.Q9S745	3702.Q94F62	0	0	0	0	0.062	0.063	0.069	0.785	0.800
PAD4	SARD4	3702.Q9S745	3702.Q9FLY0	0	0	0	0	0.130	0	0	0.545	0.587
PAD4	SOBIR1	3702.Q9S745	3702.Q9SKB2	0	0	0	0	0.221	0.063	0.069	0.792	0.839
PAD4	EDS1	3702.Q9S745	3702.Q9SU72	0	0	0	0.602	0.382	0.982	0.720	0.988	0.999
RLP34	ACD6	3702.Q9SRL2	3702.Q8LPS2	0	0	0	0	0.173	0.073	0.060	0.548	0.630
SAG101	ACD6	3702.Q4F883	3702.Q8LPS2	0	0	0	0	0	0	0	0.404	0.404
SAG101	SOBIR1	3702.Q4F883	3702.Q9SKB2	0	0	0	0	0.197	0	0	0.306	0.418
SAG101	PAD4	3702.Q4F883	3702.Q9S745	0	0	0	0.653	0.239	0	0.720	0.879	0.971
SAG101	EDS1	3702.Q4F883	3702.Q9SU72	0	0	0	0.576	0.193	0.981	0.720	0.944	0.999
SARD4	PAD4	3702.Q9FLY0	3702.Q9S745	0	0	0	0	0.130	0	0	0.545	0.587
SARD4	EDS1	3702.Q9FLY0	3702.Q9SU72	0	0	0	0	0.109	0	0	0.576	0.606
SOBIR1	SAG101	3702.Q9SKB2	3702.Q4F883	0	0	0	0	0.197	0	0	0.306	0.418
SOBIR1	MIK2	3702.Q9SKB2	3702.Q8VZG8	0	0	0.108	0.712	0.403	0.071	0.071	0.144	0.535
SOBIR1	BAK1	3702.Q9SKB2	3702.Q94F62	0	0	0.112	0.725	0.076	0.225	0	0.558	0.681
SOBIR1	PAD4	3702.Q9SKB2	3702.Q9S745	0	0	0	0	0.221	0.063	0.069	0.792	0.839
SOBIR1	EDS1	3702.Q9SKB2	3702.Q9SU72	0	0	0	0	0.306	0.063	0.069	0.756	0.832
WRKY51	PAD4	3702.Q93WU9	3702.Q9S745	0	0	0	0	0.231	0	0	0.286	0.427
WRKY51	EDS1	3702.Q93WU9	3702.Q9SU72	0	0	0	0	0.117	0	0	0.400	0.447
