geneID,degree_centrality,is_significant_module_anchor,TAIR10,Athal.common.NAme,locus_tag,homology,Athaliana_TAIR10_homolog
Vitvi06g00947,3635,True,NP_190006.2,NEK6,AT3G44200,53.644,NP_190006.2 serine/threonine-protein kiNAse NEK5 [Arabidopsis thaliana]
Vitvi02g04187,3623,True,NP_193537.2,,AT4G18030,78.289,NP_193537.2 S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Arabidopsis thaliana]
Vitvi09g00068,3619,True,NP_177392.1,,AT1G72480,74.089,NP_177392.1 Lung seven transmembrane receptor family protein [Arabidopsis thaliana]
Vitvi05g01366,3591,True,NP_188317.3,CTL2,AT3G16920,78.947,NP_188317.3 chitiNAse-like protein [Arabidopsis thaliana]
Vitvi09g01317,3588,True,NP_566677.1,MSR1,AT3G21190,60.047,NP_566677.1 O-fucosyltransferase family protein [Arabidopsis thaliana]
Vitvi06g01398,3557,True,NP_197666.1,CSLA02,AT5G22740,79.963,NP_197666.1 cellulose synthase-like A02 [Arabidopsis thaliana]
Vitvi13g01731,3523,True,NP_196136.1,CEV1,AT5G05170,85.517,NP_196136.1 Cellulose synthase family protein [Arabidopsis thaliana]
Vitvi14g02043,3513,True,NP_568316.1,BCCP2,AT5G15530,56.277,NP_568316.1 biotin carboxyl carrier protein 2 [Arabidopsis thaliana]
Vitvi11g00480,3501,True,NP_567893.1,,AT4G32330,41.584,NP_567893.1 TPX2 (targeting protein for Xklp2) protein family [Arabidopsis thaliana]
Vitvi04g00600,3490,True,NP_568465.1,,AT5G25100,82.942,NP_568465.1 Endomembrane protein 70 protein family [Arabidopsis thaliana]
Vitvi14g01744,3488,True,NP_196968.2,SK13,AT5G14640,88.862,NP_196968.2 shaggy-like kiNAse 13 [Arabidopsis thaliana]
Vitvi15g01018,3479,True,NP_191724.1,TUBG1,AT3G61650,96.829,NP_191724.1 gamma-tubulin [Arabidopsis thaliana]
Vitvi18g01148,3474,True,NP_174115.1,ABCB13,AT1G27940,71.195,NP_174115.1 P-glycoprotein 13 [Arabidopsis thaliana]
Vitvi03g00274,3448,True,NP_201279.1,CESA6,AT5G64740,72.222,NP_201279.1 cellulose synthase 6 [Arabidopsis thaliana]
Vitvi07g01846,3443,True,NP_568996.1,LIP1,AT5G64813,75.66,NP_568996.1 Ras-related small GTP-binding family protein [Arabidopsis thaliana]
Vitvi11g00401,3436,True,NP_180241.1,,AT2G26730,74.149,NP_180241.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]
Vitvi18g01098,3433,True,NP_177697.1,GH9B7,AT1G75680,72.676,NP_177697.1 glycosyl hydrolase 9B7 [Arabidopsis thaliana]
Vitvi05g00542,3427,True,NP_188918.2,NET1A,AT3G22790,45.934,NP_188918.2 KiNAse interacting (KIP1-like) family protein [Arabidopsis thaliana]
Vitvi05g00423,3419,True,NP_187266.1,,AT3G06150,55.781,NP_187266.1 cytochrome P450 family protein [Arabidopsis thaliana]
Vitvi12g00303,3417,True,NP_179660.2,MAN2,AT2G20680,71.562,NP_179660.2 Glycosyl hydrolase superfamily protein [Arabidopsis thaliana]
Vitvi02g00118,3413,True,NP_194113.1,,AT4G23820,74.664,NP_194113.1 Pectin lyase-like superfamily protein [Arabidopsis thaliana]
Vitvi19g00280,3407,True,NP_200249.1,THE1,AT5G54380,75.753,NP_200249.1 protein kiNAse family protein [Arabidopsis thaliana]
Vitvi13g00182,3397,True,NP_191196.1,,AT3G56370,69.659,NP_191196.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]
Vitvi17g00443,3396,True,NP_197078.2,,AT5G15740,74.755,NP_197078.2 O-fucosyltransferase family protein [Arabidopsis thaliana]
