#node	identifier	domain_summary_url	annotation	other_names_and_aliases
BAK1	3702.Q94F62	BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1; Dual specificity kinase acting on both serine/threonine- and tyrosine-containing substrates. Controls the expression of genes associated with innate immunity in the absence of pathogens or elicitors. Involved in brassinosteroid (BR) signal transduction. Phosphorylates BRI1. May be involved in changing the equilibrium between plasma membrane-located BRI1 homodimers and endocytosed BRI1- BAK1 heterodimers. Interaction with MSBP1 stimulates the endocytosis of BAK1 and suppresses brassinosteroid signaling. Acts in pathogen- associ [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=615:Pfam_LRRNT_2(25|65)+Pfam_LRR_8(92|152)+Pfam_LRR_1(165|188)+TRANS(227|249)+Pfam_Pkinase_Tyr(289|563)+	2.7.10.1,2.7.11.1,3TL8,3UIM,3ULZ,4M7E,4MN8,829480,AT4G33430,At4g33430,AtBAK1,AtSERK3,BAK1,BAK1_ARATH,BRI1-associated receptor kinase,BRI1-associated receptor kinase 1,C0LGS0,EC 2.7.10.1,EC 2.7.11.1,ELG,F17M5.190,NM_119497.5,NP_567920,NP_567920.1,Protein ELONGATED,Q94F62,Q9SZC0,SERK3,Somatic embryogenesis receptor kinase 3,Somatic embryogenesis receptor-like kinase 3,ath:AT4G33430
EDS1	3702.Q9SU72	Protein EDS1; Positive regulator of basal resistance and of effector- triggered immunity specifically mediated by TIR-NB-LRR (TNL) resistance proteins. Disruption by bacterial effector of EDS1-TIR-NB-LRR resistance protein interactions constitutes the first step in resistance activation. Acts redundantly with salicylic acid to regulate resistance gene-mediated signaling. Triggers early plant defenses and hypersensitive response independently of PAD4, and then recruits PAD4 to potentiate plant defenses through the accumulation of salicylic acid. Nuclear localization is essential for bas [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=623:Pfam_Lipase_3(54|197)+	823964,AT3G48090,Alpha/beta-Hydrolases superfamily protein,At3g48090,B9DFM5,EDS1,EDS1-90,EDS1A,EDS1C_ARATH,Enhanced disease susceptibility 1,Enhanced disease susceptibility 1 protein,NM_001035752.1,NM_114678.4,NP_001030829.1,NP_190392,NP_190392.1,Protein EDS1,Q9SU72,T17F15.40,ath:AT3G48090
F19I3.16	3702.O64757	Disease resistance family protein / LRR family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=905:SIGNAL(1|28)+Pfam_LRRNT_2(34|72)+LRR(111|134)+Pfam_LRR_1(138|160)+LRR(220|243)+LRR(246|270)+LRR(319|345)+LRR(372|395)+LRR(396|420)+LRR(662|686)+LRR(734|758)+LRR(832|855)+LRR(856|879)+	818058,AT2G34930,At2g34930,F19I3.16,F19I3_16,NM_129046.3,NP_181039,NP_181039.1,O64757,O64757_ARATH,Putative disease resistance protein,ath:AT2G34930
F21B7.27	3702.F4I2G1	Ankyrin repeat family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=616:ANK(71|100)+ANK(105|134)+ANK(145|174)+ANK(179|208)+ANK(214|244)+ANK(248|277)+ANK(286|315)+ANK(320|349)+ANK(356|386)+Pfam_PGG(442|553)+TRANS(563|585)+TRANS(590|607)+	839438,AT1G03670,Ankyrin repeat family protein,At1g03670,F21B7.27,F4I2G1,F4I2G1_ARATH,NM_100246.1,NP_171863,NP_171863.1,ath:AT1G03670
FER	3702.Q9SCZ4	Receptor-like protein kinase FERONIA; Receptor-like protein kinase that mediates the female control of male gamete delivery during fertilization, including growth cessation of compatible pollen tubes ensuring a reproductive isolation barriers, by regulating MLO7 subcellular polarization upon pollen tube perception in the female gametophyte synergids. Required for cell elongation during vegetative growth, mostly in a brassinosteroids- (BR-) independent manner. Acts as an upstream regulator for the Rac/Rop-signaling pathway that controls ROS-mediated root hair development. Seems to regul [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=895:SIGNAL(1|27)+Pfam_Malectin(35|190)+Pfam_Malectin(225|379)+TRANS(447|469)+Pfam_Pkinase_Tyr(536|807)+	2.7.11.1,6A5B,6A5E,824318,A7U523,AAK1,AT3G51550,At3g51550,F26O13.190,FER,FERON_ARATH,NM_115014.5,NP_190723,NP_190723.1,Protein SIRENE,Q0WM33,Q94C93,Q9M4G2,Q9SCZ4,Receptor-like protein kinase FERONIA,SIR,SRN,ath:AT3G51550
GSO2	3702.Q9FIZ3	LRR receptor-like serine/threonine-protein kinase GSO2; Together with GSO1, receptor-like serine/threonine-kinase required during the development of the epidermal surface in embryos and cotyledons. Involved in the nuclear division phase of megagametogenesis. In coordination with GSO2, regulates root growth through control of cell division and cell fate specification. Controls seedling root growth by modulating sucrose response after germination. Receptor of the peptide hormones CIF1 and CIF2 required for contiguous Casparian strip diffusion barrier formation in roots. Belongs to the pr [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=1252:SIGNAL(1|22)+Pfam_LRRNT_2(27|69)+LRR(143|166)+LRR(167|190)+LRR(191|215)+LRR(239|263)+LRR(287|310)+LRR(311|335)+LRR(360|384)+LRR(408|432)+LRR(480|504)+Pfam_LRR_8(600|660)+LRR(671|695)+LRR(743|767)+LRR(792|816)+TRANS(876|898)+Pfam_Pkinase_Tyr(948|1232)+	2.7.11.1,834499,AT5G44700,At5g44700,EDA23,GSO2,GSO2_ARATH,K23L20.3,Leucine-rich repeat transmembrane protein kinase,NM_123837.3,NP_199283,NP_199283.1,Protein EMBRYO SAC DEVELOPMENT ARREST 23,Protein GASSHO 2,Q9FIZ3,ath:AT5G44700
LAZ5	3702.O48573	Disease resistance protein LAZ5; TIR-NB-LRR receptor-like protein that may play a role in plant innate immunity. May trigger hypersensitive programmed cell death in response to pathogen attack. Involved in tolerance to tobacco ringspot virus (TRSV).	https://smart.embl.de/smart/DDvec.cgi?smart=1170:TIR(11|146)+Pfam_NB-ARC(258|535)+Pfam_LRR_3(679|698)+	3.2.2.6,834517,AT5G44870,At5g44870,Disease resistance protein LAZ5,K21C13.4,LAZ5,LAZ5_ARATH,NM_123855.2,NP_199300,NP_199300.1,O48573,Protein LAZARUS 5,Protein TOLERANCE TO TOBACCO RINGSPOT VIRUS 1,T19K24.2,TTR1,ath:AT5G44870
MDIS2	3702.C0LGQ4	Protein MALE DISCOVERER 2; Involved in the pollen tube perception of the female signal by binding an unidentified female attractant. May be involved in the regulation of root hairs development.	https://smart.embl.de/smart/DDvec.cgi?smart=678:SIGNAL(1|25)+Pfam_LRRNT_2(26|68)+Pfam_LRR_1(119|142)+TRANS(320|342)+Pfam_Pkinase(395|648)+	2.7.11.1,827598,AT4G18640,At4g18640,AtMDIS2,C0LGQ4,F28A21.50,MDIS2,MDIS2_ARATH,MRH1,NM_117980.5,NP_193599,NP_193599.3,Protein MALE DISCOVERER 2,Protein MORPHOGENESIS OF ROOT HAIR 1,Q9M0L9,Q9SN49,ath:AT4G18640
MIK2	3702.Q8VZG8	MDIS1-interacting receptor like kinase 2; Involved in the pollen tube perception of the female signal. Belongs to the protein kinase superfamily. Ser/Thr protein kinase family.	https://smart.embl.de/smart/DDvec.cgi?smart=1045:TRANS(28|47)+Pfam_LRRNT_2(49|91)+LRR(165|189)+LRR(237|260)+LRR(261|285)+LRR(357|381)+LRR(501|525)+LRR(549|573)+LRR(597|620)+LRR(621|644)+LRR(645|678)+TRANS(710|732)+Pfam_Pkinase_Tyr(776|1044)+	2.7.11.1,826456,AT4G08850,At4g08850,AtMIK2,B9DG82,MDIS1-interacting receptor like kinase 2,MIK2,MIK2_ARATH,NM_116955.5,NM_179207.3,NP_192625.4,NP_849538,NP_849538.2,Q8H7F4,Q8VZG8,Q9LCZ6,T32A17.160,ath:AT4G08850
MVA3.30	3702.Q9FN83	Disease resistance protein (TIR-NBS-LRR class).	https://smart.embl.de/smart/DDvec.cgi?smart=1295:TIR(17|149)+Pfam_NB-ARC(189|462)+Pfam_LRR_3(604|623)+LRR(763|786)+LRR(831|855)+LRR(880|903)+LRR(978|1000)+LRR(1001|1025)+	831634,AT5G17680,At5g17680,Disease resistance protein (TIR-NBS-LRR class),Disease resistance protein-like,MVA3.30,MVA3_30,NM_001343517.1,NP_001331467,NP_001331467.1,Q9FN83,Q9FN83_ARATH,ath:AT5G17680
