PN40024_genotype_ENSMBL_ID	UniProt	GCA_030704535.1_NCBI_ID	Chromosome	Start	End	Transcription_pattern	Athaliana_TAIR10_homolog	homology	TAIR10	Athal.common.NAme	locus_tag
Vitvi00g00444	F6HJP6	VIT_00s0327g00020	Un	4628884	4634768	EED EEE EEE	NP_567007.1 Peptidase M28 family protein [Arabidopsis thaliana]	64.427	NP_567007.1	AMP1	AT3G54720
Vitvi00g00447	F6I2Y8	VIT_15s0048g02510	Un	4644199	4646970	EEE EEE EEE	NP_172801.1 glyceraldehyde-3-phosphate dehydrogeNAse C2 [Arabidopsis thaliana]	42.391	NP_172801.1	GAPC2	AT1G13440
Vitvi00g00615	B6VJZ4	rps4	Un	5716957	5718045	EEE EEE EEE	NP_178806.1 Alpha-L RNA-binding motif/Ribosomal protein S4 family protein [Arabidopsis thaliana]	84.973	NP_178806.1		AT2G07734
Vitvi00g00786	F6HDB8	VIT_00s0556g00010	Un	8057277	8063662	EEE EEE EEE	NP_201314.3 DNAse I-like superfamily protein [Arabidopsis thaliana]	63.35	NP_201314.3	BST1	AT5G65090
Vitvi00g00859	F6HJT5	VIT_00s0632g00010	Un	8870986	8872321	EEE EEE DEE	NP_182021.1 Integrase-type DNA-binding superfamily protein [Arabidopsis thaliana]	50.532	NP_182021.1		AT2G44940
Vitvi00g00918	D7ST29	VIT_00s0760g00010	Un	10093825	10095092	EEE EEE EEE	NP_201073.1 H[+]-ATPase 11 [Arabidopsis thaliana]	61.538	NP_201073.1	HA11	AT5G62670
Vitvi00g01462	D7TRU5	VIT_00s0385g00020	Un	3889310	3893555	EEE EEE EEE	NP_176361.2 terpene synthase 14 [Arabidopsis thaliana]	42.703	NP_176361.2	TPS14	AT1G61680
Vitvi00g01805	F6HWQ6	VIT_00s0366g00020	Un	5369174	5372989	EEE EUE EEE	NP_567679.2 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 10 [Arabidopsis thaliana]	55.47	NP_567679.2	CRK10	AT4G23180
Vitvi00g04001	D7T4K3	VIT_13s0067g01690	Un	92938	96133	EEE EEE EEE	NP_565926.1 S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Arabidopsis thaliana]	36.522	NP_565926.1		AT2G40280
Vitvi00g04005	F6I1Z5	VIT_00s0169g00080	Un	243499	245807	EUE EEE EUU	NP_174429.1 SH3 domain-containing protein [Arabidopsis thaliana]	68.0	NP_174429.1		AT1G31440
