gene,baseMean,log2FC_MLE,log2FC_apeglm,lfcSE_apeglm,statistic_zero_null,pvalue_zero_null,padj_zero_null,pvalue_threshold_test,padj_threshold_test,FSOS_svalue,DE_primary_threshold_test,DE_zero_null_plus_effect_filter,DE_primary,leading_signal,genotype,timing,Athal.common.NAme,TAIR10,Athaliana_TAIR10_homolog
Vitvi10g01773,1399.18702729546,1.7718711317406,1.72531393726599,0.218642891015213,8.25519890641149,1.51649468586163e-16,2.4259976026549997e-14,0.0001614684297742,0.0067366071044085,6.24868066347952e-05,True,True,True,True,Rpv12+1,24,HB52,NP_200209.1,NP_200209.1 homeobox protein 52 [Arabidopsis thaliana]
Vitvi07g01929,5654.07266981313,1.84525514336735,1.78119947119827,0.252881321374351,7.4653635195263,8.3069953958869e-14,1.6986397619267397e-11,0.0003135024185101,0.0222246877122136,0.0001170215237082,True,True,True,True,Rpv12+1,6,ATAF1,NP_171677.1,NP_171677.1 NAC (No Apical Meristem) domain transcriptioNAl regulator superfamily protein [Arabidopsis thaliana]
Vitvi18g00250,5340.18558598408,1.36447934959581,1.31630694441449,0.194481910872761,7.11013763453621,1.15927288581439e-12,1.95609059173535e-10,0.0287652801176611,0.671568972785782,0.010817212311678,False,True,True,False,Rpv12+1,6,ATAF1,NP_171677.1,NP_171677.1 NAC (No Apical Meristem) domain transcriptioNAl regulator superfamily protein [Arabidopsis thaliana]
Vitvi01g04002,109.758549760155,1.92220602508196,1.85319430038834,0.28255493563,6.80986564444029,9.76899366779472e-12,1.01380056420706e-09,0.0005432167401074,0.024973649744235,0.0001882288958305,True,True,True,True,Rpv12+1,0,,NP_563681.1,"NP_563681.1 Transcription factor TFIIE, alpha subunit [Arabidopsis thaliana]"
Vitvi15g04472,248.746698160711,2.58626704124877,2.47536026860154,0.396711524830306,6.5943675938098,4.2707235913474595e-11,3.91128425265561e-09,2.62057349091855e-05,0.0020963786528727,1.31195214646027e-05,True,True,True,True,Rpv12+1,0,MYB102,NP_567626.1,NP_567626.1 MYB-like 102 [Arabidopsis thaliana]
Vitvi03g01059,2097.30477369917,1.34070213091011,1.28238932482102,0.222874667524735,6.10796549746803,1.0090915991945e-09,5.08384062121791e-08,0.0603108444821701,0.759957312528462,0.0206745183244086,False,True,True,False,Rpv12+1,24,SVP,NP_179840.2,NP_179840.2 K-box region and MADS-box transcription factor family protein [Arabidopsis thaliana]
Vitvi11g00838,307.469287961909,2.5190501352933,2.3793309099452,0.442558383384389,6.05096049931565,1.43984753251375e-09,9.09540610538686e-08,0.0001316929013128,0.0082115403492262,0.0001320993372269,True,True,True,True,Rpv12+1,0,,NP_974640.1,NP_974640.1 sequence-specific DNA binding transcription factor [Arabidopsis thaliana]
Vitvi10g00519,40.1356309002881,6.99567601930277,6.44772834704873,1.15562101751076,5.87203671368924,4.30473377106301e-09,1.90739966158109e-07,2.41875192795141e-07,2.33476500676313e-05,1.18495834088339e-07,True,True,True,True,Rpv12+1,24,HB-3,NP_180944.2,NP_180944.2 homeobox-3 [Arabidopsis thaliana]
Vitvi18g00725,3379.30464622819,1.55383435422858,1.48141985477274,0.266930440516011,5.89258063808056,3.8021044957639305e-09,2.14344728507186e-07,0.0178513626465752,0.318630814182966,0.0084617909816049,False,True,True,False,Rpv12+1,0,MYB73,NP_195443.1,NP_195443.1 myb domain protein 73 [Arabidopsis thaliana]
Vitvi08g00719,44.6657059180462,4.260190436569,3.97346923591502,0.811107280984813,5.72410631899054,1.03979621236535e-08,5.36804092235749e-07,5.92092370239769e-06,0.0005934308165939,1.55962994763103e-05,True,True,True,True,Rpv12+1,0,,NP_001331183.1,NP_001331183.1 transcription factor bHLH140-like protein [Arabidopsis thaliana]
Vitvi01g04005,93.5308762632496,1.70205297711989,1.61297506440291,0.302947669977115,5.68846523345034,1.28186202052854e-08,6.41868958084171e-07,0.0094792680335096,0.209964582970855,0.0046509453000987,False,True,True,False,Rpv12+1,0,,NP_563681.1,"NP_563681.1 Transcription factor TFIIE, alpha subunit [Arabidopsis thaliana]"
Vitvi18g00605,50.2129870150384,3.59261291989147,3.34308601133347,0.683993585387076,5.59201170446226,2.24453685362882e-08,1.05326495097142e-06,2.72452552594163e-05,0.0021662876362646,4.31399054995365e-05,True,True,True,True,Rpv12+1,0,MYB84,NP_190538.1,NP_190538.1 myb domain protein 84 [Arabidopsis thaliana]
Vitvi05g00145,835.32086596052,2.22734752615383,2.08945677987069,0.402948561147897,5.64440248524135,1.6575589688005e-08,1.12980904966631e-06,0.0009345944534989,0.0546936382753465,0.0005963142980189,False,True,True,False,Rpv12+1,6,WRKY48,NP_199763.1,NP_199763.1 WRKY DNA-binding protein 48 [Arabidopsis thaliana]
Vitvi17g00102,174.31272894797,2.87465769870323,2.68646004378611,0.534778117084488,5.55310622503668,2.80637416919457e-08,1.27020117421215e-06,0.000146528612451,0.0089348297741433,0.0001240703336258,True,True,True,True,Rpv12+1,0,WRKY75,NP_196812.1,NP_196812.1 WRKY DNA-binding protein 75 [Arabidopsis thaliana]
Vitvi04g01163,150.073730687434,-2.48888665611036,-2.33347386089366,0.45441690533431,-5.50117457332596,3.77269429764769e-08,1.63922569165517e-06,0.0004993738971612,0.0235371563528677,0.0002456542495446,True,True,True,True,Rpv12+1,0,WRKY2,NP_200438.1,NP_200438.1 WRKY DNA-binding protein 2 [Arabidopsis thaliana]
Vitvi02g01717,6084.72571201258,1.05342859612517,1.00187381865523,0.19820518770182,5.44383900181003,5.21443531814305e-08,1.78420595135795e-06,0.39123379302635,1.0,0.138115499389274,False,True,True,False,Rpv12+1,24,HB-2,NP_193411.1,NP_193411.1 homeobox protein 2 [Arabidopsis thaliana]
Vitvi13g01764,473.354168971464,1.73579020673246,1.63454585124831,0.324059821185001,5.44430109502948,5.20091827065764e-08,2.16435511006624e-06,0.0105050226476292,0.225431408891986,0.0054185251715634,False,True,True,False,Rpv12+1,0,FBH4,NP_181757.2,NP_181757.2 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
Vitvi10g01594,1290.82959087235,2.47938412561911,2.32378590329166,0.465311827307656,5.41137475009679,6.25427318609546e-08,2.53421503639223e-06,0.0006214957580922,0.0279301010420722,0.0003650477914181,True,True,True,True,Rpv12+1,0,ERF4,NP_188139.1,NP_188139.1 ethylene responsive element binding factor 4 [Arabidopsis thaliana]
Vitvi07g01847,1531.93613638006,-2.33240876907692,-2.17968557712179,0.442868081916501,-5.37089142544252,7.83483731592053e-08,2.55993437818326e-06,0.0010768761282541,0.0326419497555051,0.0005954148715561,True,True,True,True,Rpv12+1,24,WRKY51,NP_568995.2,NP_568995.2 WRKY DNA-binding protein 51 [Arabidopsis thaliana]
Vitvi15g01543,143.999889747756,-1.9545550619621,-1.81801945751548,0.383053661716363,-5.19910622684607,2.00249066488607e-07,5.94482814831746e-06,0.0055567204738531,0.125584032865084,0.0026877641398451,False,True,True,False,Rpv12+1,24,NTL9,NP_567986.3,NP_567986.3 NAC transcription factor-like 9 [Arabidopsis thaliana]
Vitvi17g00046,509.71550454995,1.87921217075139,1.75675202922856,0.370239518474145,5.23382292455884,1.66039527443201e-07,5.98909194449592e-06,0.0071684924369532,0.170995250617811,0.004504026623685,False,True,True,False,Rpv12+1,0,,NP_851163.1,NP_851163.1 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
