"gene","transformed_mean_difference_historical","statistic_historical","pvalue_historical","padj_historical","DE_historical","direction_historical","genotype","timing","historical_contrast_count","historical_rank","UniProt","GCA_030704535.1_NCBI_ID","Chromosome","Start","End","Transcription_pattern","Athaliana_TAIR10_homolog","homology","TAIR10","Athal.common.NAme","locus_tag","VITVI_ID","Athal_ID","Athal_gene_name"
"Vitvi14g02876",-3.25438735650819,-86.4148913241871,1.07500201795701e-07,0.0009377242602639,TRUE,"Down","Rpv12",6,9,1,"F6I1Z9","VIT_00s0333g00050","14",20859459,20860259,"EDE EEE EDE","NP_568699.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]",44,"NP_568699.1","DIR1","AT5G48485","VIT_00s0333g00050","AT5G48485","DIR1"
"Vitvi02g04134",-2.31397883742107,-43.8342390561923,1.61954130152734e-06,0.00423817763196689,TRUE,"Down","Rpv12",24,9,2,"F6HWU3","VIT_00s0561g00030","2",4593989,4595036,"EDD EDE EDD","NP_195515.2 tRNA/rRNA methyltransferase (SpoU) family protein [Arabidopsis thaliana]",58.333,"NP_195515.2",,"AT4G38020","VIT_00s0561g00030","AT4G38020",
"Vitvi02g04135",-2.23159724045571,-38.8222643637144,2.62971825427832e-06,0.0052217992531381,TRUE,"Down","Rpv12",24,9,3,"D7TGK7","VIT_12s0035g01890","2",4595193,4595804,"EDD EDE EDD","a match not found in blastP with e-value<0.000001",,,,,"VIT_12s0035g01890",,
"Vitvi05g02156",-3.77770243246038,-38.8848220460749,2.61287340777023e-06,0.00569802368399492,TRUE,"Down","Rpv12",0,9,4,"F6HN60","VIT_05s0165g00160","5",21882211,21884429,"DEE EEE UEE","NP_001328395.1 Ankyrin repeat family protein [Arabidopsis thaliana]",26.917,"NP_001328395.1",,"AT4G03500","VIT_05s0165g00160","AT4G03500",
"Vitvi01g01030",-2.5455088529436,-32.55790291268,5.30638936554043e-06,0.00727935511525236,TRUE,"Down","Rpv12",6,9,5,"A5AIN5","VIT_01s0026g02620","1",12563900,12565746,"EDE EEE EEE","NP_849868.1 expansin A1 [Arabidopsis thaliana]",82.8,"NP_849868.1","EXPA1","AT1G69530","VIT_01s0026g02620","AT1G69530","EXPA1"
"Vitvi05g00292",-1.34532050781149,-22.746676684847,2.21260719731284e-05,0.00862617155474594,TRUE,"Down","Rpv12+1",6,9,6,"D7T6D5","VIT_05s0020g01270","5",2999864,3001593,"EEE EDE EEE","NP_567477.1 ARM repeat superfamily protein [Arabidopsis thaliana]",57.616,"NP_567477.1",,"AT4G15830","VIT_05s0020g01270","AT4G15830",
"Vitvi08g01335",-2.27468746629087,-21.0130615410539,3.03155238516845e-05,0.00881075358638077,TRUE,"Down","Rpv12+1",6,9,7,"D7THA7","VIT_08s0007g01910","8",16000607,16003832,"EEE EDE EEE","NP_565881.1 Laccase/Diphenol oxidase family protein [Arabidopsis thaliana]",75.769,"NP_565881.1","IRX12","AT2G38080","VIT_08s0007g01910","AT2G38080","IRX12"
"Vitvi18g00510",-2.49088319118769,-23.1922145226709,2.04841834238164e-05,0.0089267587813967,TRUE,"Down","Rpv12",6,9,8,"F6H120","VIT_18s0001g07340","18",5588659,5589978,"EDE EEE EDE","NP_563851.1 Eukaryotic aspartyl protease family protein [Arabidopsis thaliana]",66.667,"NP_563851.1",,"AT1G09750","VIT_18s0001g07340","AT1G09750",
"Vitvi10g00774",-0.971924207350017,-19.3092898540269,4.23994618225967e-05,0.00916596893651312,FALSE,"Not_DE","Rpv12+1",6,9,9,"D7TK45","VIT_10s0003g03250","10",10166789,10170187,"EDE EEE EEE","NP_564344.1 choice-of-anchor C domain protein, putative (Protein of unknown function, DUF642) [Arabidopsis thaliana]",75.068,"NP_564344.1",,"AT1G29980","VIT_10s0003g03250","AT1G29980",
"Vitvi05g01388",-2.29017372872535,-18.0896416842824,5.49079271215929e-05,0.00950634767054327,TRUE,"Down","Rpv12+1",6,9,10,"D7U8U2","VIT_05s0124g00100","5",20781232,20782465,"EDE EDE EDE","NP_192630.2 homeobox protein [Arabidopsis thaliana]",58.824,"NP_192630.2",,"AT4G08910","VIT_05s0124g00100","AT4G08910",
