"PC","gene","contribution_pct","loading","TAIR10_locus_tag","Athal_common_name","Athal_homology_pct","Athal_TAIR10_homolog_description"
1,"Vitvi11g00518",0.181632318337376,-0.0426183432734517,"AT3G22142","",46.395,"NP_001078199.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]"
1,"Vitvi10g01505",0.168294413099935,-0.0410237020635553,"AT3G57030","",49.689,"NP_191262.2 Calcium-dependent phosphotriesterase superfamily protein [Arabidopsis thaliana]"
1,"Vitvi10g00667",0.166747543067516,-0.0408347331407364,"AT1G29670","",50.278,"NP_174260.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]"
1,"Vitvi01g00816",0.165398556655889,-0.0406692213665185,"AT1G24020","MLP423",56.209,"NP_173813.1 MLP-like protein 423 [Arabidopsis thaliana]"
1,"Vitvi04g00501",0.164606188314794,-0.0405716881969181,"AT2G45180","",51.111,"NP_566036.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]"
1,"Vitvi09g00264",0.159536811699771,-0.0399420594987003,"AT3G16370","",69.817,"NP_188258.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]"
1,"Vitvi15g00714",0.157055709881344,-0.0396302548416414,"AT4G00165","",66.667,"NP_680546.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]"
1,"Vitvi07g01844",0.15624013052912,-0.0395272223320992,"AT4G39490","CYP96A10",55.405,"NP_001031814.1 cytochrome P450, family 96, subfamily A, polypeptide 10 [Arabidopsis thaliana]"
1,"Vitvi08g00853",0.153992148386609,-0.0392418333397676,"AT2G38540","LP1",54.622,"NP_181388.1 lipid transfer protein 1 [Arabidopsis thaliana]"
1,"Vitvi07g04337",0.152405853777987,-0.0390391923300146,"","",NA,"a match not found in blastP with e-value<0.000001"
