geneID,degree_centrality,is_significant_module_anchor,TAIR10,Athal.common.NAme,locus_tag,homology
Vitvi09g01317,1415,True,NP_566677.1,MSR1,AT3G21190,60.047
Vitvi06g00947,1409,True,NP_190006.2,NEK6,AT3G44200,53.644
Vitvi05g01366,1399,True,NP_188317.3,CTL2,AT3G16920,78.947
Vitvi18g01148,1350,True,NP_174115.1,ABCB13,AT1G27940,71.195
Vitvi18g01098,1322,True,NP_177697.1,GH9B7,AT1G75680,72.676
Vitvi11g00480,1321,True,NP_567893.1,,AT4G32330,41.584
Vitvi08g01168,1303,True,NP_568102.1,,AT5G02540,73.27
Vitvi02g00118,1298,True,NP_194113.1,,AT4G23820,74.664
Vitvi14g01744,1291,True,NP_196968.2,SK13,AT5G14640,88.862
Vitvi06g01398,1288,True,NP_197666.1,CSLA02,AT5G22740,79.963
Vitvi12g00440,1274,True,NP_178637.2,,AT2G05790,76.6
Vitvi06g01596,1270,True,NP_176113.1,,AT1G58170,67.55
Vitvi18g00881,1260,True,NP_187982.1,,AT3G13690,49.553
Vitvi18g01022,1260,True,NP_568001.1,BGAL3,AT4G36360,71.598
Vitvi13g01731,1242,True,NP_196136.1,CEV1,AT5G05170,85.517
Vitvi05g00542,1239,True,NP_188918.2,NET1A,AT3G22790,45.934
Vitvi08g01523,1229,True,NP_195996.1,ATCSLA09,AT5G03760,80.863
Vitvi04g00735,1226,True,NP_194887.1,CSLC5,AT4G31590,82.014
Vitvi13g00614,1222,True,NP_195015.1,GATA9,AT4G32890,35.952
Vitvi02g01236,1220,True,NP_174446.2,ROPGEF14,AT1G31650,63.276
Vitvi01g00258,1218,True,NP_173922.1,,AT1G25510,66.091
Vitvi07g01732,1214,True,NP_192172.1,,AT4G02630,68.699
Vitvi05g00423,1213,True,NP_187266.1,,AT3G06150,55.781
Vitvi11g00398,1212,True,NP_180259.1,ABCG32,AT2G26910,77.551
Vitvi12g00721,1211,True,NP_193009.1,FLA2,AT4G12730,60.763
Vitvi07g00400,1210,True,NP_192119.2,,AT4G02100,67.023
Vitvi19g00735,1209,True,NP_001032080.1,,AT5G56040,69.581
Vitvi01g00052,1202,True,NP_001078720.1,APE2,AT5G46110,68.0
Vitvi14g01735,1199,True,NP_197300.1,TRP1,AT5G17990,75.221
Vitvi04g00600,1194,True,NP_568465.1,,AT5G25100,82.942
Vitvi03g00274,1191,True,NP_201279.1,CESA6,AT5G64740,72.222
Vitvi06g00575,1186,True,NP_187740.2,,AT3G11320,83.224
Vitvi06g00459,1183,True,NP_190239.1,SOS5,AT3G46550,59.302
Vitvi14g00114,1179,True,NP_001190407.1,TRM8,AT5G26910,36.888
Vitvi14g02043,1178,True,NP_568316.1,BCCP2,AT5G15530,56.277
Vitvi10g00949,1169,True,NP_001320016.1,GHR1,AT4G20940,71.265
Vitvi06g01830,1167,True,NP_001030803.1,LTPG2,AT3G43720,48.387
Vitvi18g01235,1166,True,NP_175319.2,TBL7,AT1G48880,61.979
Vitvi03g00251,1165,True,NP_567982.1,,AT4G35320,53.409
Vitvi09g00018,1165,True,NP_175787.1,PME1,AT1G53840,61.301
Vitvi13g01855,1165,True,NP_175933.1,,AT1G55360,70.702
Vitvi19g00280,1164,True,NP_200249.1,THE1,AT5G54380,75.753
Vitvi18g00008,1161,True,NP_201279.1,CESA6,AT5G64740,73.059
Vitvi16g01418,1157,True,NP_190491.1,,AT3G49220,64.169
Vitvi07g00351,1154,True,NP_192141.1,,AT4G02320,53.427
Vitvi18g00697,1154,True,NP_195453.1,CYP81D8,AT4G37370,50.699
Vitvi07g00064,1137,True,NP_001325882.1,TRM5,AT3G63430,42.907
Vitvi05g00006,1135,True,NP_001189833.1,,AT3G06880,47.414
Vitvi18g00022,1129,True,NP_565768.1,GALS1,AT2G33570,68.862
