"cell","rank","gene_id","log2diff","direction","pct_of_total_AggrDiv","cum_pct","Athal.common.NAme","Athaliana_TAIR10_homolog","homology"
"Rpv12@0h (FDR=0.024)",1,"Vitvi18g04752",-12.611,"DOWN_in_genotype",0.29,0.29,NA,"NP_192938.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]",35.281
"Rpv12@0h (FDR=0.024)",2,"Vitvi09g01214",11.815,"UP_in_genotype",0.26,0.55,NA,"NP_566892.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]",46.223
"Rpv12@0h (FDR=0.024)",3,"Vitvi08g01235",-10.877,"DOWN_in_genotype",0.22,0.77,"LBO1","NP_566685.1 2-oxoglutarate (2OG) and Fe(II)-dependent oxygeNAse superfamily protein [Arabidopsis thaliana]",40.116
"Rpv12@0h (FDR=0.024)",4,"Vitvi18g02720",-10.861,"DOWN_in_genotype",0.22,0.98,"CYP82C4","NP_194922.1 cytochrome P450, family 82, subfamily C, polypeptide 4 [Arabidopsis thaliana]",54.528
"Rpv12@0h (FDR=0.024)",5,"Vitvi12g04548",10.774,"UP_in_genotype",0.21,1.2,NA,"NP_174809.1 kiNAse family with leucine-rich repeat domain-containing protein [Arabidopsis thaliana]",47.187
"Rpv12@0h (FDR=0.024)",6,"Vitvi05g01579",10.173,"UP_in_genotype",0.19,1.39,"EP3","NP_191010.1 homolog of carrot EP3-3 chitiNAse [Arabidopsis thaliana]",64.835
"Rpv12@0h (FDR=0.024)",7,"Vitvi18g04003",-10.161,"DOWN_in_genotype",0.19,1.58,"WAKL4","NP_001319018.1 wall associated kiNAse-like 4 [Arabidopsis thaliana]",45.559
"Rpv12@0h (FDR=0.024)",8,"Vitvi07g04167",10.056,"UP_in_genotype",0.19,1.76,NA,"NP_001328443.1 Barwin-related endoglucaNAse [Arabidopsis thaliana]",52.756
"Rpv12@0h (FDR=0.024)",9,"Vitvi18g02180",-9.769,"DOWN_in_genotype",0.18,1.94,NA,"NP_197270.1 disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]",39.85
"Rpv12@0h (FDR=0.024)",10,"Vitvi12g04076",-9.613,"DOWN_in_genotype",0.17,2.11,NA,"NP_001328395.1 Ankyrin repeat family protein [Arabidopsis thaliana]",37.069
"Rpv12@0h (FDR=0.024)",11,"Vitvi12g02565",-9.17,"DOWN_in_genotype",0.15,2.26,NA,"NP_566036.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]",62.222
"Rpv12@0h (FDR=0.024)",12,"Vitvi06g04173",-9.146,"DOWN_in_genotype",0.15,2.42,NA,"NP_180479.1 NAD(P)-binding Rossmann-fold superfamily protein [Arabidopsis thaliana]",66.406
"Rpv12@0h (FDR=0.024)",13,"Vitvi10g01679",-8.965,"DOWN_in_genotype",0.15,2.56,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12@0h (FDR=0.024)",14,"Vitvi18g04176",-8.937,"DOWN_in_genotype",0.15,2.71,"PAB8","NP_564554.1 poly(A) binding protein 8 [Arabidopsis thaliana]",77.778
"Rpv12@0h (FDR=0.024)",15,"Vitvi12g04108",8.889,"UP_in_genotype",0.15,2.86,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12@0h (FDR=0.024)",16,"Vitvi12g04607",8.852,"UP_in_genotype",0.14,3,"RPS2","NP_194339.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",25.328
"Rpv12@0h (FDR=0.024)",17,"Vitvi12g02066",-8.784,"DOWN_in_genotype",0.14,3.14,NA,"NP_194449.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",28.821
"Rpv12@0h (FDR=0.024)",18,"Vitvi10g00667",8.757,"UP_in_genotype",0.14,3.28,NA,"NP_174260.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]",50.278
"Rpv12@0h (FDR=0.024)",19,"Vitvi18g04004",-8.744,"DOWN_in_genotype",0.14,3.42,"WAK2","NP_173549.1 wall-associated kiNAse 2 [Arabidopsis thaliana]",28.662
"Rpv12@0h (FDR=0.024)",20,"Vitvi12g00036",-8.428,"DOWN_in_genotype",0.13,3.55,"GPAT1","NP_563768.1 glycerol-3-phosphate acyltransferase 1 [Arabidopsis thaliana]",58.673
"Rpv12@0h (FDR=0.024)",21,"Vitvi12g04597",8.366,"UP_in_genotype",0.13,3.68,"RPS2","NP_194339.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",29.442
"Rpv12@0h (FDR=0.024)",22,"Vitvi11g01328",-8.311,"DOWN_in_genotype",0.13,3.81,"SSL4","NP_190710.1 strictosidine synthase-like 4 [Arabidopsis thaliana]",34.734
"Rpv12@0h (FDR=0.024)",23,"Vitvi05g04535",8.261,"UP_in_genotype",0.13,3.93,"EP3","NP_191010.1 homolog of carrot EP3-3 chitiNAse [Arabidopsis thaliana]",63.115
"Rpv12@0h (FDR=0.024)",24,"Vitvi13g04528",-8.259,"DOWN_in_genotype",0.13,4.06,NA,"NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",40.472
"Rpv12@0h (FDR=0.024)",25,"Vitvi16g04491",-8.24,"DOWN_in_genotype",0.12,4.18,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1@0h (FDR=0.024)",1,"Vitvi18g04752",-12.256,"DOWN_in_genotype",0.33,0.33,NA,"NP_192938.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]",35.281
"Rpv12+1@0h (FDR=0.024)",2,"Vitvi09g01214",11.009,"UP_in_genotype",0.26,0.59,NA,"NP_566892.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]",46.223
"Rpv12+1@0h (FDR=0.024)",3,"Vitvi08g02249",-10.751,"DOWN_in_genotype",0.25,0.84,NA,"NP_566966.1 Eukaryotic aspartyl protease family protein [Arabidopsis thaliana]",40.94
"Rpv12+1@0h (FDR=0.024)",4,"Vitvi18g02720",-10.56,"DOWN_in_genotype",0.24,1.08,"CYP82C4","NP_194922.1 cytochrome P450, family 82, subfamily C, polypeptide 4 [Arabidopsis thaliana]",54.528
"Rpv12+1@0h (FDR=0.024)",5,"Vitvi07g02362",10.116,"UP_in_genotype",0.22,1.3,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1@0h (FDR=0.024)",6,"Vitvi12g02565",-9.872,"DOWN_in_genotype",0.21,1.52,NA,"NP_566036.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]",62.222
"Rpv12+1@0h (FDR=0.024)",7,"Vitvi18g02180",-9.769,"DOWN_in_genotype",0.21,1.72,NA,"NP_197270.1 disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]",39.85
"Rpv12+1@0h (FDR=0.024)",8,"Vitvi12g04597",9.653,"UP_in_genotype",0.2,1.93,"RPS2","NP_194339.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",29.442
"Rpv12+1@0h (FDR=0.024)",9,"Vitvi12g04076",-9.367,"DOWN_in_genotype",0.19,2.12,NA,"NP_001328395.1 Ankyrin repeat family protein [Arabidopsis thaliana]",37.069
"Rpv12+1@0h (FDR=0.024)",10,"Vitvi08g01235",-9.338,"DOWN_in_genotype",0.19,2.31,"LBO1","NP_566685.1 2-oxoglutarate (2OG) and Fe(II)-dependent oxygeNAse superfamily protein [Arabidopsis thaliana]",40.116
"Rpv12+1@0h (FDR=0.024)",11,"Vitvi13g04325",-9.273,"DOWN_in_genotype",0.19,2.49,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1@0h (FDR=0.024)",12,"Vitvi06g04173",-9.146,"DOWN_in_genotype",0.18,2.67,NA,"NP_180479.1 NAD(P)-binding Rossmann-fold superfamily protein [Arabidopsis thaliana]",66.406
"Rpv12+1@0h (FDR=0.024)",13,"Vitvi10g01679",-8.965,"DOWN_in_genotype",0.17,2.85,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1@0h (FDR=0.024)",14,"Vitvi04g04012",8.886,"UP_in_genotype",0.17,3.02,NA,"NP_197965.1 kiNAse family with leucine-rich repeat domain-containing protein [Arabidopsis thaliana]",42.216
"Rpv12+1@0h (FDR=0.024)",15,"Vitvi11g00460",-8.815,"DOWN_in_genotype",0.17,3.19,"AER","NP_197199.1 alkeNAl reductase [Arabidopsis thaliana]",49.856
"Rpv12+1@0h (FDR=0.024)",16,"Vitvi12g02621",-8.68,"DOWN_in_genotype",0.16,3.35,NA,"NP_191024.1 kinetochore protein [Arabidopsis thaliana]",43.7
"Rpv12+1@0h (FDR=0.024)",17,"Vitvi07g02323",-8.676,"DOWN_in_genotype",0.16,3.51,"CPK13","NP_001326349.1 calcium-dependent protein kiNAse 13 [Arabidopsis thaliana]",78.947
"Rpv12+1@0h (FDR=0.024)",18,"Vitvi12g04548",8.639,"UP_in_genotype",0.16,3.68,NA,"NP_174809.1 kiNAse family with leucine-rich repeat domain-containing protein [Arabidopsis thaliana]",47.187
"Rpv12+1@0h (FDR=0.024)",19,"Vitvi00g04728",-8.54,"DOWN_in_genotype",0.16,3.84,"EMB3113","NP_180936.1 Ribosomal protein S5 family protein [Arabidopsis thaliana]",59.14
"Rpv12+1@0h (FDR=0.024)",20,"Vitvi12g04185",-8.508,"DOWN_in_genotype",0.16,3.99,NA,"NP_001329572.1 G-type lectin S-receptor-like Serine/Threonine-kiNAse [Arabidopsis thaliana]",45.814
"Rpv12+1@0h (FDR=0.024)",21,"Vitvi06g04250",-8.478,"DOWN_in_genotype",0.16,4.15,"RNR2A","NP_189000.1 ribonucleotide reductase 2A [Arabidopsis thaliana]",88.525
"Rpv12+1@0h (FDR=0.024)",22,"Vitvi16g01733",8.364,"UP_in_genotype",0.15,4.3,"XIF","NP_001323601.1 myosin-like protein XIF [Arabidopsis thaliana]",71.282
"Rpv12+1@0h (FDR=0.024)",23,"Vitvi17g00340",8.334,"UP_in_genotype",0.15,4.45,"FAH1","NP_195345.1 ferulic acid 5-hydroxylase 1 [Arabidopsis thaliana]",38.958
"Rpv12+1@0h (FDR=0.024)",24,"Vitvi18g04176",-8.283,"DOWN_in_genotype",0.15,4.6,"PAB8","NP_564554.1 poly(A) binding protein 8 [Arabidopsis thaliana]",77.778
"Rpv12+1@0h (FDR=0.024)",25,"Vitvi12g02066",-8.254,"DOWN_in_genotype",0.15,4.75,NA,"NP_194449.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",28.821
"Rpv12+1+3@0h (FDR=0.034)",1,"Vitvi18g04752",-12.309,"DOWN_in_genotype",0.33,0.33,NA,"NP_192938.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]",35.281
"Rpv12+1+3@0h (FDR=0.034)",2,"Vitvi08g01235",-11.853,"DOWN_in_genotype",0.31,0.64,"LBO1","NP_566685.1 2-oxoglutarate (2OG) and Fe(II)-dependent oxygeNAse superfamily protein [Arabidopsis thaliana]",40.116
"Rpv12+1+3@0h (FDR=0.034)",3,"Vitvi12g04076",-10.458,"DOWN_in_genotype",0.24,0.88,NA,"NP_001328395.1 Ankyrin repeat family protein [Arabidopsis thaliana]",37.069
"Rpv12+1+3@0h (FDR=0.034)",4,"Vitvi18g04003",-10.161,"DOWN_in_genotype",0.23,1.1,"WAKL4","NP_001319018.1 wall associated kiNAse-like 4 [Arabidopsis thaliana]",45.559
"Rpv12+1+3@0h (FDR=0.034)",5,"Vitvi09g01214",10.108,"UP_in_genotype",0.22,1.33,NA,"NP_566892.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]",46.223
"Rpv12+1+3@0h (FDR=0.034)",6,"Vitvi12g04185",-10.07,"DOWN_in_genotype",0.22,1.55,NA,"NP_001329572.1 G-type lectin S-receptor-like Serine/Threonine-kiNAse [Arabidopsis thaliana]",45.814
"Rpv12+1+3@0h (FDR=0.034)",7,"Vitvi18g02180",-9.769,"DOWN_in_genotype",0.21,1.76,NA,"NP_197270.1 disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]",39.85
"Rpv12+1+3@0h (FDR=0.034)",8,"Vitvi12g04108",9.409,"UP_in_genotype",0.19,1.95,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1+3@0h (FDR=0.034)",9,"Vitvi13g04528",-9.096,"DOWN_in_genotype",0.18,2.13,NA,"NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",40.472
"Rpv12+1+3@0h (FDR=0.034)",10,"Vitvi17g00340",9.058,"UP_in_genotype",0.18,2.31,"FAH1","NP_195345.1 ferulic acid 5-hydroxylase 1 [Arabidopsis thaliana]",38.958
"Rpv12+1+3@0h (FDR=0.034)",11,"Vitvi10g00903",8.985,"UP_in_genotype",0.18,2.48,"EMS1","NP_196345.1 Leucine-rich repeat transmembrane protein kiNAse [Arabidopsis thaliana]",37.094
"Rpv12+1+3@0h (FDR=0.034)",12,"Vitvi07g00890",-8.974,"DOWN_in_genotype",0.18,2.66,"RPM1","NP_187360.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",32.585
"Rpv12+1+3@0h (FDR=0.034)",13,"Vitvi12g04548",8.905,"UP_in_genotype",0.17,2.83,NA,"NP_174809.1 kiNAse family with leucine-rich repeat domain-containing protein [Arabidopsis thaliana]",47.187
"Rpv12+1+3@0h (FDR=0.034)",14,"Vitvi05g02170",8.794,"UP_in_genotype",0.17,3,NA,"NP_192259.1 Ankyrin repeat family protein [Arabidopsis thaliana]",31.103
"Rpv12+1+3@0h (FDR=0.034)",15,"Vitvi18g04004",-8.744,"DOWN_in_genotype",0.17,3.17,"WAK2","NP_173549.1 wall-associated kiNAse 2 [Arabidopsis thaliana]",28.662
"Rpv12+1+3@0h (FDR=0.034)",16,"Vitvi12g04597",8.637,"UP_in_genotype",0.16,3.33,"RPS2","NP_194339.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",29.442
"Rpv12+1+3@0h (FDR=0.034)",17,"Vitvi04g04011",-8.509,"DOWN_in_genotype",0.16,3.49,NA,"NP_197965.1 kiNAse family with leucine-rich repeat domain-containing protein [Arabidopsis thaliana]",63.429
"Rpv12+1+3@0h (FDR=0.034)",18,"Vitvi13g02005",-8.481,"DOWN_in_genotype",0.16,3.65,NA,"NP_566888.2 Subtilase family protein [Arabidopsis thaliana]",50.809
"Rpv12+1+3@0h (FDR=0.034)",19,"Vitvi06g04173",-8.461,"DOWN_in_genotype",0.16,3.8,NA,"NP_180479.1 NAD(P)-binding Rossmann-fold superfamily protein [Arabidopsis thaliana]",66.406
"Rpv12+1+3@0h (FDR=0.034)",20,"Vitvi12g02066",-8.449,"DOWN_in_genotype",0.16,3.96,NA,"NP_194449.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",28.821
"Rpv12+1+3@0h (FDR=0.034)",21,"Vitvi18g00422",-8.256,"DOWN_in_genotype",0.15,4.11,"UGT85A1","NP_173656.1 UDP-Glycosyltransferase superfamily protein [Arabidopsis thaliana]",59.494
"Rpv12+1+3@0h (FDR=0.034)",22,"Vitvi16g04491",-8.24,"DOWN_in_genotype",0.15,4.26,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1+3@0h (FDR=0.034)",23,"Vitvi10g04282",8.04,"UP_in_genotype",0.14,4.4,"TPS04","NP_564772.1 terpene synthase 04 [Arabidopsis thaliana]",48.345
"Rpv12+1+3@0h (FDR=0.034)",24,"Vitvi07g04337",-7.973,"DOWN_in_genotype",0.14,4.54,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1+3@0h (FDR=0.034)",25,"Vitvi07g02323",-7.954,"DOWN_in_genotype",0.14,4.68,"CPK13","NP_001326349.1 calcium-dependent protein kiNAse 13 [Arabidopsis thaliana]",78.947
"Rpv12+1+3@6h (FDR=0.024)",1,"Vitvi18g04752",-11.673,"DOWN_in_genotype",0.24,0.24,NA,"NP_192938.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]",35.281
