# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "32" "-p" "-B" "-C" "-t" "gene" "-g" "gene_id" "-a" "/scratch/USERNAME/Athal/TAIR10ref/Arabidopsis_thaliana.TAIR10.63.gff3" "-o" "/scratch/USERNAME/Athal/froussios2019_samples_from1_to14_perGene.counts.tsv" "/scratch/USERNAME/Athal/ERR1811888_Sample_1/ERR1811888_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811889_Sample_2/ERR1811889_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811890_Sample_3/ERR1811890_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811891_Sample_4/ERR1811891_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811892_Sample_5/ERR1811892_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811893_Sample_6/ERR1811893_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811894_Sample_7/ERR1811894_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811900_Sample_8/ERR1811900_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811901_Sample_9/ERR1811901_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811895_Sample_10/ERR1811895_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811896_Sample_11/ERR1811896_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811897_Sample_12/ERR1811897_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811898_Sample_13/ERR1811898_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811899_Sample_14/ERR1811899_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/USERNAME/Athal/ERR1811888_Sample_1/ERR1811888_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811889_Sample_2/ERR1811889_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811890_Sample_3/ERR1811890_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811891_Sample_4/ERR1811891_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811892_Sample_5/ERR1811892_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811893_Sample_6/ERR1811893_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811894_Sample_7/ERR1811894_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811900_Sample_8/ERR1811900_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811901_Sample_9/ERR1811901_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811895_Sample_10/ERR1811895_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811896_Sample_11/ERR1811896_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811897_Sample_12/ERR1811897_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811898_Sample_13/ERR1811898_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811899_Sample_14/ERR1811899_Aligned.sortedByCoord.out.bam
AT1G01010	1	3631	5899	+	2269	558	433	441	188	596	580	400	342	257	371	262	352	84	358
AT1G01020	1	6788	9130	-	2343	1242	1187	1020	281	1264	1235	888	978	828	1111	924	1260	426	1167
AT1G01030	1	11649	13714	-	2066	516	577	540	154	466	353	288	696	536	774	558	675	308	581
AT1G01040	1	23121	31227	+	8107	5400	3974	4897	2287	5353	5696	3996	2457	2381	2261	1977	3724	635	2641
AT1G01050	1	31170	33171	-	2002	2712	2869	2423	731	3047	3031	2074	2417	2182	3030	2487	2961	1065	2990
AT1G01060	1	33365	37871	-	4507	145	112	105	52	60	92	54	2328	2442	2096	1246	2272	620	1330
AT1G01070	1	38444	41017	-	2574	258	279	172	74	296	295	167	467	334	402	314	494	144	530
AT1G01080	1	44970	47059	-	2090	3032	3054	2805	748	1737	1560	1120	2124	1788	2270	1764	2155	1040	1934
AT1G01090	1	47234	49304	-	2071	5565	5698	5013	2002	5018	4305	3386	5316	4946	5936	4795	6628	1892	5483
AT1G01100	1	49909	51210	-	1302	6557	6466	5220	3204	6847	6541	4397	6528	5893	7716	7218	9153	2554	7627
AT1G01110	1	51953	54737	+	2785	244	342	282	146	341	346	219	481	344	466	466	590	266	703
AT1G01120	1	57164	59215	-	2052	3142	3096	2714	862	3528	3732	2663	5342	3534	4272	4870	5181	3177	6210
AT1G01130	1	61905	63811	-	1907	131	144	151	48	278	316	217	158	99	189	178	255	80	241
AT1G01140	1	64166	67774	-	3609	5750	5020	6195	2854	10662	8221	7560	6500	6422	8847	7030	9601	2859	8895
AT1G01150	1	69911	72138	-	2228	13	11	9	2	29	4	16	3	0	4	10	4	0	14
AT1G01160	1	72339	74096	+	1758	2077	2173	1912	874	2114	2021	1485	1637	1386	1917	1643	2082	727	2035
AT1G01170	1	73931	74737	-	807	3711	3759	3612	1227	4275	4179	2701	3325	2923	4395	3635	4476	1400	4021
AT1G01180	1	75390	76845	+	1456	704	865	1030	454	1133	991	873	1026	1009	1337	1156	1380	344	1125
AT1G01190	1	82984	84946	-	1963	205	196	159	76	308	237	167	251	225	255	268	204	88	321
AT1G01200	1	86486	88409	-	1924	49	44	32	20	62	58	30	48	36	48	32	50	26	54
AT1G01210	1	88622	90502	+	1881	1157	993	914	311	1046	1026	679	588	543	667	506	726	275	654
AT1G01220	1	91342	95681	+	4340	2490	2095	2052	792	2203	2330	1575	1294	1139	1324	1110	1518	501	1295
AT1G01225	1	95935	97407	+	1473	237	219	226	87	258	223	180	234	168	193	144	222	82	223
AT1G01230	1	97412	99240	+	1829	2087	2167	1819	586	2304	2211	1420	2122	1776	2239	1931	2640	899	2428
AT1G01240	1	99865	101987	+	2123	3370	3298	2858	1082	3470	3444	1892	3934	3428	3540	2908	3941	1263	3739
AT1G01250	1	104440	105330	-	891	341	372	298	110	261	234	168	515	404	552	448	374	146	368
AT1G01260	1	108946	111699	+	2754	2136	2205	2104	840	3552	3460	2334	1748	1360	1666	1488	2141	748	2149
AT1G01280	1	112263	113947	+	1685	6	6	0	0	2	5	2	0	0	0	0	0	0	0
AT1G01290	1	114202	116407	+	2206	1075	958	954	331	982	973	670	1033	907	1096	916	1123	360	954
AT1G01300	1	116784	118845	+	2062	1213	1433	1046	400	904	750	604	875	688	859	767	868	498	1004
AT1G01305	1	119381	119997	+	617	4	9	9	0	4	11	1	4	0	0	0	0	0	0
AT1G01310	1	120154	121130	+	977	76	38	101	14	76	52	32	44	46	60	34	30	12	33
AT1G01320	1	121067	130577	-	9511	48901	43012	40685	15490	38861	31913	22309	27078	25129	29676	23074	30141	9702	22189
AT1G01335	1	130736	130858	+	123	3	0	2	0	0	0	2	0	0	0	0	0	0	0
AT1G01340	1	132270	135924	-	3655	116	113	93	50	186	169	136	68	42	84	64	74	30	76
AT1G01350	1	136090	138162	+	2073	1665	1550	1399	508	2015	1962	1384	1227	1054	1446	1214	1902	714	1554
AT1G01355	1	138489	139680	+	1192	11	15	6	4	9	17	6	14	10	4	10	12	4	8
AT1G01360	1	141870	143261	+	1392	1177	1113	1172	428	1386	1197	985	1044	1036	1260	977	1152	424	1102
AT1G01370	1	143489	146479	+	2991	138	178	118	80	171	168	97	150	146	156	170	180	56	196
AT1G01380	1	147043	148014	+	972	114	110	64	28	100	118	84	100	93	96	74	108	46	86
