"PC","gene","contribution_pct","loading","TAIR10_locus_tag","Athal_common_name","Athal_homology_pct","Athal_TAIR10_homolog_description"
1,"Vitvi11g00518",0.185230983957544,-0.0430384692987034,"AT3G22142","",46.395,"NP_001078199.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]"
1,"Vitvi10g01505",0.172091761952026,-0.0414839441172155,"AT3G57030","",49.689,"NP_191262.2 Calcium-dependent phosphotriesterase superfamily protein [Arabidopsis thaliana]"
1,"Vitvi10g00667",0.17127605681825,-0.0413855115732849,"AT1G29670","",50.278,"NP_174260.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]"
1,"Vitvi04g00501",0.170353889776989,-0.0412739493842047,"AT2G45180","",51.111,"NP_566036.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]"
1,"Vitvi01g00816",0.168476982411918,-0.0410459477186138,"AT1G24020","MLP423",56.209,"NP_173813.1 MLP-like protein 423 [Arabidopsis thaliana]"
1,"Vitvi09g00264",0.163007882022231,-0.0403742346085013,"AT3G16370","",69.817,"NP_188258.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]"
1,"Vitvi01g00710",0.156750697920306,-0.0395917539293609,"AT1G60590","",65.193,"NP_564758.2 Pectin lyase-like superfamily protein [Arabidopsis thaliana]"
1,"Vitvi07g01844",0.155306009195244,-0.0394088834141801,"AT4G39490","CYP96A10",55.405,"NP_001031814.1 cytochrome P450, family 96, subfamily A, polypeptide 10 [Arabidopsis thaliana]"
1,"Vitvi08g00853",0.155280385335035,-0.0394056322541633,"AT2G38540","LP1",54.622,"NP_181388.1 lipid transfer protein 1 [Arabidopsis thaliana]"
1,"Vitvi15g00714",0.154704070437845,-0.0393324383223117,"AT4G00165","",66.667,"NP_680546.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]"
1,"Vitvi07g04337",0.150064040131781,-0.0387381001253005,"","",NA,"a match not found in blastP with e-value<0.000001"
1,"Vitvi08g01686",0.149770127711761,-0.0387001456989196,"AT3G10185","",60.656,"NP_001319515.1 Gibberellin-regulated family protein [Arabidopsis thaliana]"
1,"Vitvi12g00456",0.146329350924163,-0.0382530196094586,"AT2G04570","",62.5,"NP_178536.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]"
1,"Vitvi13g02005",0.143744941698395,-0.0379137101453281,"AT3G46850","",50.809,"NP_566888.2 Subtilase family protein [Arabidopsis thaliana]"
1,"Vitvi04g00307",0.138729311420833,-0.0372463839078148,"AT2G25810","TIP4;1",68.273,"NP_180152.1 tonoplast intrinsic protein 4;1 [Arabidopsis thaliana]"
1,"Vitvi07g04398",0.136992836758491,-0.0370125433817363,"","",NA,"a match not found in blastP with e-value<0.000001"
1,"Vitvi14g01952",0.136959716812664,-0.0370080689597099,"AT5G37820","NIP4;2",48.954,"NP_198598.1 NOD26-like intrinsic protein 4;2 [Arabidopsis thaliana]"
1,"Vitvi14g00146",0.133137249037188,-0.0364879773401032,"AT1G02816","",56.8,"NP_563664.1 pectinesterase (Protein of unknown function, DUF538) [Arabidopsis thaliana]"
1,"Vitvi06g00119",0.131214928633815,-0.0362236012337005,"AT3G12120","FAD2",75.196,"NP_187819.1 fatty acid desaturase 2 [Arabidopsis thaliana]"
1,"Vitvi07g00741",0.130406615876255,-0.0361118562076577,"AT4G28780","",70.845,"NP_194607.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]"
1,"Vitvi07g00351",0.128816742572261,-0.0358910493817416,"AT4G02320","",53.427,"NP_192141.1 Plant invertase/pectin methylesterase inhibitor superfamily [Arabidopsis thaliana]"
1,"Vitvi11g01075",0.128479029869651,-0.0358439715809578,"AT4G10310","HKT1",48.093,"NP_567354.1 high-affinity K+ transporter 1 [Arabidopsis thaliana]"
1,"Vitvi05g02156",0.127998813282571,0.0357769217908096,"AT4G03500","",26.917,"NP_001328395.1 Ankyrin repeat family protein [Arabidopsis thaliana]"
1,"Vitvi18g00510",0.126325349829954,-0.0355422776183454,"AT1G09750","",66.667,"NP_563851.1 Eukaryotic aspartyl protease family protein [Arabidopsis thaliana]"
1,"Vitvi10g04092",0.12295031325695,0.0350642714535679,"","",NA,"a match not found in blastP with e-value<0.000001"
1,"Vitvi02g00303",0.121890219051681,-0.0349127797592345,"AT2G45970","CYP86A8",75.094,"NP_182121.1 cytochrome P450, family 86, subfamily A, polypeptide 8 [Arabidopsis thaliana]"
1,"Vitvi11g00016",0.121862341306367,-0.0349087870465828,"AT5G20860","",52.302,"NP_001331066.1 Plant invertase/pectin methylesterase inhibitor superfamily [Arabidopsis thaliana]"
1,"Vitvi03g01760",0.121306122326658,-0.0348290284571157,"AT3G46900","COPT2",30.645,"NP_190274.1 copper transporter 2 [Arabidopsis thaliana]"
1,"Vitvi11g00708",0.120327616087307,-0.0346882712292363,"AT4G31840","ENODL15",39.888,"NP_194912.1 early nodulin-like protein 15 [Arabidopsis thaliana]"
1,"Vitvi04g01424",0.11975177975571,-0.0346051700986587,"AT1G80160","GLYI7",56.757,"NP_565231.1 Lactoylglutathione lyase / glyoxalase I family protein [Arabidopsis thaliana]"
1,"Vitvi03g01500",0.118644770433741,-0.0344448501860207,"","",NA,"a match not found in blastP with e-value<0.000001"
1,"Vitvi18g00773",0.118504273960666,-0.0344244497357134,"AT5G67090","",47.266,"NP_569044.1 Subtilisin-like serine endopeptidase family protein [Arabidopsis thaliana]"
1,"Vitvi14g02493",0.117239772712458,-0.0342402939111886,"AT1G02816","",55.782,"NP_563664.1 pectinesterase (Protein of unknown function, DUF538) [Arabidopsis thaliana]"
1,"Vitvi16g01144",0.117139206663727,-0.0342256054239698,"AT5G52860","ABCG8",71.791,"NP_200098.1 ABC-2 type transporter family protein [Arabidopsis thaliana]"
1,"Vitvi09g00593",0.11689379040083,-0.0341897338978867,"AT1G15360","SHN1",66.341,"NP_172988.1 Integrase-type DNA-binding superfamily protein [Arabidopsis thaliana]"
1,"Vitvi14g01381",0.115872882711574,-0.0340401061560587,"","",NA,"a match not found in blastP with e-value<0.000001"
1,"Vitvi10g01616",0.115655038990252,-0.0340080930059673,"AT1G11925","",55.952,"NP_683300.2 Stigma-specific Stig1 family protein [Arabidopsis thaliana]"
1,"Vitvi06g00639",0.115010746196668,-0.0339132343188715,"AT3G51860","CAX3",72.727,"NP_190754.2 cation exchanger 3 [Arabidopsis thaliana]"
1,"Vitvi05g00067",0.114300418783916,-0.0338083449438028,"AT1G70880","",32.743,"NP_177244.1 Polyketide cyclase/dehydrase and lipid transport superfamily protein [Arabidopsis thaliana]"
1,"Vitvi03g00312",0.114223966189366,0.0337970362886105,"","",NA,"a match not found in blastP with e-value<0.000001"
1,"Vitvi11g01098",0.113980687505515,-0.0337610259775255,"AT2G06925","PLA2-ALPHA",71.333,"NP_565337.1 Phospholipase A2 family protein [Arabidopsis thaliana]"
1,"Vitvi03g01388",0.113504799528429,-0.0336904733609412,"AT2G21140","PRP2",45.215,"NP_179710.1 proline-rich protein 2 [Arabidopsis thaliana]"
1,"Vitvi14g00029",0.113495278919805,-0.0336890603786755,"AT1G11910","APA1",63.333,"NP_172655.1 aspartic proteiNAse A1 [Arabidopsis thaliana]"
1,"Vitvi13g01913",0.113125883173802,-0.0336341914090115,"AT5G59320","LTP3",36.842,"NP_568905.1 lipid transfer protein 3 [Arabidopsis thaliana]"
1,"Vitvi05g01950",0.112778935136982,0.0335825751152264,"","",NA,"a match not found in blastP with e-value<0.000001"
1,"Vitvi06g01346",0.112729543804932,-0.0335752205956911,"AT2G36830","GAMMA-TIP",73.705,"NP_181221.1 gamma tonoplast intrinsic protein [Arabidopsis thaliana]"
1,"Vitvi06g00266",0.112271323586837,-0.0335069132548549,"AT5G60700","",81.779,"NP_001331468.1 glycosyltransferase family protein 2 [Arabidopsis thaliana]"
1,"Vitvi18g00422",0.110637398218711,-0.0332622005012763,"AT1G22400","UGT85A1",59.494,"NP_173656.1 UDP-Glycosyltransferase superfamily protein [Arabidopsis thaliana]"
1,"Vitvi03g00537",0.110186978786247,-0.0331944240477595,"AT3G19320","",57.808,"NP_188563.1 Leucine-rich repeat (LRR) family protein [Arabidopsis thaliana]"
1,"Vitvi10g01678",0.110176617308116,0.0331928632853685,"","",NA,"a match not found in blastP with e-value<0.000001"
2,"Vitvi12g04108",0.655469115835439,-0.0809610471668591,"","",NA,"a match not found in blastP with e-value<0.000001"
2,"Vitvi12g04607",0.552311606451883,-0.0743176699346719,"AT4G26090","RPS2",25.328,"NP_194339.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]"
2,"Vitvi16g00787",0.549595437517204,0.0741347042563201,"AT5G43470","RPP8",30.215,"NP_851124.1 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana]"
