Vitvi00g00444	EED	EEE	EEE	F6HJP6	VIT_00s0327g00020	lcl|NC_081817.1_prot_XP_010646810.2_26359	94.815	0.0	LOC100852881 	XP_010646810.2 	probable glutamate carboxypeptidase AMP1 isoform X1
Vitvi00g00859	EEE	EEE	DEE	F6HJT5	VIT_00s0632g00010	lcl|NC_081806.1_prot_XP_003635442.2_3260	92.050	4.79e-131	LOC100261286 	XP_003635442.2 	ethylene-responsive transcription factor ERF039
Vitvi00g01805	EEE	EUE	EEE	F6HWQ6	VIT_00s0366g00020	lcl|NC_081814.1_prot_XP_010655950.1_21422	92.825	0.0	LOC100266208 	XP_010655950.1 	cysteine-rich receptor-like protein kinase 10
Vitvi00g04005	EUE	EEE	EUU	F6I1Z5	VIT_00s0169g00080	lcl|NC_081812.1_prot_XP_059594887.1_15707	89.286	3.32e-69	LOC104878063 	XP_059594887.1 	uncharacterized protein LOC104878063
Vitvi00g04006	EUU	EEE	UUE	F6I1Z6	VIT_00s0169g00090	lcl|NC_081810.1_prot_XP_059593535.1_11380	65.455	2.71e-50	LOC104878154 	XP_059593535.1 	uncharacterized protein LOC104878154 isoform X2
Vitvi00g04017	EEE	EDE	EDE			NA	NA	NA	NA	NA	NA
Vitvi00g04022	EEE	EDE	EDE	D7TS35	VIT_00s2710g00010	NA	NA	NA	NA	NA	NA
Vitvi00g04024	EEE	EEE	EDE	F6HCU2	VIT_00s0222g00100	lcl|NC_081811.1_prot_XP_059593698.1_13724	75.132	4.15e-85	LOC132254023 	XP_059593698.1 	putative disease resistance protein RGA3
Vitvi00g04030	EEE	EEE	EDE	F6HCU2	VIT_00s0222g00100	lcl|NC_081811.1_prot_XP_059593698.1_13724	61.803	3.02e-78	LOC132254023 	XP_059593698.1 	putative disease resistance protein RGA3
Vitvi00g04035	EEE	EEE	EDE	D7TYR6	VIT_07s0141g01020	NA	NA	NA	NA	NA	NA
Vitvi00g04037	EEE	EDE	EDE	F6HCU2	VIT_00s0222g00100	lcl|NC_081811.1_prot_XP_059593698.1_13724	76.168	2.34e-104	LOC132254023 	XP_059593698.1 	putative disease resistance protein RGA3
Vitvi00g04040	EEE	EEE	EDE	D7SLX8	VIT_15s0021g01660	lcl|NC_081819.1_prot_XP_003633895.1_30884	79.029	0.0	LOC100246249 	XP_003633895.1 	plasma membrane ATPase 1
Vitvi00g04236	EEE	EDE	EDE	F6I7A6	VIT_00s0266g00010	lcl|NC_081814.1_prot_XP_059596265.1_19991	100.000	0.0	LOC100852776 	XP_059596265.1 	(3S,6E)-nerolidol synthase 1
Vitvi00g04250	EDE	EEE	EDE			lcl|NC_081815.1_prot_XP_059596550.1_22765	52.809 1.15e-32	LOC132254624 	XP_059596550.1 	uncharacterized protein LOC132254624
Vitvi00g04274	EED	EEE	EEE	D7T5V5	VIT_00s0742g00020	lcl|NC_081811.1_prot_XP_002270942.4_14269	100.000	4.89e-166	LOC100245960 	XP_002270942.4 	uncharacterized protein LOC100245960 isoform X1
Vitvi00g04275	EDD	EDE	EDE	F6HCY1	VIT_00s0665g00050	lcl|NC_081811.1_prot_XP_059594466.1_14271	100.000	0.0	LOC100258797 	XP_059594466.1 	BTB/POZ domain-containing protein DOT3 isoform X1
Vitvi00g04303	EEE	EDE	EEE	F6H896	VIT_00s0572g00020	lcl|NC_081814.1_prot_XP_059596265.1_19991	98.907	0.0	LOC100852776 	XP_059596265.1 	(3S,6E)-nerolidol synthase 1
Vitvi00g04304	EEE	EDE	EEE	F6H870	VIT_00s0372g00070	lcl|NC_081814.1_prot_XP_059596265.1_19991	88.525	0.0	LOC100852776 	XP_059596265.1 	(3S,6E)-nerolidol synthase 1
Vitvi00g04313	EUU	EUU	EEE	F6GZL8	VIT_18s0001g08170	lcl|NC_081807.1_prot_XP_059591955.1_5145	99.298	0.0	LOC100253976 	XP_059591955.1 	soluble inorganic pyrophosphatase 6, chloroplastic
Vitvi00g04315	EEE	EEE	EDE	D7SSI1	VIT_07s0205g00120	lcl|NC_081807.1_prot_XP_059591957.1_5149	98.305	0.0	LOC100254676 	XP_059591957.1 	probable sphingolipid transporter spinster homolog 2 isoform X1
Vitvi00g04361	UEE	EEE	EEE	D7TRY4	VIT_00s0441g00020	lcl|NC_081811.1_prot_XP_003635346.3_14592	99.042	0.0	LOC100854014 	XP_003635346.3 	squalene monooxygenase SE2
Vitvi00g04411	EEE	EDE	EEE	F6H7X8	VIT_02s0236g00020	lcl|NC_081806.1_prot_XP_010662612.1_3372	100.000	3.72e-77	LOC104882174 	XP_010662612.1 	uncharacterized protein LOC104882174 isoform X2
Vitvi00g04412	EEE	EEE	EDE	F6H7X9	VIT_02s0236g00030	lcl|NC_081806.1_prot_XP_002275217.1_3373	100.000	8.64e-77	LOC104882174 	XP_002275217.1 	uncharacterized protein LOC104882174 isoform X3
Vitvi00g04449	EUU	EUE	EUE	F6HD90	VIT_00s0823g00020	lcl|NC_081811.1_prot_XP_059594626.1_14639	93.827	0.0	LOC100854039 	XP_059594626.1 	probable amino-acid acetyltransferase NAGS1, chloroplastic isoform X1
Vitvi00g04463	EEE	EUE	EUE	F6HSK0	VIT_14s0006g01200	lcl|NC_081808.1_prot_XP_059592070.1_7001	75.000	1.31e-09	LOC100261481 	XP_059592070.1 	uncharacterized protein LOC100261481
Vitvi00g04498	EED	DEE	EEE	F6GZ98	VIT_00s0347g00110	lcl|NC_081814.1_prot_XP_059596185.1_20063	93.204	7.81e-66	LOC132254478 	XP_059596185.1 	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330
