"matrix","wgcna_power","GCNA_module","best_matching_WGCNA_module","best_jaccard_overlap","best_jaccard_distance"
"unprotected","power1","Vitvi00g04005","red",0.0160771704180064,0.983922829581994
"unprotected","power1","Vitvi00g04006","red",0.0316706254948535,0.968329374505146
"unprotected","power1","Vitvi00g04313","pink",0.0180940892641737,0.981905910735826
"unprotected","power1","Vitvi00g04500","lightcyan",0.0883534136546185,0.911646586345382
"unprotected","power1","Vitvi00g04634","lightcyan",0.0739299610894942,0.926070038910506
"unprotected","power1","Vitvi00g04728","lightcyan",0.0873015873015873,0.912698412698413
"unprotected","power1","Vitvi01g00463","magenta",0.0902777777777778,0.909722222222222
"unprotected","power1","Vitvi01g00508","blue",0.119276556776557,0.880723443223443
"unprotected","power1","Vitvi01g00612","turquoise",0.006664265129683,0.993335734870317
"unprotected","power1","Vitvi01g00656","turquoise",0.271877807726864,0.728122192273136
"unprotected","power1","Vitvi01g01038","blue",0.0563057907988098,0.94369420920119
"unprotected","power1","Vitvi01g01701","magenta",0.0521861777150917,0.947813822284908
"unprotected","power1","Vitvi01g01751","green",0.0782710280373832,0.921728971962617
"unprotected","power1","Vitvi01g02242","green",0.0607476635514019,0.939252336448598
"unprotected","power1","Vitvi01g04056","brown",0.0376492194674013,0.962350780532599
"unprotected","power1","Vitvi01g04115","magenta",0.0581867388362652,0.941813261163735
"unprotected","power1","Vitvi01g04132","pink",0.0193704600484262,0.980629539951574
"unprotected","power1","Vitvi02g00032","turquoise",0.220265900107797,0.779734099892203
"unprotected","power1","Vitvi02g00086","green",0.00960994912379876,0.990390050876201
"unprotected","power1","Vitvi02g00429","blue",0.112534309240622,0.887465690759378
"unprotected","power1","Vitvi02g00446","blue",0.0975108472253939,0.902489152774606
"unprotected","power1","Vitvi02g01355","turquoise",0.0726226856012943,0.927377314398706
"unprotected","power1","Vitvi02g01360","green",0.0029120559114735,0.997087944088527
"unprotected","power1","Vitvi02g04106","blue",0.123133471169309,0.876866528830691
"unprotected","power1","Vitvi02g04134","green",0.0730566919929866,0.926943308007013
"unprotected","power1","Vitvi02g04135","green",0.075978959672706,0.924021040327294
"unprotected","power1","Vitvi03g00318","magenta",0.00284495021337127,0.997155049786629
"unprotected","power1","Vitvi03g00692","turquoise",0.0873873873873874,0.912612612612613
"unprotected","power1","Vitvi03g01258","pink",0.0394736842105263,0.960526315789474
"unprotected","power1","Vitvi03g01809","red",0.073051948051948,0.926948051948052
"unprotected","power1","Vitvi03g04266","magenta",0.0580110497237569,0.941988950276243
"unprotected","power1","Vitvi03g04466","pink",0.0216606498194946,0.978339350180505
"unprotected","power1","Vitvi04g00017","turquoise",0.00703844071467244,0.992961559285328
"unprotected","power1","Vitvi04g01325","lightcyan",0.0722433460076046,0.927756653992395
"unprotected","power1","Vitvi04g01375","lightcyan",0.0581395348837209,0.941860465116279
"unprotected","power1","Vitvi04g01550","blue",0.191659070191431,0.808340929808569
"unprotected","power1","Vitvi04g01887","blue",0.0695553021664766,0.930444697833523
"unprotected","power1","Vitvi04g02114","magenta",0.00556328233657858,0.994436717663421
"unprotected","power1","Vitvi04g04010","magenta",0.0809659090909091,0.919034090909091
"unprotected","power1","Vitvi04g04011","magenta",0.0923295454545455,0.907670454545455
"unprotected","power1","Vitvi04g04029","pink",0.00960384153661465,0.990396158463385
"unprotected","power1","Vitvi05g00108","blue",0.0886451907699337,0.911354809230066
"unprotected","power1","Vitvi05g00675","black",0.0383141762452107,0.961685823754789
"unprotected","power1","Vitvi05g00726","black",0.00950369588173178,0.990496304118268
"unprotected","power1","Vitvi05g01579","red",0.0566343042071197,0.94336569579288
"unprotected","power1","Vitvi05g01674","red",0.0267584097859327,0.973241590214067
"unprotected","power1","Vitvi05g02234","green",0.0496785505552309,0.950321449444769
"unprotected","power1","Vitvi05g04062","red",0.041429731925264,0.958570268074736
"unprotected","power1","Vitvi05g04232","red",0.0201775625504439,0.979822437449556
"unprotected","power1","Vitvi05g04487","green",0.0362573099415205,0.96374269005848
"unprotected","power1","Vitvi05g04494","green",0.0549386323787259,0.945061367621274
"unprotected","power1","Vitvi06g01410","turquoise",0.0120960462177288,0.987903953782271
"unprotected","power1","Vitvi06g01618","magenta",0.126227208976157,0.873772791023843
"unprotected","power1","Vitvi06g04121","magenta",0.0984308131241084,0.901569186875892
"unprotected","power1","Vitvi07g00283","magenta",0.00549450549450549,0.994505494505495
"unprotected","power1","Vitvi07g00523","blue",0.153531682943448,0.846468317056552
"unprotected","power1","Vitvi07g00890","green",0.0625365283459965,0.937463471654004
"unprotected","power1","Vitvi07g01267","turquoise",0.136601189403496,0.863398810596504
"unprotected","power1","Vitvi07g01315","red",0.073051948051948,0.926948051948052
"unprotected","power1","Vitvi07g01342","turquoise",0.077020202020202,0.922979797979798
"unprotected","power1","Vitvi07g01407","green",0.00801373783629078,0.991986262163709
"unprotected","power1","Vitvi07g01719","black",0.0142387732749179,0.985761226725082
"unprotected","power1","Vitvi07g01829","blue",0.142824601366743,0.857175398633257
"unprotected","power1","Vitvi07g02323","green",0.0748100526008182,0.925189947399182
"unprotected","power1","Vitvi07g03086","black",0.0852713178294574,0.914728682170543
"unprotected","power1","Vitvi08g00795","lightcyan",0.0692307692307692,0.930769230769231
"unprotected","power1","Vitvi08g00957","purple",0.011864406779661,0.988135593220339
"unprotected","power1","Vitvi08g01235","green",0.0624635143023935,0.937536485697607
